FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
LeBron,James,Mia,F,21852,@Atl,76,26.79,7.25,8.03,1.70,0.88,2.97,56.500,75.300,45.14
LaMarcus,Aldridge,Por,F,21717,@Hou,74,21.08,2.59,9.05,0.84,1.23,1.93,48.400,81.000,33.45
Stephen,Curry,GS,G,20674,Ind,78,22.90,6.91,4.03,1.62,0.15,3.08,45.100,90.000,33.69
Blake,Griffin,LAC,F,20132,@Det,80,18,3.74,8.28,1.21,0.62,2.31,53.800,66.000,31.31
Anthony,Davis,NO,F,19827,@Mem,64,13.55,0.98,8.16,1.17,1.75,1.39,51.600,75.100,26.68
Carmelo,Anthony,NY,F,19620,Bkn,67,28.66,2.55,6.87,0.78,0.48,2.61,44.900,83.000,34.19
John,Wall,Was,G,19072,Phi,49,18.49,7.61,4,1.31,0.76,3.20,44.100,80.400,31.02
Joakim,Noah,Chi,C,18845,LAL,66,11.88,3.97,11.11,1.18,2.14,2.67,48.100,75.100,32.76
James,Harden,Hou,G,18581,Por,78,25.94,5.83,4.86,1.82,0.49,3.78,43.800,85.100,36.02
Paul,George,Ind,F,18168,@GS,79,17.43,4.14,7.63,1.81,0.65,2.95,41.900,80.700,30.48
Al,Jefferson,Cha,C,17966,Tor,78,17.83,2.10,9.23,1.03,1.14,1.35,49.400,77.000,31.19
Dwight,Howard,Hou,C,17959,Por,76,17.05,1.42,12.43,1.11,2.45,2.96,57.800,49.200,34.21
Pau,Gasol,LAL,C,17290,@Chi,49,13.73,4.08,8.59,0.49,1.24,2.12,46.600,70.200,28.25
Kyle,Lowry,Tor,G,16977,@Cha,68,11.63,6.40,4.72,1.38,0.35,2.31,40.100,79.500,25.19
DeAndre,Jordan,LAC,C,16603,@Det,82,8.83,0.34,7.24,0.59,1.37,1.22,64.300,38.600,19.09
Mike,Conley,Mem,G,16556,NO,80,14.6,6.09,2.81,2.18,0.3,2.36,44.000,83.000,26.25
Terrence,Jones,Hou,F,16075,Por,19,5.47,0.79,3.42,0.63,1,0.68,45.700,76.500,12.07
Anderson,Varejao,Cle,C,15943,Dal,25,14.12,3.36,14.44,1.48,0.56,1.76,47.800,75.500,36.01
Paul,Millsap,Atl,F,15877,Mia,78,14.55,2.58,7.10,1.31,1.03,1.77,49.000,74.200,26.74
Damian,Lillard,Por,G,15877,@Hou,82,19.05,6.48,3.13,0.90,0.23,2.96,42.900,84.400,27.20
Kyrie,Irving,Cle,G,15811,Dal,59,22.46,5.93,3.66,1.51,0.36,3.24,45.200,85.500,31.10
Michael,Carter-Williams,Phi,G,15674,@Was,29,17,6.72,5.66,2.48,0.59,3.45,40.500,70.500,31.52
Dirk,Nowitzki,Dal,F,15596,@Cle,53,17.30,2.49,6.85,0.72,0.70,1.32,47.100,86.000,27.22
Kemba,Walker,Cha,G,15480,Tor,82,17.74,5.74,3.45,1.95,0.38,2.44,42.300,79.800,28.06
Nicolas,Batum,Por,F,15452,@Hou,73,14.34,4.93,5.64,1.25,1.14,2.60,42.300,84.800,27.45
Zach,Randolph,Mem,F,15387,NO,76,15.38,1.42,11.24,0.80,0.41,1.97,46.000,75.00,27.88
Lance,Stephenson,Ind,G,15380,@GS,78,8.81,2.86,3.90,1.04,0.21,1.40,46.000,65.200,16.73
David,Lee,GS,F,15322,Ind,79,18.47,3.53,11.22,0.85,0.28,2.62,51.900,79.700,33.47
Andre,Drummond,Det,C,15279,LAC,60,7.93,0.5,7.62,0.98,1.58,0.95,60.800,37.100,20.44
