FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Love,Min,F,22180,LAL,18,18.33,2.33,14,0.72,0.5,2.17,35.200,70.400,33.08
Stephen,Curry,GS,G,19822,Cha,78,22.90,6.91,4.03,1.62,0.15,3.08,45.100,90.000,33.69
Pau,Gasol,LAL,C,18039,@Min,49,13.73,4.08,8.59,0.49,1.24,2.12,46.600,70.200,28.25
Al,Jefferson,Cha,C,17995,@GS,78,17.83,2.10,9.23,1.03,1.14,1.35,49.400,77.000,31.19
Joakim,Noah,Chi,C,17105,@Pho,66,11.88,3.97,11.11,1.18,2.14,2.67,48.100,75.100,32.76
Paul,Millsap,Atl,F,16489,Ind,78,14.55,2.58,7.10,1.31,1.03,1.77,49.000,74.200,26.74
Goran,Dragic,Pho,G,16066,Chi,77,14.73,7.39,3.09,1.61,0.34,2.75,44.300,74.800,27.01
Lance,Stephenson,Ind,G,15927,@Atl,78,8.81,2.86,3.90,1.04,0.21,1.40,46.000,65.200,16.73
Andrew,Bogut,GS,C,15627,Cha,32,5.81,2.09,7.66,0.62,1.72,1.09,45.100,50.0,20.24
Paul,George,Ind,F,15295,@Atl,79,17.43,4.14,7.63,1.81,0.65,2.95,41.900,80.700,30.48
Nikola,Pekovic,Min,C,14225,LAL,62,16.31,0.85,8.79,0.69,0.81,1.63,52.000,74.400,26.41
David,Lee,GS,F,14140,Cha,79,18.47,3.53,11.22,0.85,0.28,2.62,51.900,79.700,33.47
Kemba,Walker,Cha,G,13890,@GS,82,17.74,5.74,3.45,1.95,0.38,2.44,42.300,79.800,28.06
Kendall,Marshall,LAL,G,13661,@Min,48,2.98,2.98,0.88,0.46,0.08,1.19,37.100,57.100,7.39
Kobe,Bryant,LAL,G,13490,@Min,78,27.35,6.01,5.55,1.36,0.32,3.68,46.300,83.900,36.84
Ricky,Rubio,Min,G,12638,LAL,57,10.67,7.33,4.02,2.40,0.09,3.02,36.000,79.900,25.30
David,West,Ind,F,12562,@Atl,73,17.12,2.92,7.71,1.01,0.95,2.15,49.800,76.800,28.93
Roy,Hibbert,Ind,C,12491,@Atl,79,11.86,1.43,8.30,0.49,2.61,2.05,44.800,74.100,25.17
DeMarre,Carroll,Atl,F,12384,Ind,66,5.95,0.92,2.85,0.88,0.36,0.52,46.000,76.500,11.37
Jeff,Teague,Atl,G,12181,Ind,80,14.58,7.24,2.25,1.46,0.35,2.88,45.100,88.100,25.48
Carlos,Boozer,Chi,F,12149,@Pho,79,16.22,2.27,9.76,0.84,0.35,2.23,47.700,73.100,27.74
Taj,Gibson,Chi,F,11441,@Pho,65,7.95,0.94,5.31,0.42,1.38,1.17,48.500,67.900,16.36
Markieff,Morris,Pho,F,11354,Chi,82,8.17,1.32,4.83,0.94,0.78,1.27,40.700,73.200,15.79
D.J.,Augustin,Chi,G,11070,@Pho,76,4.68,2.24,1.20,0.45,0.04,0.89,35.000,83.800,8.25
Jodie,Meeks,LAL,G,10850,@Min,78,7.92,0.88,2.19,0.74,0.06,0.67,38.700,89.600,10.79
George,Hill,Ind,G,10834,@Atl,76,14.16,4.67,3.74,1.07,0.34,1.53,44.300,81.700,23.68
Kevin,Martin,Min,G,10815,LAL,77,13.99,1.38,2.31,0.94,0.10,1.31,45.000,89.000,16.75
Jimmy,Butler,Chi,G,10703,@Pho,82,8.60,1.40,4,0.95,0.38,0.76,46.700,80.300,15.66
Andre,Iguodala,GS,F,10576,Cha,80,12.98,5.41,5.29,1.74,0.65,2.58,45.100,57.400,26.17
Klay,Thompson,GS,G,10258,Cha,82,16.57,2.23,3.73,1.05,0.55,1.91,42.200,84.100,21.46
Gerald,Green,Pho,F,10025,Chi,60,7.02,0.83,2.35,0.32,0.38,0.88,36.600,80.0,9.37
Kyle,Korver,Atl,G,9907,Ind,74,10.95,1.97,3.96,0.95,0.5,0.95,46.100,85.900,18.54
P.J.,Tucker,Pho,F,9763,Chi,79,6.41,1.38,4.43,0.78,0.24,0.85,47.300,74.400,13.59
Miles,Plumlee,Pho,C,9722,Chi,14,0.93,0.14,1.57,0,0.21,0.21,23.800,75.00,2.71
Gerald,Henderson,Cha,G,9530,@GS,68,15.51,2.60,3.68,1,0.5,1.59,44.700,82.400,21.54
Mike,Dunleavy,Chi,F,9456,@Pho,75,10.47,1.93,3.88,0.52,0.47,1.2,44.200,82.000,16.52
Nick,Young,LAL,G,9455,@Min,59,10.64,1.42,2.20,0.61,0.24,0.85,41.300,82.000,13.49
Ramon,Sessions,Cha,G,9256,@GS,61,14.36,3.77,2.77,0.79,0.11,1.70,40.800,83.900,19.84
Jordan,Hill,LAL,F,9254,@Min,29,6.69,0.45,5.72,0.28,0.66,0.90,49.700,65.600,13.78
Chris,Kaman,LAL,C,9245,@Min,66,10.5,0.77,5.64,0.44,0.79,1.56,50.700,78.800,17.16
Channing,Frye,Pho,F,9066,Chi,47,12.19,1.06,5.28,0.81,0.79,1.04,45.500,78.900,19.71
Josh,McRoberts,Cha,F,9033,@GS,67,5.99,2.10,4.85,0.48,0.40,0.99,45.500,76.500,14.44
Mike,Scott,Atl,F,8933,Ind,40,4.58,0.3,2.75,0.1,0.05,0.52,47.600,76.800,7.11
Jordan,Farmar,LAL,G,8785,@Min,22,8.73,4.73,3.27,0.73,0.18,2.18,40.600,73.300,16.93
Lou,Williams,Atl,G,8776,Ind,39,14.13,3.56,2.05,1.13,0.26,1.90,42.200,86.800,19.42
Steve,Nash,LAL,G,8390,@Min,50,12.72,6.66,2.84,0.6,0.1,2.52,49.700,92.200,22.66
Ryan,Kelly,LAL,F,8315,@Min,25,6.64,1.04,2.96,0.28,0.48,0.68,42.400,86.200,11.22
Kirk,Hinrich,Chi,G,8300,@Pho,60,7.65,5.23,2.63,1.05,0.42,1.65,37.700,71.400,17.65
Gustavo,Ayon,Atl,F,8182,Ind,55,3.71,1.29,3.62,0.4,0.31,0.85,55.100,40.0,9.78
Bismack,Biyombo,Cha,F,8171,@GS,80,4.82,0.44,7.28,0.35,1.79,1.02,45.100,52.100,16.21
Corey,Brewer,Min,F,8068,LAL,82,12.07,1.51,2.87,1.44,0.28,1.24,42.500,69.000,16.61
Elton,Brand,Atl,F,7947,Ind,72,7.19,0.97,5.97,0.69,1.25,0.79,47.300,71.000,17.28
Andrew,Bynum,Ind,C,7895,@Atl,24,8.42,1.12,5.25,0.25,1.17,1.25,41.900,76.200,15.58
Marcus,Morris,Pho,F,7807,Chi,77,7.74,0.81,3.60,0.58,0.26,1,42.200,56.400,11.83
Marreese,Speights,GS,F,7715,Cha,79,8.33,0.59,4.89,0.30,0.67,1.01,44.500,77.100,13.96
Shelvin,Mack,Atl,G,7615,Ind,31,4.61,2.19,1.29,0.48,0,1.10,46.000,56.200,8.18
Ronny,Turiaf,Min,C,7233,LAL,65,1.86,0.54,2.34,0.29,0.54,0.45,50.500,36.500,6.13
Xavier,Henry,LAL,F,7095,@Min,50,3.88,0.26,1.8,0.32,0.1,0.62,41.000,63.000,5.45
Michael,Kidd-Gilchrist,Cha,F,6975,@GS,78,9.03,1.5,5.83,0.69,0.90,1.29,45.800,74.900,18.02
Draymond,Green,GS,F,6960,Cha,79,2.87,0.67,3.29,0.53,0.32,0.65,32.700,81.800,7.89
Wesley,Johnson,LAL,F,6868,@Min,50,7.98,0.68,2.46,0.44,0.36,0.96,40.700,77.100,10.28
Pero,Antic,Atl,C,6840,Ind,29,5.79,1.03,3.41,0.28,0.31,0.79,42.800,77.800,10.53
Dante,Cunningham,Min,F,6558,LAL,80,8.69,0.84,5.1,1.05,0.48,0.7,46.800,65.000,16.21
Harrison,Barnes,GS,F,6536,Cha,81,9.23,1.21,4.11,0.64,0.17,1.25,43.900,75.800,14.11
Jeff,Adrien,Cha,F,6406,@GS,52,4.02,0.69,3.77,0.35,0.52,0.62,42.900,65.00,9.62
Jordan,Crawford,GS,G,6374,Cha,70,11.63,3.21,2.99,0.56,0.1,2.01,41.500,81.100,16.24
J.J.,Barea,Min,G,6281,LAL,74,11.27,3.97,2.80,0.43,0,1.96,41.700,78.400,16.45
