FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Stephen,Curry,GS,G,19096,Chi,46,24.30,9.07,4.43,1.80,0.24,4.09,45.300,86.000,38.03
Tim,Duncan,SA,F,17189,@Bkn,46,15.43,2.93,10.02,0.54,2.11,2.04,49.100,70.400,31.78
Joakim,Noah,Chi,C,15190,@GS,46,11.61,4.09,11.37,1.13,1.33,2.22,46.300,71.700,31.55
Andrew,Bogut,GS,C,14773,Chi,48,8.17,1.56,10.71,0.75,1.92,1.67,63.600,34.600,26.09
Tony,Parker,SA,G,14681,@Bkn,45,18.07,6.33,2.33,0.53,0.16,2.47,50.500,80.0,25.48
David,Lee,GS,F,13957,Chi,48,18.88,2.23,9.67,0.54,0.38,2.29,51.400,80.500,29.82
Deron,Williams,Bkn,G,13303,SA,30,13.47,6.87,2.4,1.03,0.23,2.53,46.000,76.800,23.58
Shaun,Livingston,Bkn,G,12396,SA,46,7.93,3.17,3.13,1.20,0.39,1.28,46.200,85.500,16.62
Paul,Pierce,Bkn,F,12359,SA,41,13.54,2.98,4.73,1.10,0.54,2.37,41.400,85.000,21.52
Carlos,Boozer,Chi,F,11768,@GS,45,14.78,1.62,8.62,0.78,0.36,2.36,45.200,76.900,23.77
D.J.,Augustin,Chi,G,11744,@GS,38,10.84,4.61,1.58,0.87,0.05,1.74,41.300,87.600,17.14
Taj,Gibson,Chi,F,11470,@GS,48,12.23,1.04,6.42,0.44,1.48,1.83,48.600,71.400,20.73
Jimmy,Butler,Chi,G,11450,@GS,35,12.4,2.17,4.54,2.03,0.57,1.51,36.800,78.500,21.25
Andray,Blatche,Bkn,C,11381,SA,40,11.98,1.42,5.88,0.98,0.5,1.55,47.500,75.200,19.87
Andre,Iguodala,GS,F,11049,Chi,37,9.59,4.41,4.41,1.65,0.30,1.84,48.700,60.0,21.47
Tiago,Splitter,SA,C,9898,@Bkn,33,8.24,1.15,6.33,0.45,0.42,1.24,55.100,68.800,16.67
Klay,Thompson,GS,G,9734,Chi,49,18.53,2.51,2.98,1,0.49,1.96,43.200,78.600,22.27
Boris,Diaw,SA,F,9732,@Bkn,47,9.47,2.40,3.49,0.55,0.43,1.49,55.300,75.800,16.14
