FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Chris,Paul,LAC,G,20983,@Dal,70,16.94,9.69,3.74,2.41,0.14,2.27,48.100,88.500,35.56
Anthony,Davis,NO,F,18952,@Bos,64,13.55,0.98,8.16,1.17,1.75,1.39,51.600,75.100,26.68
Paul,Millsap,Atl,F,18886,GS,78,14.55,2.58,7.10,1.31,1.03,1.77,49.000,74.200,26.74
Blake,Griffin,LAC,F,18845,@Dal,80,18,3.74,8.28,1.21,0.62,2.31,53.800,66.000,31.31
Dwight,Howard,Hou,C,18763,NY,76,17.05,1.42,12.43,1.11,2.45,2.96,57.800,49.200,34.21
Carmelo,Anthony,NY,F,18520,@Hou,67,28.66,2.55,6.87,0.78,0.48,2.61,44.900,83.000,34.19
Stephen,Curry,GS,G,18338,@Atl,78,22.90,6.91,4.03,1.62,0.15,3.08,45.100,90.000,33.69
John,Wall,Was,G,18130,Tor,49,18.49,7.61,4,1.31,0.76,3.20,44.100,80.400,31.02
James,Harden,Hou,G,17818,NY,78,25.94,5.83,4.86,1.82,0.49,3.78,43.800,85.100,36.02
Kyle,Lowry,Tor,G,17760,@Was,68,11.63,6.40,4.72,1.38,0.35,2.31,40.100,79.500,25.19
Jeff,Teague,Atl,G,16540,GS,80,14.58,7.24,2.25,1.46,0.35,2.88,45.100,88.100,25.48
Zach,Randolph,Mem,F,16178,@Den,76,15.38,1.42,11.24,0.80,0.41,1.97,46.000,75.00,27.88
Jrue,Holiday,NO,G,16158,@Bos,78,17.73,8.01,4.22,1.58,0.41,3.74,43.100,75.200,30.17
David,Lee,GS,F,16087,@Atl,79,18.47,3.53,11.22,0.85,0.28,2.62,51.900,79.700,33.47
Ty,Lawson,Den,G,15456,Mem,73,16.66,6.86,2.71,1.47,0.11,2.49,46.100,75.600,26.90
Tyreke,Evans,NO,F,15449,@Bos,65,15.18,3.52,4.42,1.38,0.42,1.97,47.800,77.500,24.08
Gordon,Hayward,Uta,F,15246,@LAL,72,14.12,2.96,3.12,0.81,0.53,1.67,43.500,82.700,20.08
Dirk,Nowitzki,Dal,F,15180,LAC,53,17.30,2.49,6.85,0.72,0.70,1.32,47.100,86.000,27.22
Mike,Conley,Mem,G,14815,@Den,80,14.6,6.09,2.81,2.18,0.3,2.36,44.000,83.000,26.25
DeAndre,Jordan,LAC,C,14778,@Dal,82,8.83,0.34,7.24,0.59,1.37,1.22,64.300,38.600,19.09
James,Johnson,Mem,F,14328,@Den,54,5.11,1.07,2.69,0.76,0.93,1.26,41.300,59.700,10.40
Monta,Ellis,Dal,G,14166,LAC,82,19.23,6.05,3.85,2.06,0.44,3.10,41.600,77.300,29.39
Pau,Gasol,LAL,C,13886,Uta,49,13.73,4.08,8.59,0.49,1.24,2.12,46.600,70.200,28.25
Derrick,Favors,Uta,F,13819,@LAL,77,9.44,0.97,7.09,0.87,1.69,1.68,48.200,68.800,20.77
JaVale,McGee,Den,C,13550,Mem,79,9.08,0.30,4.82,0.38,1.99,1.14,57.500,59.100,17.26
Chandler,Parsons,Hou,F,13306,NY,76,15.49,3.54,5.32,0.99,0.42,1.93,48.600,72.900,24.87
Terrence,Jones,Hou,F,13235,NY,19,5.47,0.79,3.42,0.63,1,0.68,45.700,76.500,12.07
DeMar,DeRozan,Tor,G,13231,@Was,82,18.11,2.49,3.90,0.93,0.29,1.84,44.500,83.100,22.71
Trevor,Ariza,Was,F,13144,Tor,56,9.46,2.02,4.75,1.29,0.36,1.5,41.700,82.100,17.71
Ryan,Anderson,NO,F,13112,@Bos,81,16.16,1.20,6.41,0.52,0.38,1.20,42.300,84.400,22.43
Tyson,Chandler,NY,C,12743,@Hou,66,10.44,0.94,10.65,0.64,1.14,1.32,63.800,69.400,25.69
Shawn,Marion,Dal,F,12693,LAC,67,12.12,2.43,7.84,1.12,0.70,1.54,51.400,78.200,25.00
