FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Love,Min,F,23525,@Phi,32,26.41,4.16,13.47,0.88,0.38,2.56,46.800,81.600,43.70
Thaddeus,Young,Phi,F,18804,Min,30,18.3,1.83,7,1.73,0.57,1.83,50.800,73.900,28.52
Blake,Griffin,LAC,F,18752,Orl,36,21.97,3.06,10.53,0.97,0.67,2.81,51.900,70.500,35.26
Paul,Millsap,Atl,F,18187,@Bkn,33,17.67,2.61,8.82,1.61,1.18,2.39,47.700,71.700,31.49
Ricky,Rubio,Min,G,17591,@Phi,33,9,8.30,4.70,2.88,0.18,2.82,35.100,85.300,27.73
Evan,Turner,Phi,F,16516,Min,32,19.75,4.03,6.72,1.06,0.09,3.34,44.400,81.900,27.99
Nikola,Pekovic,Min,C,15933,@Phi,33,18.03,0.97,9.12,0.52,0.39,1.58,52.800,71.600,27.19
Michael,Carter-Williams,Phi,G,15685,Min,22,17.18,7.18,5.73,2.86,0.77,3.5,40.100,70.700,33.50
Nikola,Vucevic,Orl,C,15255,@LAC,27,13.44,1.96,11.11,1.19,1.15,2.37,51.800,81.000,29.67
Jeff,Teague,Atl,G,15181,@Bkn,34,16.88,8.06,2.85,1.35,0.18,3.41,42.500,81.900,27.71
Deron,Williams,Bkn,G,14930,Atl,22,13.64,6.91,2.23,0.91,0.27,2.77,47.600,79.100,23.35
Spencer,Hawes,Phi,C,14353,Min,31,14.58,3.26,8.84,0.61,1.45,2.19,48.700,75.300,29.24
DeAndre,Jordan,LAC,C,14322,Orl,36,9.25,0.86,13.42,0.97,2.25,1.58,64.600,39.600,29.88
Glen,Davis,Orl,F,13124,@LAC,22,13.45,1.82,6.91,1.09,0.64,1.68,45.300,62.900,22.57
Jameer,Nelson,Orl,G,12994,@LAC,30,13.07,6.23,3.8,0.87,0.1,2.5,41.100,85.700,23.17
Darren,Collison,LAC,G,12568,Orl,36,8.64,2.17,2.11,1,0.19,1.28,46.600,84.100,13.71
Paul,Pierce,Bkn,F,12557,Atl,28,12.93,3,4.89,0.93,0.43,2.61,40.0,85.300,20.29
Arron,Afflalo,Orl,G,12543,@LAC,32,21.22,3.97,4.53,0.66,0.03,2.12,47.200,84.800,27.54
DeMarre,Carroll,Atl,F,12004,@Bkn,32,9.09,1.66,5.59,1.41,0.31,1,44.000,76.700,18.68
Tobias,Harris,Orl,F,11877,@LAC,12,11.92,1.42,6.58,0.58,0.33,1,40.200,75.00,19.40
Jamal,Crawford,LAC,G,11263,Orl,36,16.75,2.56,2.17,0.83,0.22,1.92,41.400,80.800,18.94
Kevin,Martin,Min,G,10844,@Phi,31,19.77,2.06,3.45,1.16,0.06,1.77,42.300,90.400,23.17
Victor,Oladipo,Orl,G,10604,@LAC,33,12.82,3.55,4.27,1.48,0.73,3.27,40.0,75.200,20.77
Corey,Brewer,Min,F,10246,@Phi,33,11.97,1.61,2.64,1.73,0.36,1.61,43.300,75.00,16.98
Andray,Blatche,Bkn,C,9855,Atl,29,11.59,1.41,5.90,0.97,0.41,1.66,45.600,74.00,19.09
Kyle,Korver,Atl,G,9822,@Bkn,30,12.33,2.73,4.07,1.07,0.33,1.33,49.300,87.500,20.67
J.J.,Redick,LAC,G,9690,Orl,17,15.76,2,2.24,0.88,0.18,1,46.00,92.700,19.38
Tony,Wroten,Phi,G,8595,Min,31,13.81,3.32,3.58,1,0.23,2.68,42.400,58.200,18.60
Shaun,Livingston,Bkn,G,8110,Atl,33,6.67,3.33,2.58,0.88,0.33,1.33,43.800,87.500,14.33
Mirza,Teletovic,Bkn,F,7826,Atl,26,8.08,0.77,3.42,0.27,0.31,0.69,42.900,63.600,11.89
Shelvin,Mack,Atl,G,7453,@Bkn,28,7.11,3.57,2.04,0.86,0,1,43.300,80.800,13.81
Pero,Antic,Atl,C,7305,@Bkn,23,4.43,1.09,2.87,0.22,0.35,0.61,40.0,76.900,8.93
Mike,Scott,Atl,F,7213,@Bkn,32,7.47,0.75,3.19,0.31,0.09,0.72,46.400,75.900,10.86
Lavoy,Allen,Phi,F,7052,Min,33,5.33,1.12,5.58,0.42,0.45,0.88,46.700,64.00,13.36
Joe,Johnson,Bkn,G,6830,Atl,32,14.91,2.56,3.22,0.5,0.22,1.25,43.100,79.700,19.09
Kevin,Garnett,Bkn,F,6647,Atl,29,6.38,1.62,6.90,0.83,0.62,1.21,36.700,83.300,16.66
J.J.,Barea,Min,G,6646,@Phi,33,8.30,3.67,1.85,0.33,0,1.39,40.900,66.700,12.83
Lou,Williams,Atl,G,6619,@Bkn,21,10.24,3.05,1.76,0.86,0.14,1.38,38.500,81.600,14.65
Andrew,Nicholson,Orl,F,6605,@LAC,32,8.41,0.22,4.66,0.25,0.47,0.91,46.000,84.600,13.01
James,Anderson,Phi,G,6555,Min,33,9.55,1.61,3.48,0.73,0.36,1.45,42.300,72.900,14.40
Matt,Barnes,LAC,F,6384,Orl,17,6.59,1.47,3.76,0.76,0.41,1.18,37.300,75.900,12.59
Alexey,Shved,Min,G,6305,@Phi,30,3.2,0.97,1.4,0.37,0.33,0.6,26.500,78.400,5.82
Maurice,Harkless,Orl,F,6238,@LAC,32,6.25,0.78,2.97,1.06,0.72,0.94,44.300,51.900,11.82
Alan,Anderson,Bkn,G,6037,Atl,33,8.30,1.12,2.73,0.91,0.12,0.55,41.400,78.400,12.68
Reggie,Evans,Bkn,F,6034,Atl,23,2.65,0.13,5.39,0.35,0.09,1.09,41.500,54.00,8.35
Jared,Dudley,LAC,F,5910,Orl,36,8.81,1.67,2.14,0.64,0.11,0.94,44.700,70.600,12.30
