FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Durant,OKC,F,22713,Phi,5,32.6,6.4,6.6,1.4,0.2,3.6,47.400,86.00,43.25
LeBron,James,Mia,F,21839,@Hou,5,37.4,5,7.2,2,0,3.2,67.900,69.400,50.10
Chris,Paul,LAC,G,19794,@Pho,6,16.83,10.83,4.5,2,0,1.17,40.600,91.500,37.79
James,Harden,Hou,G,18828,Mia,6,28.67,7.67,4.67,2.33,0.17,3.67,48.200,82.100,41.67
Stephen,Curry,GS,G,18754,@Ind,7,20,7.71,4.86,0.86,0.14,3.29,44.200,81.800,31.57
Blake,Griffin,LAC,F,18141,@Pho,6,24.67,3.17,9.5,0.83,0.67,3,48.200,65.500,34.79
Dwight,Howard,Hou,C,17742,Mia,6,19.33,2.5,12.17,0.33,2,2.83,65.700,57.100,36.46
Anthony,Davis,NO,F,17676,@LAL,8,17.88,1.62,8.88,0.75,2,1.38,50.0,85.00,31.78
Paul,George,Ind,F,17342,GS,7,25.43,3.86,6.71,2.14,0.43,2,44.900,91.800,37.46
Thaddeus,Young,Phi,F,17106,@OKC,6,23,4,6.83,3.33,0.17,2.67,46.300,81.000,36.12
DeAndre,Jordan,LAC,C,16548,@Pho,6,10.67,1,13.33,1.17,3.5,1.17,72.700,50.0,34.92
Tim,Duncan,SA,F,16433,@Cle,5,15.8,3.2,10.4,0.8,1,3.2,43.800,88.500,30.10
Goran,Dragic,Pho,G,16399,LAC,7,22.29,6.29,3.14,0.86,0.86,3,53.300,63.800,31.36
Kyrie,Irving,Cle,G,16180,SA,8,21.62,7.12,4.5,1.5,0.25,2.75,44.400,90.500,33.75
Russell,Westbrook,OKC,G,16149,Phi,5,19.6,5.6,3.4,1.8,0,3.2,47.700,86.700,28.85
Pau,Gasol,LAL,C,15804,NO,6,18.67,3.17,8.5,0.67,2,2,53.400,75.00,33.46
Dwyane,Wade,Mia,G,15518,@Hou,5,21.4,5.8,5,1.4,0.6,2.8,61.600,85.00,34.45
Serge,Ibaka,OKC,F,14816,Phi,5,16.2,0.8,9.2,0,2.4,2.2,60.300,71.400,28.80
David,Lee,GS,F,14509,@Ind,5,18.4,1,9.6,1.6,1,2.2,48.100,81.800,30.50
Eric,Bledsoe,Pho,G,14315,LAC,0,0,0,0,0,0,0,0,0,0.00
Lance,Stephenson,Ind,G,14091,GS,7,15,5.14,8,0.43,0,2.14,47.600,69.200,27.79
Michael,Carter-Williams,Phi,G,14026,@OKC,6,16.67,4.5,5.5,1,0.33,4.83,39.600,69.200,22.54
David,West,Ind,F,13764,GS,7,15.43,3,7,1.57,0.57,1.57,51.200,77.400,28.04
Chris,Bosh,Mia,C,13677,@Hou,6,18.67,0.67,6.67,1.17,1.17,1.17,52.800,89.700,28.42
Tony,Parker,SA,G,13495,@Cle,1,22,7,3,0,0,1,66.700,100,32.75
Markieff,Morris,Pho,F,13138,LAC,8,18.38,2.38,5.88,1.25,0.75,1.88,53.800,75.900,27.84
Anderson,Varejao,Cle,C,12950,SA,0,0,0,0,0,0,0,0,0,0.00
Tyreke,Evans,NO,F,12601,@LAL,8,11.88,5.62,6.25,0.5,0.38,2.12,37.00,62.500,23.25
Kawhi,Leonard,SA,F,12510,@Cle,3,14.33,2,7,2,1.67,2.33,55.600,100,29.08
Chandler,Parsons,Hou,F,12380,Mia,5,13.8,4.2,6.4,1.2,0.2,2.4,38.000,87.500,24.00
Wesley,Johnson,LAL,F,12093,NO,7,12.43,1.43,6.14,1.14,1.71,0.86,55.600,57.100,24.89
Tristan,Thompson,Cle,F,11842,SA,8,14,1.5,10.88,0.5,0.12,1.75,57.900,72.700,26.78
Andrew,Bogut,GS,C,11656,@Ind,4,5.5,1.5,7.5,0.75,1.25,1.75,58.800,28.600,17.88
Spencer,Hawes,Cle,C,11610,SA,7,12.14,2.43,8.86,0.14,1.43,1.86,42.500,83.300,24.79
Jamal,Crawford,LAC,G,11533,@Pho,5,23.2,3,1.8,0.6,0.2,3.2,47.600,82.600,23.65
Terrence,Jones,Hou,F,11359,Mia,6,11,0.5,5.67,0.33,0.5,1.17,59.200,58.300,17.25
Gerald,Green,Pho,F,11191,LAC,8,21.25,1.12,4.5,0.75,0.25,2.5,44.800,88.900,23.44
Luol,Deng,Cle,F,10890,SA,8,14.5,2.25,5.75,1.12,0,1,37.800,79.400,21.56
Manu,Ginobili,SA,G,10844,@Cle,6,12.83,4.83,2.33,1.17,0.5,2.83,47.100,88.900,21.00
Roy,Hibbert,Ind,C,10801,GS,7,9.86,0.71,6.14,0,2.29,1.86,42.600,84.600,18.39
Jordan,Hamilton,Hou,F,10674,Mia,4,12,1.25,4,1,0.75,0.75,50.0,100,19.25
Jordan,Farmar,LAL,G,10607,NO,7,11.43,5,1.43,1.14,0.14,2.57,44.400,80.0,18.14
Andre,Iguodala,GS,F,10428,@Ind,7,8,4.14,6,1.57,0.29,0.86,36.800,81.200,21.79
Jermaine,O'Neal,GS,C,10294,@Ind,6,11.33,0.5,8,0,1.17,1,64.300,70.0,21.67
Patrick,Beverley,Hou,G,9916,Mia,6,10.17,2.67,3.83,1.33,0.33,1.5,41.700,78.600,18.21
Klay,Thompson,GS,G,9875,@Ind,7,14.29,1.86,3.43,1.43,0.29,1,41.500,90.900,19.79
Ish,Smith,Pho,G,9816,LAC,8,7.62,4.75,3.38,1.62,0.38,1.38,49.100,81.800,19.78
Jodie,Meeks,LAL,G,9666,NO,7,18.43,1.57,2.29,1.14,0.29,1.43,53.300,86.400,21.86
Darren,Collison,LAC,G,9660,@Pho,6,11.17,2.83,1.5,0.83,0,1.17,46.300,78.600,15.12
Kent,Bazemore,LAL,G,9565,NO,6,15.83,2.5,3.67,1.67,0.33,2.83,46.500,60.700,21.25
Matt,Barnes,LAC,F,9511,@Pho,6,13.5,2.17,4.33,1,0.5,1,51.700,83.300,21.75
Tony,Wroten,Phi,G,9507,@OKC,6,16.33,1.83,3.67,0.83,0.5,3.17,44.200,69.000,18.50
J.J.,Redick,LAC,G,9480,@Pho,0,0,0,0,0,0,0,0,0,0.00
Reggie,Jackson,OKC,G,9451,Phi,5,11.4,3.6,2.2,1,0.2,2.4,38.600,100,16.05
Boris,Diaw,SA,F,9378,@Cle,6,9.17,3.33,6,1,0.67,1.33,43.100,60.0,20.75
Mario,Chalmers,Mia,G,9252,@Hou,6,8.83,5.33,2.17,2,0.17,2.17,48.800,71.400,19.71
C.J.,Watson,Ind,G,9243,GS,7,7.71,1.71,1.57,1,0,1,55.00,83.300,11.89
Tiago,Splitter,SA,C,9006,@Cle,5,9.4,2.2,4.6,0.6,0.6,1,51.400,64.300,17.55
P.J.,Tucker,Pho,F,8963,LAC,8,7.88,2.25,7,1.38,0.38,1.5,36.700,76.500,19.38
Eric,Gordon,NO,G,8903,@LAL,8,14.25,2.25,1.75,0.75,0,2.12,46.000,78.300,15.94
Caron,Butler,OKC,F,8865,Phi,2,19,0.5,5.5,0.5,1,2,43.800,66.700,22.88
Marcus,Morris,Pho,F,8863,LAC,8,11.12,1.5,3.88,1.12,0.5,1.5,46.500,68.800,17.28
Evan,Turner,Ind,F,8852,GS,5,11.4,2.6,5.2,0.8,0.2,0.8,35.600,65.00,18.50
Channing,Frye,Pho,F,8842,LAC,8,9.62,1.5,5.25,0.75,0.88,1.25,43.100,75.00,18.00
Kendall,Marshall,LAL,G,8638,NO,7,4.86,9.14,3.29,0.86,0.14,3.43,30.200,50.0,18.96
Marco,Belinelli,SA,G,8469,@Cle,6,14.83,2.83,2.5,0.33,0.17,1.17,50.0,100,19.62
George,Hill,Ind,G,8225,GS,5,9,3,2.8,1.2,0.4,1.6,60.700,85.700,17.40
Henry,Sims,Phi,C,8079,@OKC,6,7.5,0.67,5.5,0.5,0.5,0.33,51.600,72.200,15.38
Nick,Young,LAL,G,8040,NO,1,10,0,1,1,0,3,75.00,60.0,8.75
James,Anderson,Phi,G,8015,@OKC,6,9.17,2.5,2.67,1.5,0.17,0.83,38.200,75.00,15.83
Alexis,Ajinca,NO,F,7950,@LAL,8,8.12,0.88,6.38,0.25,0.88,1,54.200,81.200,17.09
Jarrett,Jack,Cle,G,7947,SA,8,9.38,4.75,3,1,0.25,1.88,36.00,88.200,17.75
Draymond,Green,GS,F,7929,@Ind,7,6.71,2.14,4.43,1.86,0.57,0.43,36.200,85.700,17.61
Andrew,Bynum,Ind,C,7895,GS,0,0,0,0,0,0,0,0,0,0.00
Dion,Waiters,Cle,G,7720,SA,1,13,3,4,0,0,3,71.400,100,18.50
MarShon,Brooks,LAL,G,7700,NO,6,12.83,2,3,1.33,0.17,1.67,51.800,64.700,18.17
Steve,Nash,LAL,G,7653,NO,0,0,0,0,0,0,0,0,0,0.00
Chris,Kaman,LAL,C,7648,NO,5,7.8,1,4,0,0.8,1.4,50.0,60.0,12.50
Brian,Roberts,NO,G,7630,@LAL,8,10.5,4.25,1.88,0.75,0.12,2,38.500,94.400,15.91
Jeremy,Lin,Hou,G,7624,Mia,6,6.83,3.33,3.5,0.5,0.17,2.83,28.300,78.600,11.71
Tyler,Zeller,Cle,C,7407,SA,8,10.38,0.88,6.5,0.38,1.25,1.62,50.900,89.300,19.50
Archie,Goodwin,Pho,G,7396,LAC,5,7,0.2,3.2,0.6,0.4,0.6,56.00,60.0,11.20
Steve,Blake,GS,G,7383,@Ind,6,5.17,2.83,1.33,0.33,0.5,0.5,39.300,100,10.83
Miles,Plumlee,Pho,C,7245,LAC,8,4.62,0.25,6.62,0.88,0.75,1.62,39.500,100,13.28
Patty,Mills,SA,G,7141,@Cle,6,14.33,2.17,3.83,0.5,0.17,1.17,45.00,88.900,18.79
Steven,Adams,OKC,C,7042,Phi,5,3.2,0.2,4.2,0.2,1,0.6,45.500,66.700,9.65
C.J.,Miles,Cle,G,7030,SA,2,7,0.5,1.5,0.5,0,0.5,36.400,75.00,8.12
Michael,Beasley,Mia,F,6995,@Hou,5,4.6,0.8,3,0.2,1,1,45.00,75.00,9.75
Cory,Joseph,SA,G,6945,@Cle,5,6,1.6,2,0.6,0.2,1.2,42.900,91.700,10.00
Lavoy,Allen,Ind,F,6820,GS,2,3,2,5,0,0,1,42.900,0,10.25
Al-Farouq,Aminu,NO,F,6818,@LAL,7,6,1.29,3.29,0.71,0,0.86,46.900,69.200,11.11
Harrison,Barnes,GS,F,6733,@Ind,7,8.14,1.86,3.29,0.43,0.57,1.29,36.00,75.00,13.11
Jeremy,Lamb,OKC,G,6657,Phi,5,4,0.4,2.2,0.8,0.2,1,21.400,83.300,6.05
Glen,Davis,LAC,F,6635,@Pho,4,2.25,0.5,2,0.75,0.5,1,15.400,83.300,5.50
Omri,Casspi,Hou,F,6582,Mia,5,7,1.4,2.6,0.6,0.4,0.8,45.800,87.500,12.15
Robert,Sacre,LAL,C,6530,NO,5,3.4,0.2,3.4,0.4,0.8,0.4,46.700,75.00,9.05
Ian,Mahinmi,Ind,C,6429,GS,7,5.43,0.43,3.86,1.14,1.71,0.57,51.900,66.700,14.75
Jordan,Crawford,GS,G,6403,@Ind,7,8.86,1.29,1.14,0.29,0.14,1.43,36.800,80.0,8.86
Ray,Allen,Mia,G,6391,@Hou,6,7.17,1.67,2.5,0.17,0,0.5,41.000,100,10.71
Jordan,Hill,LAL,F,6245,NO,6,5.5,0.33,5.33,0.67,1,1.17,53.600,75.00,13.67
Danny,Green,SA,G,6214,@Cle,6,11.33,1.5,3.5,0.33,1,2.5,42.600,90.0,15.46
Ryan,Kelly,LAL,F,6212,NO,6,5.33,0.83,2.17,0.33,1.67,0.33,48.00,100,11.88
Danny,Granger,LAC,F,6175,@Pho,2,5.5,1,3.5,0,0,2,33.300,100,7.38
Shane,Battier,Mia,F,6099,@Hou,6,3.83,1.83,3.17,1.5,0.17,0,29.000,0,12.04
Xavier,Henry,LAL,F,6095,NO,1,0,0,0,0,0,0,0,0,-1.00
Marreese,Speights,GS,F,6045,@Ind,7,4.57,0,1.57,0,0.86,0.14,40.700,83.300,6.82
Omer,Asik,Hou,C,6030,Mia,6,4.83,0.67,6,0.33,0.67,1,56.500,50.0,13.25
Luis,Scola,Ind,F,6029,GS,7,5.86,1,4.14,0.71,0.43,1.57,47.100,75.00,11.75
Hasheem,Thabeet,OKC,C,5945,Phi,2,1,0,4.5,1.5,2,0.5,50.0,0,12.38
Arnett,Moultrie,Phi,F,5870,@OKC,5,3.6,0.4,3.8,0.8,0.4,0.4,41.200,80.0,9.85
Byron,Mullens,Phi,F,5838,@OKC,4,6.75,0.5,3.75,0.5,0.5,1,39.300,50.0,10.69
Perry,Jones,OKC,F,5789,Phi,5,3.8,0.6,2,0.4,0,0.4,50.0,100,6.90
Hedo,Turkoglu,LAC,F,5775,@Pho,5,2.8,0.8,2.2,0.6,0.4,0.8,27.800,0,6.65
Alex,Len,Pho,C,5770,LAC,5,1,0,1,0,0.6,0.6,28.600,25.00,2.05
Aron,Baynes,SA,C,5766,@Cle,5,2.2,0.6,2.2,0.2,0.2,0.4,71.400,50.0,5.95
Donatas,Motiejunas,Hou,F,5764,Mia,6,7.33,1.33,3.17,0.33,0.33,0.67,44.100,81.800,12.21
