FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Durant,OKC,F,23302,@Den,81,28.15,4.62,7.90,1.43,1.30,3.46,51.000,90.500,42.18
LeBron,James,Mia,F,21718,@NY,76,26.79,7.25,8.03,1.70,0.88,2.97,56.500,75.300,45.14
Carmelo,Anthony,NY,F,18829,Mia,67,28.66,2.55,6.87,0.78,0.48,2.61,44.900,83.000,34.19
Ty,Lawson,Den,G,17022,OKC,73,16.66,6.86,2.71,1.47,0.11,2.49,46.100,75.600,26.90
Dwyane,Wade,Mia,G,15393,@NY,69,21.20,5.10,4.99,1.86,0.81,2.81,52.100,72.500,32.96
Chris,Bosh,Mia,C,13697,@NY,74,16.65,1.66,6.77,0.89,1.36,1.73,53.500,79.800,27.12
JaVale,McGee,Den,C,13550,OKC,79,9.08,0.30,4.82,0.38,1.99,1.14,57.500,59.100,17.26
Serge,Ibaka,OKC,F,13358,@Den,80,13.19,0.54,7.71,0.35,3.02,1.56,57.300,74.900,26.45
J.J.,Hickson,Den,C,11926,OKC,80,12.72,1.1,10.35,0.6,0.64,1.81,56.200,67.900,25.40
Mario,Chalmers,Mia,G,11926,@NY,77,8.65,3.55,2.22,1.53,0.16,1.55,42.900,79.500,16.46
Reggie,Jackson,OKC,G,11793,@Den,70,5.34,1.74,2.37,0.41,0.19,0.76,45.800,83.900,10.04
Andrea,Bargnani,NY,C,11725,Mia,35,12.66,1.09,3.66,0.6,0.66,1.54,39.900,84.400,16.00
Tyson,Chandler,NY,C,11674,Mia,66,10.44,0.94,10.65,0.64,1.14,1.32,63.800,69.400,25.69
Iman,Shumpert,NY,F,11430,Mia,45,6.78,1.67,3.02,0.96,0.16,0.82,39.600,76.600,12.49
Kenneth,Faried,Den,F,11145,OKC,80,11.54,0.96,9.18,1.01,1.04,1.41,55.200,61.300,24.56
Wilson,Chandler,Den,F,10507,OKC,43,13.02,1.35,5.07,1.05,0.28,1.40,46.200,79.300,19.52
Randy,Foye,Den,G,9968,OKC,82,10.76,2.04,1.55,0.80,0.33,1.12,39.700,81.900,14.02
Timofey,Mozgov,Den,C,9806,OKC,41,2.63,0.22,2.61,0.15,0.44,0.61,50.600,76.900,6.19
Jeremy,Lamb,OKC,G,9363,@Den,23,3.09,0.22,0.78,0.09,0.09,0.26,35.300,100,3.52
Raymond,Felton,NY,G,9325,Mia,68,13.94,5.47,2.85,1.38,0.21,2.28,42.700,78.900,22.70
J.R.,Smith,NY,G,9159,Mia,80,18.08,2.72,5.31,1.25,0.3,1.68,42.200,76.200,25.25
Beno,Udrih,NY,G,8822,Mia,66,8.15,4.58,2.14,0.62,0.05,1.64,44.100,81.600,15.22
Amar'e,Stoudemire,NY,F,8611,Mia,29,14.24,0.45,5,0.34,0.72,1.72,57.700,80.800,19.20
Norris,Cole,Mia,G,8517,@NY,80,5.56,2.05,1.62,0.71,0.09,1.3,42.100,65.00,9.26
Nate,Robinson,Den,G,7905,OKC,82,13.10,4.37,2.24,1.04,0.12,1.76,43.300,79.900,19.62
Kenyon,Martin,NY,F,7648,Mia,18,7.17,0.44,5.28,0.89,0.94,0.89,60.200,42.500,15.54
Darrell,Arthur,Den,F,7604,OKC,59,6.14,0.56,2.86,0.41,0.56,0.73,45.100,71.700,9.98
Michael,Beasley,Mia,F,7504,@NY,75,10.12,1.48,3.76,0.41,0.45,1.92,40.500,74.600,13.60
Metta,World Peace,NY,F,7410,Mia,75,12.39,1.49,4.96,1.63,0.56,1.31,40.300,73.400,20.31
Jordan,Hamilton,Den,F,7405,OKC,40,5.2,0.58,2.38,0.38,0.2,0.48,41.800,50.0,8.08
Toure',Murry,NY,G,6850,Mia,18,3.11,1.33,1.17,0.61,0,0.67,41.800,56.200,6.04
Andre,Miller,Den,G,6820,OKC,82,9.59,5.90,2.90,0.89,0.13,2.10,47.900,84.000,19.82
Ray,Allen,Mia,G,6638,@NY,79,10.92,1.71,2.75,0.85,0.19,1.30,44.900,88.600,15.31
Pablo,Prigioni,NY,G,6620,Mia,78,3.53,3.03,1.83,0.88,0.03,1.10,45.500,88.00,10.29
Chris,Andersen,Mia,C,6588,@NY,42,4.93,0.40,4.10,0.38,1.05,0.57,57.700,67.700,11.96
Kendrick,Perkins,OKC,C,6479,@Den,78,4.23,1.42,5.97,0.55,1.06,1.40,45.700,61.100,14.40
Nick,Collison,OKC,F,6318,@Den,81,5.09,1.49,4.11,0.63,0.37,0.85,59.500,76.900,12.76
Steven,Adams,OKC,C,6299,@Den,35,4.11,0.77,4.43,0.49,0.89,1,49.500,68.600,11.54
Anthony,Randolph,Den,F,6010,OKC,39,3.67,0.31,2.44,0.49,0.54,0.95,49.100,68.900,7.35
Tim,Hardaway Jr.,NY,G,5965,Mia,33,8.48,0.91,1.33,0.42,0.18,0.55,45.500,82.100,10.23
Hasheem,Thabeet,OKC,C,5945,@Den,66,2.42,0.17,2.95,0.45,0.91,0.62,60.400,60.400,8.00
Rashard,Lewis,Mia,F,5912,@NY,55,5.18,0.55,2.2,0.38,0.25,0.6,41.400,62.200,7.94
Perry,Jones,OKC,F,5586,@Den,38,2.32,0.26,1.63,0.13,0.16,0.39,39.400,66.700,4.08
Thabo,Sefolosha,OKC,G,5545,@Den,81,7.57,1.54,3.91,1.27,0.54,0.79,48.100,82.600,16.05
Evan,Fournier,Den,G,5312,OKC,38,5.32,1.16,0.92,0.5,0.03,0.84,49.300,76.900,7.28
Roger,Mason Jr.,Mia,G,4835,@NY,69,5.35,1.07,1.91,0.38,0.16,0.74,43.300,90.700,8.40
Shane,Battier,Mia,F,4723,@NY,72,6.56,1,2.29,0.57,0.76,0.47,42.000,84.200,11.61
Derek,Fisher,OKC,G,4322,@Den,33,5.30,1.42,1.12,0.58,0.09,0.91,34.200,92.100,7.61
Udonis,Haslem,Mia,F,4243,@NY,75,3.87,0.51,5.39,0.4,0.2,0.6,51.400,71.100,11.06
Andre,Roberson,OKC,F,4065,@Den,15,1.6,0.47,2,0.4,0.13,0.47,55.600,75.00,5.10
Quincy,Miller,Den,F,3500,OKC,7,1.29,0.43,0.29,0.14,0,0.14,33.300,50.0,1.79
James,Jones,Mia,F,3500,@NY,38,1.58,0.34,0.58,0.05,0.16,0.08,34.400,50.0,2.61
