FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Love,Min,F,23454,@Uta,18,18.33,2.33,14,0.72,0.5,2.17,35.200,70.400,33.08
Carmelo,Anthony,NY,F,19732,@Atl,67,28.66,2.55,6.87,0.78,0.48,2.61,44.900,83.000,34.19
Al,Jefferson,Cha,C,18933,Mem,78,17.83,2.10,9.23,1.03,1.14,1.35,49.400,77.000,31.19
DeMarcus,Cousins,Sac,C,18570,Bos,75,17.07,2.65,9.95,1.44,0.73,3,46.500,73.800,30.39
Stephen,Curry,GS,G,17882,Bkn,78,22.90,6.91,4.03,1.62,0.15,3.08,45.100,90.000,33.69
Andre,Drummond,Det,C,17677,Dal,60,7.93,0.5,7.62,0.98,1.58,0.95,60.800,37.100,20.44
David,Lee,GS,F,17235,Bkn,79,18.47,3.53,11.22,0.85,0.28,2.62,51.900,79.700,33.47
Anthony,Davis,NO,F,17110,@Was,64,13.55,0.98,8.16,1.17,1.75,1.39,51.600,75.100,26.68
John,Wall,Was,G,17030,NO,49,18.49,7.61,4,1.31,0.76,3.20,44.100,80.400,31.02
Paul,George,Ind,F,16501,@Mil,79,17.43,4.14,7.63,1.81,0.65,2.95,41.900,80.700,30.48
Rajon,Rondo,Bos,G,16286,@Sac,38,13.74,11.05,5.58,1.84,0.24,3.89,48.400,64.500,33.96
Paul,Millsap,Atl,F,15768,NY,78,14.55,2.58,7.10,1.31,1.03,1.77,49.000,74.200,26.74
Ricky,Rubio,Min,G,15359,@Uta,57,10.67,7.33,4.02,2.40,0.09,3.02,36.000,79.900,25.30
Dirk,Nowitzki,Dal,F,15200,@Det,53,17.30,2.49,6.85,0.72,0.70,1.32,47.100,86.000,27.22
Kemba,Walker,Cha,G,15143,Mem,82,17.74,5.74,3.45,1.95,0.38,2.44,42.300,79.800,28.06
Josh,Smith,Det,F,14497,Dal,76,17.46,4.22,8.41,1.24,1.79,2.97,46.500,51.700,32.21
Isaiah,Thomas,Sac,G,14477,Bos,79,13.92,4,2.04,0.85,0.04,1.77,44.000,88.200,19.31
Nikola,Pekovic,Min,C,14225,@Uta,62,16.31,0.85,8.79,0.69,0.81,1.63,52.000,74.400,26.41
Monta,Ellis,Dal,G,14111,@Det,82,19.23,6.05,3.85,2.06,0.44,3.10,41.600,77.300,29.39
Brandon,Jennings,Det,G,14063,Dal,80,17.46,6.51,3.08,1.56,0.12,2.54,39.900,81.900,26.91
