FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Love,Min,F,23415,Hou,6,31.5,2.67,15.5,0.67,0.33,2.67,46.000,85.700,47.71
Anthony,Davis,NO,F,21002,@Tor,7,24.29,2.14,11.29,1.57,4,2,54.500,75.00,45.89
Stephen,Curry,GS,G,20999,Phi,7,29.43,7.43,3.29,1.14,0.14,2.71,53.200,83.800,39.46
Dwight,Howard,Hou,C,19101,@Min,5,26.2,1.4,10.8,1.2,1.8,4.2,58.900,65.200,38.20
Andre,Drummond,Det,C,18469,SA,7,14.29,0.86,14.29,1.14,2.14,1.57,67.200,46.700,35.79
Tim,Duncan,SA,F,18184,@Det,7,20.43,2.14,11,1,2.71,3,57.300,64.100,37.68
Andrew,Bogut,GS,C,17144,Phi,5,8.8,1.6,13.8,1,2.2,1.6,61.100,0,31.85
Jared,Sullinger,Bos,F,16980,@Mil,7,16.57,1.71,10.71,0.43,1.29,1.71,47.00,81.800,30.18
Josh,Smith,Det,F,16599,SA,7,20,5,7.86,2.29,1.29,3.29,47.700,46.900,35.18
DeMar,DeRozan,Tor,G,16478,NO,5,26.4,5.8,4.4,1.2,0.4,1.8,41.400,88.00,35.60
Brandon,Jennings,Det,G,15889,SA,7,24,8.14,3.71,1.57,0.29,3.57,42.500,78.00,35.00
David,Lee,GS,F,15810,Phi,4,14.5,2,7.75,0.5,0.25,2.75,38.900,80.0,21.31
Kyle,Lowry,Tor,G,15582,NO,7,20.29,6.57,5.29,1.57,0.29,2.86,42.700,82.400,32.68
Ty,Lawson,Den,G,15361,@Ind,5,20.4,7.4,4,1.4,0,3.4,50.0,84.400,31.80
James,Harden,Hou,G,15031,@Min,3,24.33,2.67,2.33,2,0,3,47.900,90.900,27.75
Michael,Carter-Williams,Phi,G,14532,@GS,7,15,6.43,4.14,0.86,1.14,4.43,33.300,72.500,23.61
Paul,George,Ind,F,14381,Den,7,17.57,3.57,7,1.57,0,3.43,33.100,81.200,24.89
Nikola,Pekovic,Min,C,14225,Hou,1,1,0,1,0,0,1,0,50.0,0.25
Jrue,Holiday,NO,G,14205,@Tor,0,0,0,0,0,0,0,0,0,0.00
David,West,Ind,F,14127,Den,7,18.29,1.86,7,0.43,1,1.29,55.800,80.800,28.04
Rajon,Rondo,Bos,G,13695,@Mil,5,12.4,9.2,6.6,1.6,0,3.4,46.600,100,31.15
Larry,Sanders,Mil,C,13580,Bos,6,11.5,0.67,9.33,0.83,1.67,1,56.400,53.800,25.67
Thaddeus,Young,Phi,F,13520,@GS,8,17.12,2.25,5.12,2.12,0.12,2.5,50.900,42.100,24.66
Lance,Stephenson,Ind,G,13401,Den,6,14,5,9.33,1.17,0.17,3.83,57.100,65.200,29.33
Spencer,Hawes,Phi,C,13355,@GS,8,10.5,2.5,8,0.25,0.75,2.25,39.700,91.700,21.00
Randy,Foye,Den,G,13347,@Ind,7,18.14,5.29,4,1,1,3.14,42.600,90.900,27.64
Tony,Parker,SA,G,13124,@Det,7,15.86,6.57,1.71,0.57,0.29,2,41.700,77.800,22.86
Ricky,Rubio,Min,G,13048,Hou,8,10.5,7.75,4.62,1.5,0.12,3,37.300,78.900,25.03
Jeremy,Lin,Hou,G,12930,@Min,5,16,6.2,4.8,1.2,0.4,2.6,50.0,100,28.90
Chandler,Parsons,Hou,F,12844,@Min,5,13.2,3.8,4,1,0,1.2,47.300,66.700,21.50
Greg,Monroe,Det,F,12810,SA,7,14.86,2.14,8.57,1.29,0,2.14,57.900,66.700,26.36
J.J.,Hickson,Den,C,12768,@Ind,7,12.43,2.29,10.29,1,0.86,2.43,54.000,47.500,26.43
Brandon,Knight,Mil,G,12763,Bos,7,18.57,6.57,2.43,0.86,0,2.71,38.300,87.900,25.11
Klay,Thompson,GS,G,12423,Phi,7,15.43,2.29,2.86,1.14,0.57,1.14,34.200,83.300,19.14
JaVale,McGee,Den,C,12234,@Ind,0,0,0,0,0,0,0,0,0,0.00
Evan,Turner,Phi,F,11997,@GS,8,12.62,3.5,5.38,1.38,0.12,2.62,36.800,90.0,21.03
Jeff,Green,Bos,F,11903,@Mil,7,17,2.71,4.71,1.29,0.57,2.29,34.300,77.500,22.82
Terrence,Jones,Hou,F,11891,@Min,5,15,0.8,7,0.6,1,0.8,63.500,41.200,24.45
John,Henson,Mil,F,11658,Bos,4,9,1.25,7.25,0,1.75,1.25,45.900,50.0,19.44
Andre,Iguodala,GS,F,11654,Phi,7,7.71,2.71,6.71,1.43,0,1.29,37.900,50.0,18.68
Jonas,Valanciunas,Tor,C,11568,NO,7,15.14,0.57,10.43,0,0.71,1.29,58.700,60.0,26.11
Khris,Middleton,Mil,F,11532,Bos,7,16.71,3.14,4,1.14,0,2.57,48.900,92.300,22.79
Roy,Hibbert,Ind,C,11321,Den,7,12,1.29,6.86,0.43,1.57,2.14,49.300,76.200,21.50
Kenneth,Faried,Den,F,11244,@Ind,7,13.43,1.29,7.43,0.86,1.43,1.86,56.200,66.700,24.64
George,Hill,Ind,G,11175,Den,7,13.71,4.29,4.29,0.71,0.29,0.71,53.700,85.00,24.36
Patrick,Beverley,Hou,G,10636,@Min,5,9,4.6,4.4,2,0.8,1.6,40.0,100,23.00
Eric,Gordon,NO,G,10525,@Tor,8,15.12,3.75,3,1.25,0.38,1.38,38.200,65.400,21.06
Ersan,Ilyasova,Mil,F,10456,Bos,6,14.67,1.5,8.33,0.5,0.17,0.33,33.700,90.500,23.25
Wilson,Chandler,Den,F,10360,@Ind,7,16.29,2.71,4.29,0.57,0.14,1.71,43.800,82.600,21.57
Manu,Ginobili,SA,G,10300,@Det,2,6,1,1,0,0.5,1.5,23.100,85.700,5.50
Harrison,Barnes,GS,F,10259,Phi,7,10.14,0.71,5.71,1,0.29,0.86,39.100,83.300,17.07
Kevin,Martin,Min,G,10156,Hou,7,16,1.43,3.29,0.86,0.29,1.29,40.0,74.100,18.25
Rodney,Stuckey,Det,G,10022,SA,7,13.14,2.43,3.43,0.71,0.14,1.43,41.000,76.900,17.43
Brandon,Bass,Bos,F,9980,@Mil,7,11,0.71,5.57,0.29,0.71,0.86,55.400,88.200,18.25
Amir,Johnson,Tor,F,9928,NO,7,8.57,1.43,7,0.71,0.86,1.43,46.300,69.200,18.82
Zaza,Pachulia,Mil,C,9917,Bos,4,10.75,2.5,5.5,1.25,0,1.5,59.100,94.400,21.12
Danny,Green,SA,G,9885,@Det,4,12.25,2.5,6,1,1.25,2,37.500,90.0,22.75
Avery,Bradley,Bos,G,9695,@Mil,3,12,1,1.33,1.33,0,0.67,35.00,87.500,12.67
Patrick,Mills,SA,G,9670,@Det,8,14.12,1.88,2.88,1,0.38,0.75,47.600,94.100,19.72
Patrick,Patterson,Tor,F,9443,NO,6,11.17,1.67,5.33,1,0.5,0.67,53.800,100,20.67
Dante,Cunningham,Min,F,9147,Hou,8,8.88,1.12,6.38,1,1,0.5,51.600,50.0,19.78
Gerald,Wallace,Bos,F,9024,@Mil,6,5.67,2.83,5.67,0.67,0.67,1.5,45.200,40.0,16.25
James,Anderson,Phi,G,8948,@GS,8,8.88,1.75,4.88,0.75,0.25,1.25,47.500,63.600,16.16
Jermaine,O'Neal,GS,C,8889,Phi,3,8,1,5.67,0.67,1.67,1.67,35.00,83.300,17.08
Al-Farouq,Aminu,NO,F,8879,@Tor,8,8.12,1.62,6.62,1,0.12,1.12,45.900,80.0,17.78
Ronny,Turiaf,Min,C,8475,Hou,8,6.5,1.25,7.12,0.12,2.62,1.38,63.900,54.500,20.28
Tyreke,Evans,NO,F,8461,@Tor,6,9.83,3.83,3.33,1,0.17,1.83,34.400,73.900,16.42
Tony,Wroten,Phi,G,8390,@GS,8,13.88,2.25,2.75,1.5,0,3.38,43.500,83.300,16.88
Kyle,Singler,Det,F,8389,SA,7,11.43,0.57,4.29,1.57,0.71,1.29,44.400,75.00,18.14
Terrence,Ross,Tor,G,8351,NO,7,9.86,1.71,3.43,0.57,0.86,1.43,35.200,76.900,14.64
Chase,Budinger,Min,F,8338,Hou,8,6.62,0.62,2.62,0.25,0,0.75,43.200,85.700,8.97
Corey,Brewer,Min,F,8316,Hou,7,11.86,1.86,2.71,1.43,0.43,1.57,50.700,62.500,17.32
Boris,Diaw,SA,F,8282,@Det,7,11,2.43,3.86,0.43,0.57,2,48.400,75.00,16.96
Nate,Wolters,Mil,G,8206,Bos,7,8.71,3.86,3.43,0.57,0.14,0.71,41.300,53.300,16.36
Caron,Butler,Mil,F,8163,Bos,5,10.6,1,4.2,0.6,0.4,1.2,41.500,90.0,15.65
Evan,Fournier,Den,G,8118,@Ind,7,10,1.57,3.43,0.86,0,2.57,38.800,66.700,12.64
O.J.,Mayo,Mil,G,8110,Bos,0,0,0,0,0,0,0,0,0,0.00
Draymond,Green,GS,F,8101,Phi,7,5,1.14,4.14,0.86,0.86,1,35.700,45.500,11.96
Kelly,Olynyk,Bos,C,7937,@Mil,7,5.57,1.43,5,0.29,0.71,1.14,39.400,78.600,13.18
Tiago,Splitter,SA,C,7937,@Det,4,5,1.25,6.75,0.25,0.75,1,47.100,100,15.19
Jerryd,Bayless,Bos,G,7934,@Mil,6,9.67,4.17,1.83,1.17,0.17,1.33,40.700,70.0,16.62
Brian,Roberts,NO,G,7901,@Tor,8,12.25,4.25,2.62,0.88,0,2.62,45.200,100,18.16
Andrew,Bynum,Ind,C,7895,Den,0,0,0,0,0,0,0,0,0,0.00
Lavoy,Allen,Phi,F,7887,@GS,8,6.25,1.5,6.88,0.75,0.38,0.5,35.100,76.900,16.34
Kris,Humphries,Bos,C,7677,@Mil,7,6.57,0.29,4.71,0.43,0.43,1.14,38.500,80.0,11.46
Greg,Stiemsma,NO,C,7509,@Tor,7,4.57,1.14,6.14,0.86,1.43,0.57,72.200,66.700,17.39
Marco,Belinelli,SA,G,7423,@Det,7,11.57,1.57,2.57,0.71,0,1.29,45.500,88.900,14.57
Cory,Joseph,SA,G,7312,@Det,8,7.88,2.25,2.25,1.38,0.75,1,47.900,100,15.75
Jordan,Crawford,GS,G,7254,Phi,7,6.43,2.43,1.57,0.86,0,1.43,36.200,88.900,10.11
Giannis,Antetokounmpo,Mil,G,6871,Bos,7,7.57,2,4,0.86,0.43,1.57,35.600,58.100,13.57
Timofey,Mozgov,Den,C,6857,@Ind,7,6.57,0.86,4.14,0.57,0.71,1.71,53.100,92.300,12.75
Andre,Miller,Den,G,6820,@Ind,0,0,0,0,0,0,0,0,0,0.00
Will,Bynum,Det,G,6720,SA,4,4.5,2.75,1,0.5,0.25,1.75,37.500,66.700,8.12
Vitor,Faverani,Bos,C,6700,@Mil,2,3,0,2,1,0,1,50.0,0,5.75
Danny,Granger,Ind,F,6660,Den,7,7.71,1.14,4.14,0.14,0.57,0.57,29.600,94.100,12.68
J.J.,Barea,Min,G,6623,Hou,8,9.38,3.62,2,0.38,0,1.88,40.300,93.300,13.62
Omer,Asik,Hou,C,6610,@Min,1,0,2,5,0,0,1,0,0,8.25
Aaron,Brooks,Hou,G,6570,@Min,2,9.5,2.5,2,1,0.5,1.5,37.500,75.00,14.50
Alexis,Ajinca,NO,F,6566,@Tor,8,3.5,0.25,4.62,0.25,0.88,2.12,56.00,0,9.09
Tyler,Hansbrough,Tor,F,6550,NO,5,3.6,0.2,2.6,0.6,0,1.2,53.800,66.700,6.35
Anthony,Randolph,Den,F,6530,@Ind,4,2.75,0.5,2.75,0.25,0.5,1,33.300,60.0,6.44
Miroslav,Raduljica,Mil,C,6425,Bos,4,5.25,1,4,0.25,1,1.25,53.300,83.300,12.00
Austin,Rivers,NO,G,6359,@Tor,8,8,2.12,2.12,0.5,0.38,0.88,36.800,85.700,12.28
Donatas,Motiejunas,Hou,F,6333,@Min,5,7,0.4,5,0.4,0.2,0.8,52.00,72.700,12.75
Luke,Ridnour,Mil,G,6215,Bos,4,0.5,1.25,0.75,0.25,0,1.25,11.100,0,1.56
Anthony,Morrow,NO,G,6090,@Tor,8,8.25,0.5,1.5,0.38,0.25,0.5,47.200,75.00,9.75
Jeff,Withey,NO,C,6045,@Tor,5,2.2,0.4,4.2,0.2,1,0.6,35.700,50.0,8.85
Luis,Scola,Ind,F,5864,Den,7,5.71,1.57,4.71,0.43,0,1,33.300,60.0,11.11
Aron,Baynes,SA,C,5819,@Det,4,3,1,3.5,0.25,0.25,0.5,40.0,100,8.62
Chris,Johnson,Bos,F,5813,@Mil,7,7.43,1.14,2.43,0.57,0.14,0.57,45.900,100,11.61
Greivis,Vasquez,Tor,G,5794,NO,6,5.83,4.17,1.83,0.17,0,2,33.300,100,10.71
Nando,De Colo,SA,G,5720,@Det,8,7,1.62,1.75,0.62,0.25,0.88,47.500,84.200,11.00
Greg,Smith,Hou,C,5668,@Min,0,0,0,0,0,0,0,0,0,0.00
Alexey,Shved,Min,G,5665,Hou,5,4.4,0.6,1.2,0.4,0.4,1,29.200,66.700,5.40
C.J.,Watson,Ind,G,5655,Den,7,6.71,1.43,1.43,1.14,0.57,0.57,39.500,64.300,11.29
Francisco,Garcia,Hou,G,5645,@Min,0,0,0,0,0,0,0,0,0,0.00
Marreese,Speights,GS,F,5635,Phi,7,4.29,0.29,3.86,0.14,0.57,0.57,44.400,100,9.32
Shannon,Brown,SA,G,5570,@Det,5,1.8,0.2,1.4,0,0,1,25.00,60.0,1.75
Josh,Harrellson,Det,C,5515,SA,3,1.67,0.67,5.33,0.33,0.67,1,20.0,0,9.00
Ekpe,Udoh,Mil,F,5510,Bos,0,0,0,0,0,0,0,0,0,0.00
Quincy,Miller,Den,F,5476,@Ind,7,7.57,0.43,3.14,0.86,0.71,0.86,45.00,76.900,12.64
Chris,Copeland,Ind,F,5445,Den,1,2,0,1,0,0,0,33.300,0,2.25
Phil,Pressey,Bos,G,5340,@Mil,6,2,2.17,1.67,0.5,0,1.67,22.200,0,4.92
Dwight,Buycks,Tor,G,5325,NO,0,0,0,0,0,0,0,0,0,0.00
A.J.,Price,Min,G,5180,Hou,3,1,0,0.33,0,0,0,25.00,0,0.92
Donald,Sloan,Ind,G,5168,Den,1,0,0,0,0,0,1,0,0,-1.50
Jonas,Jerebko,Det,F,5148,SA,6,1.5,0.5,1.83,0,0.17,0.67,30.0,75.00,3.54
MarShon,Brooks,GS,G,5145,Phi,4,1,0,0.75,0.25,0,0,40.0,0,2.06
Jeff,Ayres,SA,F,5144,@Det,7,2.71,2,3,0.14,0.43,1.14,63.600,62.500,8.96
Gorgui,Dieng,Min,C,5140,Hou,7,0.86,0.14,3.43,0.43,0.43,0.57,14.300,100,5.64
John,Salmons,Tor,F,5105,NO,7,5,2.43,1.14,1,0.14,0.86,31.700,100,9.50
Robbie,Hummel,Min,F,5090,Hou,2,2.5,0.5,1.5,0,0.5,0.5,40.0,0,4.88
Kent,Bazemore,GS,G,5075,Phi,7,0.14,0.29,0,0,0,0,0,50.0,0.21
Rasual,Butler,Ind,G,5038,Den,4,2.5,0,1.25,0.25,0,0,60.0,100,4.31
Solomon,Hill,Ind,F,5025,Den,0,0,0,0,0,0,0,0,0,0.00
Chauncey,Billups,Det,G,5019,SA,1,2,2,1,0,0,2,25.00,0,2.75
Chuck,Hayes,Tor,C,4950,NO,7,2.43,1.14,3.71,0.29,0,0.43,44.400,33.300,8.07
Hollis,Thompson,Phi,F,4914,@GS,8,5.5,0.5,2.75,1.25,0,0.75,45.700,66.700,10.06
Luigi,Datome,Det,F,4858,SA,3,1.33,0,0.67,0,0,0,28.600,0,1.33
Charlie,Villanueva,Det,F,4778,SA,1,2,0,1,0,0,0,33.300,0,2.25
Nemanja,Nedovic,GS,G,4770,Phi,0,0,0,0,0,0,0,0,0,0.00
Jordan,Hamilton,Den,F,4762,@Ind,4,0.75,0,2,0.25,0,0.5,10.0,50.0,2.00
Lorenzo,Brown,Phi,G,4750,@GS,3,1,1.33,0.67,0.33,0,0,16.700,0,3.67
Steve,Novak,Tor,F,4702,NO,5,4.8,0.6,1.2,0,0.4,0,38.100,100,6.70
Luc Richard,Mbah a Moute,Min,F,4663,Hou,7,2.71,0.43,1.86,0.29,0.29,0.57,26.300,90.0,5.18
Kentavious,Caldwell-Pope,Det,G,4644,SA,7,3.57,0.43,1,0.86,0.14,0.29,35.700,66.700,5.82
Elliot,Williams,Phi,G,4632,@GS,8,8.5,1,1.5,0.12,0,0.75,44.00,66.700,9.19
Matt,Bonner,SA,C,4615,@Det,8,2.75,0.25,2.5,0.62,0.75,0.38,35.00,66.700,7.69
Peyton,Siva,Det,G,4563,SA,0,0,0,0,0,0,0,0,0,0.00
Omri,Casspi,Hou,F,4559,@Min,5,3.8,1,3.8,0.2,0,1.2,35.300,38.500,7.35
Ian,Mahinmi,Ind,C,4499,Den,7,3.14,0.14,3.57,0.43,0.71,0.71,38.100,42.900,7.89
Darrell,Arthur,Den,F,4368,@Ind,6,3.17,0.5,2.17,0.33,0,0.33,26.900,100,5.38
