FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
LeBron,James,Mia,F,22626,@LAL,76,26.79,7.25,8.03,1.70,0.88,2.97,56.500,75.300,45.14
Kevin,Durant,OKC,F,22347,@NY,81,28.15,4.62,7.90,1.43,1.30,3.46,51.000,90.500,42.18
Stephen,Curry,GS,G,21064,LAC,78,22.90,6.91,4.03,1.62,0.15,3.08,45.100,90.000,33.69
Dwight,Howard,Hou,C,20975,@SA,76,17.05,1.42,12.43,1.11,2.45,2.96,57.800,49.200,34.21
Chris,Paul,LAC,G,20938,@GS,70,16.94,9.69,3.74,2.41,0.14,2.27,48.100,88.500,35.56
Carmelo,Anthony,NY,F,19081,OKC,67,28.66,2.55,6.87,0.78,0.48,2.61,44.900,83.000,34.19
Russell,Westbrook,OKC,G,18888,@NY,82,23.21,7.40,5.22,1.77,0.29,3.33,43.800,80.0,35.67
Blake,Griffin,LAC,F,18509,@GS,80,18,3.74,8.28,1.21,0.62,2.31,53.800,66.000,31.31
Tim,Duncan,SA,F,17444,Hou,69,17.78,2.67,9.94,0.72,2.65,2.13,50.200,81.700,34.91
David,Lee,GS,F,16891,LAC,79,18.47,3.53,11.22,0.85,0.28,2.62,51.900,79.700,33.47
Joakim,Noah,Chi,C,16786,@Bkn,66,11.88,3.97,11.11,1.18,2.14,2.67,48.100,75.100,32.76
Pau,Gasol,LAL,C,16642,Mia,49,13.73,4.08,8.59,0.49,1.24,2.12,46.600,70.200,28.25
Dwyane,Wade,Mia,G,16270,@LAL,69,21.20,5.10,4.99,1.86,0.81,2.81,52.100,72.500,32.96
Deron,Williams,Bkn,G,16093,Chi,78,18.92,7.74,2.97,0.96,0.38,2.79,44.000,85.900,29.79
James,Harden,Hou,G,16043,@SA,78,25.94,5.83,4.86,1.82,0.49,3.78,43.800,85.100,36.02
Andrew,Bogut,GS,C,15567,LAC,32,5.81,2.09,7.66,0.62,1.72,1.09,45.100,50.0,20.24
DeAndre,Jordan,LAC,C,15445,@GS,82,8.83,0.34,7.24,0.59,1.37,1.22,64.300,38.600,19.09
Luol,Deng,Chi,F,15270,@Bkn,75,16.49,2.96,6.35,1.08,0.43,1.92,42.600,81.600,25.43
Paul,Pierce,Bkn,F,14962,Chi,77,18.57,4.81,6.32,1.09,0.39,2.78,43.600,78.700,29.28
Chandler,Parsons,Hou,F,14717,@SA,76,15.49,3.54,5.32,0.99,0.42,1.93,48.600,72.900,24.87
Chris,Bosh,Mia,C,14502,@LAL,74,16.65,1.66,6.77,0.89,1.36,1.73,53.500,79.800,27.12
Tony,Parker,SA,G,14304,Hou,66,20.32,7.56,3,0.82,0.09,2.58,52.200,84.500,30.66
Serge,Ibaka,OKC,F,13957,@NY,80,13.19,0.54,7.71,0.35,3.02,1.56,57.300,74.900,26.45
Tyson,Chandler,NY,C,13075,OKC,66,10.44,0.94,10.65,0.64,1.14,1.32,63.800,69.400,25.69
Carlos,Boozer,Chi,F,12912,@Bkn,79,16.22,2.27,9.76,0.84,0.35,2.23,47.700,73.100,27.74
Joe,Johnson,Bkn,G,12809,Chi,72,16.25,3.51,3.03,0.68,0.19,1.71,42.300,82.000,20.93
Kawhi,Leonard,SA,F,12773,Hou,58,11.88,1.60,5.97,1.67,0.55,1.07,49.400,82.500,22.64
Andray,Blatche,Bkn,C,12542,Chi,82,10.28,1.04,5.09,1.05,0.66,1.5,51.200,68.500,17.68
D.J.,Augustin,Chi,G,11713,@Bkn,76,4.68,2.24,1.20,0.45,0.04,0.89,35.000,83.800,8.25
Manu,Ginobili,SA,G,11595,Hou,60,11.75,4.57,3.35,1.33,0.22,2.2,42.500,79.600,20.75
Xavier,Henry,LAL,F,11334,Mia,50,3.88,0.26,1.8,0.32,0.1,0.62,41.000,63.000,5.45
