FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Anthony,Davis,NO,F,23815,Mia,59,21.58,1.58,10.39,1.39,2.88,1.75,52.800,78.800,39.39
LeBron,James,Mia,F,22571,@NO,64,26.78,6.42,6.88,1.62,0.33,3.45,57.100,74.400,40.79
Joakim,Noah,Chi,C,20483,Phi,67,12.33,5.06,11.28,1.16,1.54,2.36,48.100,72.600,33.99
Blake,Griffin,LAC,F,19929,Det,69,24.35,3.68,9.71,1.14,0.57,2.81,53.000,70.500,37.32
Chris,Paul,LAC,G,19225,Det,50,18.7,10.94,4.4,2.44,0.08,2.44,46.300,85.500,39.05
Stephen,Curry,GS,G,18661,SA,67,23.54,8.55,4.33,1.57,0.18,3.81,46.400,87.800,36.49
James,Harden,Hou,G,18169,@Cle,60,24.62,5.62,4.67,1.45,0.43,3.72,45.700,85.700,33.87
LaMarcus,Aldridge,Por,F,18090,@Cha,60,23.42,2.65,11.07,0.85,1,1.85,45.900,81.900,36.98
Al,Jefferson,Cha,C,17968,Por,60,21.27,2.12,10.43,0.95,1.12,1.68,50.300,67.700,34.72
Dwight,Howard,Hou,C,17677,@Cle,66,18.64,1.83,12.38,0.83,1.80,3.30,58.900,54.800,34.38
Nicolas,Batum,Por,F,17258,@Cha,69,13.28,5.16,7.46,0.94,0.67,2.61,45.800,82.300,27.97
Andre,Drummond,Det,C,16670,@LAC,67,13.13,0.42,12.82,1.28,1.79,1.31,61.800,42.400,31.74
Paul,George,Ind,F,16157,@Mem,69,22.03,3.61,6.62,1.75,0.29,2.77,43.100,87.400,31.84
Tyreke,Evans,NO,F,15996,Mia,59,13.58,4.63,4.61,1.14,0.32,2.20,42.600,79.100,23.18
Greg,Monroe,Det,F,15904,@LAC,68,14.90,2.06,9.16,1.13,0.57,2.09,50.600,65.900,27.08
DeAndre,Jordan,LAC,C,15628,Det,69,10.23,0.96,13.77,1.04,2.38,1.39,66.400,45.700,32.09
Nikola,Vucevic,Orl,C,15541,@Uta,51,14.04,1.73,10.82,1,0.86,2,50.800,76.600,28.66
Damian,Lillard,Por,G,15489,@Cha,69,21.20,5.62,3.61,0.70,0.30,2.43,42.900,88.000,28.76
Kyrie,Irving,Cle,G,15310,Hou,64,21.16,6.23,3.58,1.39,0.33,2.73,42.800,85.700,30.25
Tim,Duncan,SA,F,15162,@GS,63,14.97,3.05,10.02,0.56,1.90,2.14,48.500,73.300,31.12
Marc,Gasol,Mem,C,15101,Ind,45,13.84,3.71,6.71,0.98,1.42,1.98,46.500,81.100,27.20
Michael,Carter-Williams,Phi,G,15039,@Chi,57,16.86,6.26,6,1.91,0.65,3.79,39.900,68.900,29.61
Dwyane,Wade,Mia,G,14916,@NO,50,19.28,4.88,4.64,1.5,0.54,2.92,54.600,75.300,29.74
Josh,Smith,Det,F,14907,@LAC,68,16.54,3.37,7.12,1.46,1.47,2.54,41.700,53.700,28.12
Thaddeus,Young,Phi,F,14904,@Chi,66,17.91,2.29,6.09,2.24,0.41,2.08,46.100,69.800,27.42
David,Lee,GS,F,14502,SA,65,18.54,2.17,9.45,0.66,0.4,2.2,52.400,78.700,29.63
Kemba,Walker,Cha,G,13993,Por,62,17.60,5.79,4.19,1.24,0.45,2.44,40.300,82.800,27.52
Zach,Randolph,Mem,F,13848,Ind,65,17.18,2.52,10.2,0.63,0.25,2.34,46.100,73.500,28.48
Tony,Parker,SA,G,13800,@GS,57,17.58,6.11,2.25,0.49,0.16,2.35,50.400,79.900,24.65
Mike,Conley,Mem,G,13687,Ind,59,17.02,6.02,2.86,1.54,0.22,2.10,43.800,84.700,26.78
Spencer,Hawes,Cle,C,13648,Hou,67,13.60,3.09,8.57,0.52,1.21,2.19,45.500,78.500,26.89
Chris,Bosh,Mia,C,13584,@NO,66,16.67,1.05,6.80,0.94,0.92,1.48,52.400,82.400,25.77
Kawhi,Leonard,SA,F,13162,@GS,53,12.26,1.83,6.28,1.74,0.68,1.26,52.200,79.600,23.99
Luol,Deng,Cle,F,13057,Hou,54,16.63,2.81,6.02,1.06,0.15,1.93,43.300,79.100,24.41
David,West,Ind,F,12960,@Mem,69,13.94,2.80,6.72,0.83,0.91,1.70,49.100,76.700,24.98
Lance,Stephenson,Ind,G,12900,@Mem,67,14.25,4.79,7.27,0.76,0.09,2.75,49.700,71.000,26.23
Chandler,Parsons,Hou,F,12870,@Cle,62,16.10,3.92,5.53,1.15,0.39,1.95,47.700,73.500,26.25
Terrence,Jones,Hou,F,12822,@Cle,63,11.68,1.13,7.06,0.62,1.30,0.97,54.000,58.300,22.48
Derrick,Favors,Uta,F,12767,Orl,60,12.97,1.12,8.57,0.95,1.38,1.75,51.800,68.600,25.26
Gordon,Hayward,Uta,F,12701,Orl,64,15.72,5.23,5.44,1.47,0.56,2.81,41.100,80.700,27.25
Andrew,Bogut,GS,C,12539,SA,61,7.77,1.66,10.08,0.74,1.85,1.52,63.800,34.400,25.12
Jimmy,Butler,Chi,G,12517,Phi,54,12.98,2.33,4.98,2.04,0.59,1.57,39.100,77.500,22.68
Dion,Waiters,Cle,G,12474,Hou,57,14.77,2.82,2.84,0.89,0.18,2.25,42.200,66.700,18.02
Anderson,Varejao,Cle,C,12364,Hou,54,8.56,2.39,9.98,1.17,0.70,1.13,48.900,69.100,25.04
Tobias,Harris,Orl,F,12277,@Uta,48,15.08,1.42,7.15,0.65,0.42,1.29,45.700,82.000,23.31
Jameer,Nelson,Orl,G,12087,@Uta,61,12.21,6.92,3.41,0.77,0.08,2.34,39.300,86.900,22.74
Brandon,Jennings,Det,G,12031,@LAC,66,15.98,7.76,3.05,1.35,0.11,2.73,37.600,75.900,26.57
Taj,Gibson,Chi,F,11994,Phi,69,13.19,1.14,6.77,0.48,1.35,1.86,47.900,73.800,21.82
Carlos,Boozer,Chi,F,11835,Phi,63,13.95,1.54,8.40,0.70,0.33,2.10,44.800,75.900,22.73
Jarrett,Jack,Cle,G,11488,Hou,67,8.85,3.87,2.66,0.67,0.25,1.69,40.100,83.700,15.54
Klay,Thompson,GS,G,11487,SA,69,18.22,2.25,3.03,0.99,0.49,1.72,44.200,79.100,22.04
Robin,Lopez,Por,C,11435,@Cha,69,10.86,0.84,8.54,0.33,1.71,1.06,54.200,81.100,23.74
