FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
LeBron,James,Mia,F,22239,@Dal,50,26.48,6.56,7.02,1.46,0.32,3.5,57.100,75.100,40.56
Blake,Griffin,LAC,F,21491,SA,55,24.16,3.53,9.82,1.13,0.56,2.67,53.900,70.500,37.33
Al,Jefferson,Cha,C,19005,@Det,44,20.07,2.09,10.5,0.98,1.23,1.43,49.000,67.300,34.15
Chris,Paul,LAC,G,18317,SA,36,19.22,11.11,4.56,2.5,0.08,2.56,47.100,85.700,40.04
Carmelo,Anthony,NY,F,18224,@Mem,49,27.31,2.98,8.63,1.12,0.65,2.39,44.800,84.700,37.25
Andre,Drummond,Det,C,18013,Cha,52,13.10,0.46,13,1.35,1.87,1.44,61.100,41.300,32.03
John,Wall,Was,G,17772,Tor,52,19.79,8.52,4.31,2.04,0.48,3.48,42.000,83.600,34.20
DeAndre,Jordan,LAC,C,17705,SA,55,10.09,0.93,13.98,1.02,2.35,1.49,65.900,44.600,31.90
Josh,Smith,Det,F,16893,Cha,52,16.02,3.52,7.02,1.65,1.44,2.58,42.00,56.400,28.34
Kyrie,Irving,Cle,G,16715,@Phi,50,21.46,6.22,3.2,1.3,0.34,2.66,42.700,85.500,29.86
Goran,Dragic,Pho,G,16715,@Den,48,20.31,6.17,3.54,1.42,0.19,2.90,50.800,78.400,30.23
Brandon,Jennings,Det,G,16343,Cha,50,17.6,8.08,3.28,1.54,0.14,3.06,38.000,78.300,28.75
DeMar,DeRozan,Tor,G,16313,@Was,50,22.42,3.84,4.58,1.2,0.44,2.16,42.800,79.800,29.06
Tim,Duncan,SA,F,15754,@LAC,49,15.55,2.88,10.02,0.51,2.06,2.20,49.500,70.700,31.52
Ty,Lawson,Den,G,15670,Pho,45,18,8.8,3.49,1.47,0.2,3.11,43.400,80.400,31.34
Kyle,Lowry,Tor,G,15669,@Was,52,16.67,7.60,4.46,1.58,0.23,2.27,43.100,79.900,30.97
Paul,Millsap,Atl,F,15522,@Ind,50,17.64,2.98,8.24,1.84,1.14,2.5,46.300,74.400,31.48
Zach,Randolph,Mem,F,14997,NY,50,17.46,2.6,10.36,0.54,0.28,2.46,45.400,75.100,28.71
Dirk,Nowitzki,Dal,F,14934,Mia,52,21.69,2.79,6.08,0.94,0.60,1.37,49.200,91.000,30.92
Dwyane,Wade,Mia,G,14590,@Dal,36,18.72,4.67,4.78,1.58,0.56,3.03,54.800,72.400,29.18
Michael,Carter-Williams,Phi,G,14527,Cle,42,17.12,6.48,5.38,2.12,0.71,3.55,39.600,70.400,30.19
Monta,Ellis,Dal,G,14496,Mia,54,19.30,5.74,3.46,1.78,0.30,3.28,46.100,80.300,28.41
Paul,George,Ind,F,14346,Atl,52,22.23,3.44,6.38,1.79,0.25,2.79,43.800,85.600,31.39
Eric,Bledsoe,Pho,G,14315,@Den,24,17.96,5.83,4.25,1.54,0.33,3.25,48.600,78.900,28.62
Mike,Conley,Mem,G,14145,NY,43,18.05,6.35,2.65,1.56,0.23,1.91,45.800,84.100,28.29
Nene,Hilario,Was,F,13745,Tor,45,14.04,3.04,5.82,1.24,0.93,2.11,49.100,60.200,24.28
Kemba,Walker,Cha,G,13742,@Det,46,18.09,5.20,4.33,1.35,0.48,2.41,41.300,80.300,27.46
George,Hill,Ind,G,13710,Atl,49,11.10,3.55,3.82,0.98,0.33,1.29,45.100,83.300,19.98
Trevor,Ariza,Was,F,13671,Tor,47,14.43,2.74,6.17,1.87,0.30,1.72,44.200,77.200,25.41
Anderson,Varejao,Cle,C,13650,@Phi,48,8.77,2.60,10.25,1.15,0.77,1.15,48.200,69.600,25.90
David,West,Ind,F,13624,Atl,52,13.69,2.88,6.54,0.79,0.92,1.73,49.300,77.400,24.62
Nikola,Vucevic,Orl,C,13521,@Mil,36,13.31,1.78,10.75,1.06,0.94,2.17,49.800,81.200,28.15
Spencer,Hawes,Phi,C,13228,Cle,52,13.19,3.33,8.58,0.60,1.25,2.27,45.300,78.200,27.07
Greg,Monroe,Det,F,13194,Cha,52,14.31,2.06,8.73,1.04,0.38,2.23,51.900,64.000,25.47
Jamal,Crawford,LAC,G,13175,SA,55,18.56,3.25,2.35,0.89,0.18,1.91,41.700,86.400,22.00
Marc,Gasol,Mem,C,13149,NY,29,13.21,3.52,6.38,0.97,1.10,1.90,45.200,82.000,25.30
Tristan,Thompson,Cle,F,12952,@Phi,53,12.09,0.89,9.47,0.47,0.43,1.49,46.400,65.600,22.17
Brandon,Knight,Mil,G,12941,Orl,44,16.70,4.91,3.52,0.93,0.14,2.75,41.400,82.100,23.29
J.J.,Hickson,Den,C,12875,Pho,51,11.71,1.39,9.41,0.73,0.71,1.78,50.800,55.100,23.45
Thaddeus,Young,Phi,F,12749,Cle,51,17.12,1.86,6.14,2.10,0.43,2.02,48.000,67.400,26.30
John,Henson,Mil,F,12640,Orl,40,11.88,1.58,7.95,0.58,2.18,1.55,53.100,57.300,25.28
Chris,Bosh,Mia,C,12537,@Dal,50,16.62,1.16,6.8,0.8,0.96,1.5,53.000,81.200,25.68
Bradley,Beal,Was,G,12534,Tor,43,17.09,3.37,3.77,0.98,0.19,1.91,41.400,80.900,22.35
Tony,Parker,SA,G,12515,@LAC,47,17.72,6.23,2.32,0.53,0.15,2.40,50.100,80.0,25.03
Tyson,Chandler,NY,C,12450,@Mem,28,8.61,1.14,8.82,0.75,1.36,1.14,61.500,60.500,22.78
Lance,Stephenson,Ind,G,12291,Atl,50,14.1,5.12,7.28,0.76,0.08,2.78,50.200,70.0,26.58
Raymond,Felton,NY,G,12282,@Mem,36,10.44,5.89,2.83,1,0.47,2.17,40.700,67.200,20.28
Marcin,Gortat,Was,C,11955,Tor,52,11.94,1.5,8.73,0.5,1.54,1.46,52.800,70.100,25.08
Luol,Deng,Cle,F,11874,@Phi,40,17.18,3.05,6.08,1.1,0.18,2.15,43.900,79.100,25.24
Jeff,Teague,Atl,G,11808,@Ind,49,15.63,7.22,2.59,1.24,0.20,3.14,41.200,83.200,25.16
Roy,Hibbert,Ind,C,11807,Atl,52,11.77,1.35,7.73,0.44,2.48,1.92,46.400,75.300,24.34
Evan,Turner,Phi,F,11330,Cle,53,17.51,3.62,5.94,1,0.09,2.92,43.200,83.000,24.90
Nick,Calathes,Mem,G,11302,NY,41,5.02,2.66,1.73,0.90,0.10,1.49,45.900,54.500,10.24
Victor,Oladipo,Orl,G,11289,@Mil,54,13.85,3.96,4.37,1.63,0.65,3.17,41.000,77.700,22.70
Kawhi,Leonard,SA,F,11240,@LAC,41,11.61,1.76,6.10,1.66,0.46,1.17,51.700,73.800,22.48
Wilson,Chandler,Den,F,10946,Pho,43,14.40,1.77,4.86,0.81,0.63,1.12,42.000,73.500,20.98
Tobias,Harris,Orl,F,10851,@Mil,33,13.67,1.42,7.48,0.42,0.36,1.33,42.600,79.500,21.63
Gerald,Green,Pho,F,10848,@Den,51,14.18,1.65,3.20,0.86,0.63,1.59,44.200,83.800,18.68
Zaza,Pachulia,Mil,C,10807,Orl,23,7.70,2,6.43,1,0.22,1.74,39.000,94.000,17.41
Patrick,Patterson,Tor,F,10776,@Was,48,9.08,1.15,5.33,0.75,0.40,0.96,47.500,72.100,16.56
Josh,McRoberts,Cha,F,10751,@Det,52,8.15,4.12,5.06,0.87,0.56,1.10,43.800,68.800,20.26
Arron,Afflalo,Orl,G,10661,@Mil,50,19.36,3.66,4.14,0.62,0.04,2.08,46.300,82.000,24.92
Miles,Plumlee,Pho,C,10550,@Den,51,9.25,0.55,8.51,0.71,1.43,1.43,50.900,52.800,21.10
Markieff,Morris,Pho,F,10515,@Den,50,12.5,1.64,5.74,0.82,0.62,1.72,46.300,79.500,20.26
Marco,Belinelli,SA,G,10424,@LAC,52,11.27,2.15,2.96,0.65,0.04,1.31,50.300,79.100,16.00
Larry,Sanders,Mil,C,10350,Orl,23,7.74,0.83,7.17,0.78,1.74,1.13,46.900,47.300,19.36
Manu,Ginobili,SA,G,10306,@LAC,42,12.07,4.48,3.33,1,0.21,2.05,45.000,86.500,20.60
Cory,Joseph,SA,G,10275,@LAC,41,5.12,1.63,1.59,0.56,0.24,0.68,46.600,83.600,9.31
Dion,Waiters,Cle,G,10252,@Phi,48,14.33,2.67,2.88,0.85,0.19,2.23,41.700,67.100,17.42
Nate,Wolters,Mil,G,10252,Orl,41,6.73,3.44,2.41,0.71,0.34,0.90,41.000,65.300,13.85
Mario,Chalmers,Mia,G,10176,@Dal,45,9.73,5,2.64,1.73,0.24,2.27,46.300,76.400,20.01
Amir,Johnson,Tor,F,10165,@Was,50,10.34,1.22,6.66,0.64,1.12,1.58,54.200,71.600,20.32
DeMarre,Carroll,Atl,F,10120,@Ind,46,10.46,1.87,5.5,1.46,0.26,0.93,47.400,76.200,20.24
Boris,Diaw,SA,F,10080,@LAC,50,9.76,2.48,3.5,0.52,0.44,1.48,56.000,76.600,16.52
Khris,Middleton,Mil,F,10034,Orl,52,11.46,2,4.12,1.08,0.31,1.48,44.700,82.100,18.04
Amar'e,Stoudemire,NY,F,9861,@Mem,39,10.10,0.41,4.49,0.44,0.46,1.51,54.600,67.300,14.44
Andrea,Bargnani,NY,C,9855,@Mem,42,13.29,1.07,5.29,0.33,1.24,1.38,44.200,82.400,19.71
Jonas,Valanciunas,Tor,C,9844,@Was,52,10.63,0.69,8.85,0.27,0.92,1.79,50.100,73.700,20.84
Channing,Frye,Pho,F,9810,@Den,51,12.29,1.18,5.24,0.76,0.76,1.12,44.900,79.400,19.62
Randy,Foye,Den,G,9743,Pho,50,11.72,3,2.62,0.68,0.5,1.6,40.200,86.400,17.18
J.R.,Smith,NY,G,9600,@Mem,44,13,3,4,0.93,0.23,1.45,38.900,60.900,19.20
P.J.,Tucker,Pho,F,9580,@Den,51,9.43,1.82,6.29,1.16,0.27,1.24,42.400,78.400,19.16
Patrick,Mills,SA,G,9522,@LAC,53,9.38,1.62,1.64,0.89,0.13,0.75,47.300,87.500,13.17
J.J.,Redick,LAC,G,9480,SA,30,15.67,2.2,2.1,0.83,0.1,1.2,45.900,91.400,18.96
Tony,Allen,Mem,G,9465,NY,27,10.22,2,3.85,1.96,0.44,1.81,49.300,68.200,18.50
James,Johnson,Mem,F,9260,NY,29,8.48,2.62,4.21,1.17,1.59,1.55,45.300,83.000,19.50
Jose,Calderon,Dal,G,9242,Mia,53,11.62,4.75,2.32,0.98,0.09,1.23,44.800,81.400,19.87
Glen,Davis,Orl,F,9178,@Mil,43,12.63,1.60,6.49,1.02,0.51,1.35,45.800,67.500,21.26
Courtney,Lee,Mem,G,9148,NY,49,9.92,1.37,2.20,0.86,0.37,0.92,49.900,88.900,14.23
Jon,Leuer,Mem,F,9130,NY,34,7.12,0.56,3.85,0.41,0.32,0.65,48.800,84.800,12.01
Shawn,Marion,Dal,F,9067,Mia,48,10.65,1.71,6.75,1.19,0.54,1.29,46.500,80.800,21.14
Rodney,Stuckey,Det,G,9052,Cha,44,14.05,1.98,2.39,0.82,0.20,1.77,45.100,81.600,16.73
Gustavo,Ayon,Atl,F,9009,@Ind,25,4.48,1.12,4.96,0.92,0.36,1.12,53.100,40.0,12.64
Kyle,Korver,Atl,G,9002,@Ind,47,11.77,2.94,4.02,1.06,0.34,1.34,47.500,92.300,20.38
Danny,Green,SA,G,8947,@LAC,43,7.67,1.47,3.30,1.09,0.93,1.09,40.600,85.300,14.91
Gerald,Henderson,Cha,G,8916,@Det,53,15.09,2.72,4.15,0.75,0.38,1.60,42.300,77.600,20.70
Jameer,Nelson,Orl,G,8823,@Mil,49,12.96,6.55,3.47,0.76,0.06,2.45,40.500,88.500,22.86
Trevor,Booker,Was,F,8800,Tor,42,6.29,0.93,5.93,0.43,0.36,0.74,54.200,52.900,14.49
Vince,Carter,Dal,F,8700,Mia,53,11.30,2.81,3.32,0.68,0.42,1.38,40.800,82.200,17.43
Caron,Butler,Mil,F,8685,Orl,32,10.5,1.72,4.59,0.69,0.28,1.5,38.200,84.900,16.02
Ersan,Ilyasova,Mil,F,8465,Orl,40,10.18,1.35,5.92,0.92,0.12,1.3,37.500,80.500,16.93
Tiago,Splitter,SA,C,8450,@LAC,34,8.15,1.15,6.26,0.44,0.47,1.26,54.400,69.100,16.52
C.J.,Miles,Cle,G,8360,@Phi,48,10.19,1.06,2.08,0.94,0.31,0.90,43.700,85.900,13.55
Beno,Udrih,NY,G,8340,@Mem,31,5.58,3.55,1.84,0.71,0.10,1.35,42.500,83.300,11.91
Darren,Collison,LAC,G,8339,SA,55,10.11,3.62,2.31,1.09,0.2,1.64,46.400,87.000,17.16
Kyle,Singler,Det,F,8307,Cha,52,8.81,0.62,3.67,0.60,0.44,0.98,44.200,78.500,13.26
Kenneth,Faried,Den,F,8302,Pho,49,10.45,0.96,7.53,0.73,0.98,1.24,54.400,58.800,21.07
O.J.,Mayo,Mil,G,8110,Orl,41,12.22,2.44,2.63,0.63,0.27,2.12,39.600,87.300,15.33
Ramon,Sessions,Cha,G,8085,@Det,53,10.49,3.68,2.09,0.62,0.11,1.68,40.200,78.600,15.42
Brandan,Wright,Dal,C,8033,Mia,30,9.6,0.47,4.27,0.57,0.8,0.67,67.800,73.200,16.45
Michael,Beasley,Mia,F,8020,@Dal,35,8.74,0.66,3.49,0.46,0.29,1.14,51.000,75.00,12.53
Marcus,Morris,Pho,F,7970,@Den,51,9.90,1,4.18,0.94,0.24,1.18,43.700,80.200,15.33
Jeremy,Tyler,NY,C,7936,@Mem,17,4.71,0.24,3.35,0.24,0.53,0.53,55.600,58.800,9.22
Matt,Barnes,LAC,F,7898,SA,36,7.33,1.69,4.14,0.75,0.31,1.19,38.500,70.600,13.65
Andrew,Bynum,Ind,C,7895,Atl,24,8.42,1.12,5.25,0.25,1.17,1.25,41.900,76.200,15.58
Terrence,Ross,Tor,G,7852,@Was,52,10.31,0.87,3.25,0.69,0.37,1.06,41.200,81.000,13.97
Ray,Allen,Mia,G,7697,@Dal,47,9.28,2.13,3.02,0.87,0.13,1.36,43.600,90.0,14.74
Kyle,O'Quinn,Orl,C,7638,@Mil,41,4.32,0.78,4.07,0.44,0.93,0.88,47.100,73.800,11.30
Kenyon,Martin,NY,F,7635,@Mem,32,4.28,1.56,4.19,0.78,0.84,0.81,51.200,57.900,13.23
Samuel,Dalembert,Dal,C,7616,Mia,52,6.35,0.40,6.27,0.56,1.06,1.06,57.600,73.300,15.80
Lavoy,Allen,Phi,F,7607,Cle,50,5.14,1.24,5.4,0.44,0.54,0.78,43.800,67.500,13.34
Devin,Harris,Dal,G,7595,Mia,12,8.92,3.75,1.42,0.17,0,0.83,42.500,83.300,13.65
Michael,Kidd-Gilchrist,Cha,F,7542,@Det,33,7.91,0.94,4.94,0.67,0.70,1.27,46.300,60.200,14.58
James,Anderson,Phi,G,7541,Cle,54,9.87,1.70,3.98,0.89,0.35,1.35,45.200,72.500,16.01
Tony,Wroten,Phi,G,7446,Cle,47,12.70,2.96,3.23,1,0.21,2.81,41.600,62.300,16.70
Anthony,Tolliver,Cha,F,7389,@Det,44,5.89,0.73,2.77,0.30,0.23,0.41,43.100,83.300,9.76
Jordan,Hamilton,Den,F,7347,Pho,38,6.82,0.89,3.39,0.79,0.32,0.71,38.900,73.300,11.81
Pablo,Prigioni,NY,G,7344,@Mem,36,3.58,3.39,2.25,1.28,0.03,0.78,43.000,100,12.47
Metta,World Peace,NY,F,7331,@Mem,28,4.96,0.61,2.07,0.86,0.25,0.64,40.300,62.500,8.45
Lou,Williams,Atl,G,7304,@Ind,38,9.37,3.58,1.87,0.87,0.11,1.63,37.800,82.900,14.65
Timofey,Mozgov,Den,C,7287,Pho,51,8.51,0.67,5.65,0.31,1.20,1.41,54.900,73.700,16.49
Shelvin,Mack,Atl,G,7255,@Ind,44,7.18,3.59,1.95,0.82,0.02,1.11,43.100,84.600,13.65
Elton,Brand,Atl,F,7133,@Ind,43,4.93,0.49,4.30,0.33,1.16,0.70,53.000,70.800,12.24
Kosta,Koufos,Mem,C,7114,NY,51,6.92,0.55,5.92,0.45,0.98,0.88,48.000,61.400,15.22
Nando,De Colo,SA,G,7093,@LAC,25,4.48,1.28,1.76,0.6,0.12,0.84,45.200,81.800,8.10
Arnett,Moultrie,Phi,F,7080,Cle,3,1.33,0,3,1,0.67,0.67,22.200,0,6.58
Norris,Cole,Mia,G,7057,@Dal,51,7.65,3.20,2.31,1.10,0.08,1.73,44.700,82.400,14.03
Byron,Mullens,LAC,F,6985,SA,27,2.48,0.22,1.19,0.22,0.11,0.48,40.600,33.300,3.70
Kevin,Seraphin,Was,C,6910,Tor,39,5.56,0.36,2.69,0.05,0.49,0.95,51.900,86.200,8.40
DeJuan,Blair,Dal,F,6843,Mia,53,7.49,1.06,5.70,0.91,0.34,1.09,55.200,61.200,15.97
Pero,Antic,Atl,C,6840,@Ind,29,5.79,1.03,3.41,0.28,0.31,0.79,42.800,77.800,10.53
Chris,Andersen,Mia,C,6840,@Dal,44,6.52,0.36,4.61,0.48,1.11,0.70,67.700,67.300,14.35
Andre,Miller,Den,G,6820,Pho,30,5.87,3.33,2.43,0.5,0.23,1.1,45.800,74.500,12.78
Will,Bynum,Det,G,6795,Cha,33,7.82,2.79,1.67,0.76,0.18,1.67,44.00,79.000,12.19
Bismack,Biyombo,Cha,F,6770,@Det,48,3.54,0.10,5.19,0.06,1.10,0.60,65.00,57.100,11.23
Andrew,Nicholson,Orl,F,6690,@Mil,50,6.22,0.26,3.8,0.24,0.42,0.78,43.900,80.0,10.19
Tyler,Hansbrough,Tor,F,6650,@Was,35,5.49,0.26,4.74,0.4,0.26,0.86,45.400,71.200,10.84
Tyler,Zeller,Cle,C,6550,@Phi,42,4.29,0.40,3.45,0.26,0.45,0.79,54.200,67.900,8.92
Martell,Webster,Was,G,6521,Tor,50,10.72,1.42,3.38,0.6,0.24,0.82,44.300,85.200,15.54
Tayshaun,Prince,Mem,F,6510,NY,49,6.10,1.69,3.06,0.55,0.20,0.59,39.200,58.500,11.15
Danny,Granger,Ind,F,6483,Atl,27,8.56,1.15,3.63,0.33,0.48,1.19,36.000,96.100,12.72
Anthony,Bennett,Cle,F,6434,@Phi,41,3.76,0.27,2.80,0.44,0.17,0.90,31.800,63.600,6.32
Miroslav,Raduljica,Mil,C,6425,Orl,36,4.56,0.53,2.5,0.19,0.33,0.58,57.100,83.700,8.18
Jeff,Adrien,Cha,F,6406,@Det,24,2.38,0.29,3.54,0.29,0.58,0.29,55.00,52.00,8.07
Luke,Ridnour,Mil,G,6215,Orl,36,5.72,3.39,1.72,0.64,0.06,1.28,38.400,68.400,11.11
Iman,Shumpert,NY,F,6186,@Mem,50,7.02,1.82,4.56,1.2,0.16,1.24,38.200,77.800,14.79
Maurice,Harkless,Orl,F,6152,@Mil,52,6.5,0.81,3.12,1.13,0.5,0.83,45.500,60.200,12.23
Toure',Murry,NY,G,6085,@Mem,32,2.66,1.09,0.97,0.47,0,0.62,42.200,56.00,4.90
Greg,Oden,Mia,C,6005,@Dal,9,2.56,0,2.33,0.44,0.67,0.44,50.0,50.0,6.47
Jarrett,Jack,Cle,G,5998,@Phi,51,8.47,3.69,2.63,0.65,0.25,1.55,39.700,82.100,14.99
Alex,Len,Pho,C,5993,@Den,21,2.19,0.05,2.67,0.14,0.38,0.52,43.900,76.900,5.50
Hollis,Thompson,Phi,F,5985,Cle,50,5.82,0.74,3.46,0.7,0.12,0.7,47.000,68.500,10.78
Leandro,Barbosa,Pho,G,5940,@Den,16,8.44,1.75,1.94,0.31,0.25,1,44.600,81.100,11.45
Ed,Davis,Mem,F,5936,NY,45,6.42,0.47,4.47,0.31,0.73,0.62,53.600,54.200,12.61
Jan,Vesely,Was,F,5930,Tor,32,3.25,0.31,3.5,0.81,0.59,0.69,52.200,26.700,9.19
Giannis,Antetokounmpo,Mil,G,5909,Orl,47,6.94,1.72,4.51,0.70,0.72,1.66,42.700,67.800,14.35
Gary,Neal,Mil,G,5906,Orl,29,10.17,1.55,1.72,0.17,0,1.31,38.900,83.300,10.69
Aron,Baynes,SA,C,5774,@LAC,31,3.13,0.65,2.90,0.03,0.10,0.71,42.400,92.900,6.34
Cody,Zeller,Cha,F,5770,@Det,53,5.04,1.09,4.02,0.47,0.42,1,38.000,74.000,10.73
Luis,Scola,Ind,F,5762,Atl,52,7.71,0.90,5.21,0.35,0.21,1.40,45.700,74.100,13.15
Kentavious,Caldwell-Pope,Det,G,5755,Cha,50,6.74,0.9,2.1,1.04,0.12,0.44,39.300,75.00,10.46
John,Jenkins,Atl,G,5670,@Ind,13,3.08,0.85,1.69,0.08,0.08,0.85,38.100,100,4.92
Hedo,Turkoglu,LAC,F,5610,SA,14,2.43,1.43,2.86,0.5,0.14,0.57,41.900,45.500,8.00
Henry,Sims,Cle,C,5605,@Phi,18,1.78,0.22,2.5,0.28,0.39,0.44,36.800,50.0,5.35
Shannon,Brown,SA,G,5570,@LAC,7,2.14,0.29,1,0.14,0,0.71,29.400,71.400,2.39
Al,Harrington,Was,F,5543,Tor,7,7.86,1,1.43,0.57,0,1.29,36.500,71.400,8.50
Jannero,Pargo,Cha,G,5465,@Det,19,5.26,1.68,0.58,0.47,0,1,47.500,66.700,7.28
Anthony,Randolph,Den,F,5461,Pho,25,5.08,0.48,2.88,0.6,0.6,1.04,41.200,79.200,9.42
Chris,Copeland,Ind,F,5445,Atl,22,2.95,0.32,0.5,0.09,0.18,0.14,44.200,85.700,3.78
Cartier,Martin,Atl,F,5425,@Ind,35,5.89,0.57,1.74,0.46,0.11,0.69,43.100,76.500,7.96
Evan,Fournier,Den,G,5412,Pho,45,6.76,0.98,2.22,0.31,0.09,1.29,41.500,66.700,8.56
Dionte,Christmas,Pho,G,5388,@Den,24,2.25,0.21,1.17,0.08,0.12,0.17,37.800,87.500,3.65
Ekpe,Udoh,Mil,F,5385,Orl,34,3.74,0.76,3.94,0.41,1.12,1.03,40.200,64.400,10.53
Jared,Dudley,LAC,F,5363,SA,55,7.71,1.51,2.2,0.64,0.15,0.85,44.600,65.00,11.44
Jason,Maxiell,Orl,C,5355,@Mil,31,3.45,0.29,2.71,0.23,0.61,0.42,46.100,48.100,7.42
Shane,Battier,Mia,F,5350,@Dal,45,4.87,0.82,2,0.56,0.6,0.18,41.800,72.200,9.50
Dwight,Buycks,Tor,G,5325,@Was,13,3.15,0.77,1.54,0.46,0,0.46,34.100,88.900,5.62
Ish,Smith,Pho,G,5315,@Den,39,3.69,2.28,1.51,0.72,0.18,0.97,38.600,52.400,8.35
Matthew,Dellavedova,Cle,G,5300,@Phi,43,3.70,1.72,1.35,0.53,0.12,0.53,39.900,78.600,7.70
Glen,Rice Jr.,Was,F,5283,Tor,11,2.91,0.64,1.82,0.55,0.09,0.82,29.700,71.400,5.32
Earl,Clark,Cle,F,5280,@Phi,44,5.32,0.36,2.86,0.36,0.43,0.68,37.500,58.300,8.53
Landry,Fields,Tor,F,5245,@Was,23,2.43,0.83,2.22,0.30,0.09,0.39,35.600,63.600,5.84
Rasual,Butler,Ind,G,5165,Atl,29,2.28,0.21,0.62,0.10,0.10,0.10,53.200,100,3.29
Chris,Singleton,Was,F,5155,Tor,14,3.71,0.29,2.14,0.5,0.21,0.71,40.900,81.800,6.54
Ronnie,Price,Orl,G,5150,@Mil,21,1.86,1.33,1.48,0.71,0.10,0.43,32.600,60.0,6.11
Jeff,Ayres,SA,F,5149,@LAC,49,3.22,0.98,3.57,0.20,0.29,0.88,55.00,72.200,8.61
Julyan,Stone,Tor,G,5125,@Was,19,0.95,0.63,1.05,0.16,0,0.26,41.200,66.700,2.97
Ian,Mahinmi,Ind,C,5119,Atl,51,3.06,0.31,3.25,0.57,0.90,0.76,42.100,60.0,8.74
Rashard,Lewis,Mia,F,5105,@Dal,44,4.27,0.98,1.84,0.98,0.18,0.61,41.700,72.200,8.57
Mike,Scott,Atl,F,5089,@Ind,49,9.14,1.02,3.49,0.33,0.08,0.80,47.700,81.900,13.03
