FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Love,Min,F,22626,Det,6,29.17,5.33,12,1,0.5,2.83,46.000,80.300,46.17
Carmelo,Anthony,NY,F,19738,Uta,8,32.12,3.12,7.38,1,0.38,3.75,48.700,83.000,38.34
DeMarcus,Cousins,Sac,C,19182,@Tor,6,20.17,2.83,10.17,0.83,1.33,3.67,48.800,78.200,33.38
Stephen,Curry,GS,G,18941,Atl,8,20,7,5.5,1,0.12,3.38,45.700,87.000,31.75
Al,Jefferson,Cha,C,18705,Cle,6,26,1.67,10,1,0.67,2,54.300,68.200,36.83
Anthony,Davis,NO,F,18627,Mil,8,19.62,1.75,9.5,0.5,1.5,1,50.900,81.600,33.06
LaMarcus,Aldridge,Por,F,18428,@Dal,3,15.67,1.67,6.33,1,1,3.33,36.200,92.900,21.58
James,Harden,Hou,G,18249,Ind,7,27.86,7.43,4.14,1.57,0,4.29,50.0,82.300,37.68
Joakim,Noah,Chi,C,17968,Mem,8,13.12,6,11.62,1.38,1.62,2.88,56.200,74.200,37.28
Dwight,Howard,Hou,C,17671,Ind,7,19.57,2.29,12.71,0.29,1.29,3,65.400,61.400,35.54
DeMar,DeRozan,Tor,G,17337,Sac,5,27.4,5.4,3.8,0.8,0.2,2,49.500,85.700,34.75
Pau,Gasol,LAL,C,17295,@Den,8,20.25,3,8.75,0.5,1.62,2,55.100,72.700,33.88
Paul,George,Ind,F,17065,@Hou,7,20.71,3.86,7.57,1.43,0.57,1.71,38.700,88.400,32.68
Rudy,Gay,Sac,F,16762,@Tor,7,24.43,3.57,6.14,1.57,0.57,3,52.100,97.400,34.61
Kyrie,Irving,Cle,G,16274,@Cha,7,23,7.57,4.57,1.71,0.29,3.29,43.700,92.500,35.50
Ty,Lawson,Den,G,16255,LAL,2,25.5,9,5,3,0,3,57.100,87.500,44.75
Kyle,Lowry,Tor,G,16229,Sac,5,17.2,8.4,5.4,1.8,0.2,2.6,33.300,87.900,32.75
Josh,Smith,Det,F,16056,@Min,7,20.29,4.14,7.29,1.29,2,2.57,41.500,63.300,32.89
Nicolas,Batum,Por,F,15981,@Dal,7,14.29,4,10.57,0.86,1,2.71,48.600,81.800,31.64
Isaiah,Thomas,Sac,G,15815,@Tor,7,23,7.14,2.71,1.86,0.43,3.86,54.600,88.900,34.04
Paul,Millsap,Atl,F,15750,@GS,1,23,4,8,1,0,1,46.700,75.00,35.00
Andre,Drummond,Det,C,15666,@Min,7,14.71,0.43,12.86,1.43,1.71,0.29,70.800,44.00,35.07
Marc,Gasol,Mem,C,15527,@Chi,7,16.14,4.43,7.14,1.57,1.86,1.57,49.400,72.700,33.14
Dirk,Nowitzki,Dal,F,14739,Por,7,20.86,1.86,5.14,0.57,0.43,1.43,53.600,94.100,26.86
Tyreke,Evans,NO,F,14672,Mil,8,13.88,6.75,6.62,0.62,0.38,2.5,39.600,75.00,27.34
Zach,Randolph,Mem,F,14638,@Chi,6,16.33,1.5,10.5,1.33,0,1.5,47.800,63.200,28.38
Tyson,Chandler,NY,C,14573,Uta,8,11.5,1.38,16,0.88,1.25,1.62,52.200,68.800,33.56
David,Lee,GS,F,14556,Atl,6,16.33,1.5,8.67,1.33,0.67,2,49.400,75.00,27.50
Damian,Lillard,Por,G,14429,@Dal,7,22,4.86,3.71,1,0.14,2,46.600,83.900,29.36
Rajon,Rondo,Bos,G,14404,Bkn,5,14.4,10,4.2,1.2,0.2,3.8,40.0,70.0,29.15
Monta,Ellis,Dal,G,14233,Por,7,17.29,6.71,2.71,1.86,0.29,3.14,43.500,70.400,26.96
Greg,Monroe,Det,F,14231,@Min,7,17.43,2.14,10.71,1.43,1,1.71,46.100,71.800,32.46
Gordon,Hayward,Uta,F,14105,@NY,8,14.75,5.62,5.12,1.75,0.5,2.88,43.00,73.300,27.16
Jeff,Teague,Atl,G,13997,@GS,5,23.8,5.4,3.2,0.8,0.2,2.4,54.200,80.600,31.10
Deron,Williams,Bkn,G,13879,@Bos,7,17.43,5.43,1.71,2.71,0.29,1.43,48.300,87.500,28.71
Spencer,Hawes,Cle,C,13561,@Cha,7,14.71,2.14,9.86,0.29,1.29,2,48.200,72.700,28.11
Kobe,Bryant,LAL,G,13490,@Den,0,0,0,0,0,0,0,0,0,0.00
David,West,Ind,F,13465,@Hou,7,17.71,3.29,7.14,1.14,0.71,1.29,51.600,82.400,30.36
Kemba,Walker,Cha,G,13385,Cle,6,14.5,6.33,3.67,0.67,0.17,2.33,34.600,86.700,23.17
Terrence,Jones,Hou,F,13336,Ind,7,13,0.86,7.43,0.43,0.86,1.43,64.100,63.600,22.79
Brandon,Knight,Mil,G,13294,@NO,6,19.67,5.5,3.17,0.67,0.17,1.33,51.200,73.100,28.12
Robin,Lopez,Por,C,13227,@Dal,7,12.86,1,10.14,0.57,2.57,1.14,60.700,91.700,30.46
Nikola,Pekovic,Min,C,13205,Det,3,17.67,0.33,8,0,0.33,1,65.600,68.800,25.17
