FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Durant,OKC,F,23001,@Was,8,37.25,6.38,6.25,1.75,1,4.62,64.100,87.300,51.25
Anthony,Davis,NO,F,21666,Chi,6,23.33,2.17,11.17,1.83,4.67,2.33,48.000,80.800,45.96
Kevin,Love,Min,F,21428,@Atl,8,22.88,4.62,12.88,0.88,0.38,2.12,44.500,80.600,40.78
LeBron,James,Mia,F,21139,@NY,7,27.57,5.86,7.29,1.14,0.14,3.29,54.700,76.700,39.61
LaMarcus,Aldridge,Por,F,19610,Tor,8,26.75,2.12,13.38,0.88,1.12,2.38,45.800,83.300,41.59
DeMarcus,Cousins,Sac,C,19515,@SA,4,14.5,2.75,11.5,1.5,2.5,3,38.800,66.700,33.00
Al,Jefferson,Cha,C,19308,@Pho,8,28.75,2.75,13.75,1,1.25,2.25,55.500,67.500,46.44
Carmelo,Anthony,NY,F,18730,Mia,7,32.86,3.14,9.57,1.57,0.43,2.29,46.000,83.600,44.18
Blake,Griffin,LAC,F,17991,Uta,9,26.11,3.78,6.89,1.44,0.44,2.56,54.900,69.200,36.17
Joakim,Noah,Chi,C,17834,@NO,7,12.71,6.29,14.29,1,1.71,2.57,45.500,70.400,39.29
Paul,Millsap,Atl,F,17607,Min,6,20,3.83,6.83,2.83,1.83,2.5,48.400,78.900,36.54
Dwight,Howard,Hou,C,17060,Cle,7,19.29,1.14,12,0.71,1.43,3.29,55.300,51.900,31.64
John,Wall,Was,G,16767,OKC,8,20.5,8,5.62,1.75,0.5,3.88,44.900,80.0,34.91
Kyle,Lowry,Tor,G,16627,@Por,9,19.44,8.11,4.89,1.22,0.22,2.67,45.000,71.800,33.33
James,Harden,Hou,G,16503,Cle,5,18.8,6.8,3.6,1.8,0.6,3.2,40.800,85.700,30.40
Paul,George,Ind,F,16492,Bkn,7,23.57,3.29,7.14,1.71,0.29,3.29,43.300,74.500,31.86
Tim,Duncan,SA,F,16372,Sac,7,15.29,1.86,11.14,0.86,2.29,2.29,53.600,51.500,32.07
DeAndre,Jordan,LAC,C,16316,Uta,9,10,1.22,16.89,1.11,1.78,1.78,67.900,42.900,34.67
Goran,Dragic,Pho,G,16021,Cha,8,22.5,6.75,4,1.75,0,2.75,57.000,69.800,34.31
Andre,Drummond,Det,C,15960,Phi,7,12,0.43,13.14,1,1.71,1.57,62.300,52.900,30.36
Kyrie,Irving,Cle,G,15824,@Hou,7,22.29,6.71,3.71,1.14,0.14,1.43,43.100,90.0,32.36
Zach,Randolph,Mem,F,15764,Mil,7,18.86,2.86,11.86,0.86,0.57,2,47.500,66.700,33.68
Michael,Carter-Williams,Phi,G,15546,@Det,9,16,5.67,4.56,1.56,0.56,3.33,35.300,71.700,25.25
DeMar,DeRozan,Tor,G,15412,@Por,7,23.71,3.14,5,1.29,0.14,2.14,44.300,78.600,29.32
Nikola,Pekovic,Min,C,15389,@Atl,6,17.33,1,9.17,0.17,0.5,1,56.200,87.500,27.54
Lance,Stephenson,Ind,G,15150,Bkn,7,16.86,6.71,10.14,0.71,0,2.86,48.500,60.0,33.68
Serge,Ibaka,OKC,F,14784,@Was,9,18.56,0.78,7.33,0.78,2.78,1.78,61.500,75.00,31.33
Gordon,Hayward,Uta,F,14758,@LAC,4,15.75,5,6.5,1.5,0.25,4,40.700,87.500,26.62
Chandler,Parsons,Hou,F,14679,Cle,7,19.29,3.57,6.71,0.43,0.43,1.57,47.600,78.900,28.96
Brandon,Jennings,Det,G,14636,Phi,7,18.43,6.57,2.14,1.71,0.29,2.43,38.100,73.200,26.75
Dwyane,Wade,Mia,G,14560,@NY,3,10.33,3,2,0.67,1.67,2.33,50.0,83.300,17.33
Isaiah,Thomas,Sac,G,14510,@SA,9,22.78,7,2.56,1,0.11,2.78,40.700,84.600,29.81
Anderson,Varejao,Cle,C,14368,@Hou,5,10.6,4.6,12.4,2,0.4,2,48.900,50.0,32.70
Damian,Lillard,Por,G,14285,Tor,8,16.25,5.38,2.5,0.38,0.5,2.25,38.300,86.100,22.19
Rudy,Gay,Sac,F,14245,@SA,6,21.33,3.83,4.67,0.33,0,3,55.200,86.700,27.00
Josh,Smith,Det,F,13913,Phi,7,16,2.43,5.29,1.86,0.57,2.43,45.600,50.0,23.46
Kemba,Walker,Cha,G,13890,@Pho,2,12.5,9,1.5,1,0.5,0.5,34.800,72.700,25.88
Ricky,Rubio,Min,G,13850,@Atl,8,7.75,8.38,4.12,2.25,0,2.25,41.200,85.700,25.66
Thaddeus,Young,Phi,F,13772,@Det,9,17.11,2.11,5.44,3.33,0.22,2.44,43.800,58.100,26.47
