FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Love,Min,F,23131,Pho,6,28.5,3.83,10.67,1.33,0.5,2.17,52.300,75.500,43.67
Stephen,Curry,GS,G,20528,@Bkn,8,19.25,10.38,5.75,1.88,0.25,5.25,38.800,80.600,35.31
John,Wall,Was,G,19355,@NO,7,19.86,7.71,3.29,1.14,0.14,2.71,43.100,95.00,30.82
LaMarcus,Aldridge,Por,F,19078,Orl,7,24.29,3.43,10.86,0,1.57,1.29,45.100,85.700,38.21
Dwight,Howard,Hou,C,18893,LAL,6,13.33,1.5,11.33,0.83,1.33,3.17,53.200,41.200,26.83
Pau,Gasol,LAL,C,18665,@Hou,5,20.2,4.4,11.8,0.4,2.6,2.8,45.500,72.400,39.15
Anthony,Davis,NO,F,18516,Was,7,18.57,0.71,10,1.14,3.14,1.71,58.300,56.200,35.14
James,Harden,Hou,G,18299,LAL,6,26.5,3.83,6.17,0.33,0.67,3.17,46.300,86.200,33.79
Blake,Griffin,LAC,F,18036,Bos,8,25.12,3.12,10.25,0.75,0.5,3.12,51.700,76.100,36.69
Kyle,Lowry,Tor,G,17404,Det,7,17.43,9.14,4.57,1.71,0.14,1.86,47.700,62.900,34.57
Paul,George,Ind,F,17276,@Atl,6,18,3.33,6,1.33,0.17,2.5,40.200,86.200,26.08
Paul,Millsap,Atl,F,16845,Ind,7,21.14,2.43,10.43,1.57,1.71,3.71,42.000,85.700,35.46
David,Lee,GS,F,16714,@Bkn,8,22.38,3.25,10.5,0.38,0.62,2.62,65.500,82.100,36.88
DeAndre,Jordan,LAC,C,16047,Bos,8,8.75,1,15,0.88,3.25,1.62,64.00,35.300,33.81
Dirk,Nowitzki,Dal,F,15824,@SA,7,19.57,3.29,5.43,1,0.43,1.43,48.600,76.00,28.21
Tim,Duncan,SA,F,15645,Dal,7,16.57,3,11.43,0.57,2.14,1.71,48.000,73.300,34.86
Ricky,Rubio,Min,G,15412,Pho,6,8.33,9.5,5.67,3.5,0.33,1.83,35.00,87.500,33.08
Damian,Lillard,Por,G,15304,Orl,7,23.14,5.57,3.43,0.71,0.43,3.43,47.700,93.100,30.36
Nikola,Vucevic,Orl,C,15246,@Por,4,10.5,0.5,8.5,1.25,0.75,1.5,51.300,50.0,21.75
Deron,Williams,Bkn,G,14921,GS,6,16.67,5,1.83,1.67,0.5,2.17,54.400,88.200,25.88
Nikola,Pekovic,Min,C,14868,Pho,6,20.67,0.83,10.5,0.5,0.5,1.33,52.900,74.400,31.38
Andre,Drummond,Det,C,14855,@Tor,5,11.4,0.8,13,0.8,1.4,1.6,53.300,40.900,28.25
Monta,Ellis,Dal,G,14481,@SA,7,17,6.14,2.57,2.14,0.43,2.86,41.600,84.600,26.71
Goran,Dragic,Pho,G,14313,@Min,6,20.67,5.17,2,2.17,0,3,51.100,80.0,28.08
Jrue,Holiday,NO,G,14175,Was,7,12.29,7.71,3.86,1.71,0.29,3.29,43.300,50.0,25.39
DeMar,DeRozan,Tor,G,14125,Det,7,22.29,4,4.86,1.43,0.29,2,43.400,79.700,30.00
Tyreke,Evans,NO,F,14074,Was,7,16,4.86,5.14,1,0.29,2.29,44.00,90.500,25.86
Brandon,Jennings,Det,G,13955,@Tor,5,11.6,8.8,2.6,1.6,0,3.6,28.200,80.0,22.25
Tony,Parker,SA,G,13780,Dal,7,15.43,6,2.29,0.57,0.14,2.14,47.600,88.900,23.21
Eric,Bledsoe,Pho,G,13751,@Min,3,11.33,2.67,2.33,1.67,0.67,2.33,40.600,63.600,16.75
Jeff,Teague,Atl,G,13719,Ind,7,19.71,7.71,2.71,1.57,0.43,4.14,45.700,82.800,29.68
Kendall,Marshall,LAL,G,13551,@Hou,5,13,9.6,3.6,0.4,0,2.8,56.800,83.300,27.90
Nicolas,Batum,Por,F,13331,Orl,7,10.86,6.14,7.29,0.71,0.86,2.86,38.100,87.500,26.46
Lance,Stephenson,Ind,G,13251,@Atl,6,13.17,5.5,6.5,0.5,0,2.5,54.200,80.0,25.54
Greg,Monroe,Det,F,13212,@Tor,5,16,1.2,7.6,0.8,0,1.2,47.800,64.00,23.30
Darren,Collison,LAC,G,13128,Bos,8,12.25,4.12,2,2,0,1.5,56.200,95.800,21.62
Chandler,Parsons,Hou,F,13054,LAL,6,16.67,3.17,7,1.17,0.17,1.33,48.600,76.900,27.92
Manu,Ginobili,SA,G,13003,Dal,7,15.43,5,2.86,1.29,0.14,1.57,42.700,83.300,24.07
Josh,Smith,Det,F,12987,@Tor,5,11.8,3.2,8.2,1,1.2,2.8,31.400,73.700,23.15
Shawn,Marion,Dal,F,12916,@SA,7,12.71,1.71,7.29,1.14,0.57,1.29,52.00,83.300,23.89
Arron,Afflalo,Orl,G,12858,@Por,6,16.5,4.17,4,0.5,0,2.67,46.300,81.800,22.08
Wesley,Matthews,Por,G,12823,Orl,7,17.57,3.71,4.57,1.29,0.29,1.14,44.400,82.100,26.93
Roy,Hibbert,Ind,C,12768,@Atl,6,14.83,1.5,5.33,0.83,2.67,2.83,49.200,76.300,24.58
Miles,Plumlee,Pho,C,12756,@Min,6,10.83,0.33,9.17,0.83,1.83,1.67,54.900,56.200,23.96
Andrew,Bogut,GS,C,12655,@Bkn,8,9.12,1.5,8.88,0.62,1.38,1.38,67.900,25.00,23.84
Klay,Thompson,GS,G,12464,@Bkn,8,19.12,2.38,3.38,1.25,0.88,2.12,48.00,66.700,24.66
Gerald,Green,Pho,F,12408,@Min,6,14.17,1.67,2.83,2.17,0.67,0.83,45.800,100,21.79
Ryan,Anderson,NO,F,12323,Was,5,17.8,0.8,7.4,0.2,0.2,0.6,46.600,83.300,24.35
Terrence,Jones,Hou,F,12263,LAL,6,13,1.5,9.33,0.5,2.17,0.67,54.700,61.500,28.75
Marcin,Gortat,Was,C,12013,@NO,7,11.71,1.29,6.57,0.43,1.29,1.43,55.400,90.900,21.71
Channing,Frye,Pho,F,11965,@Min,6,12.67,2,6,0.83,1,1.33,43.100,100,22.42
Trevor,Booker,Was,F,11820,@NO,7,9.14,1.14,9.86,0.57,0.57,0.86,58.800,80.0,23.04
David,West,Ind,F,11819,@Atl,6,8.33,3.5,6.83,1,1.67,2.17,36.700,75.00,21.96
Jonas,Valanciunas,Tor,C,11758,Det,7,11.57,0.57,9.43,0.57,0.86,2.57,53.700,76.700,22.21
Amir,Johnson,Tor,F,11625,Det,7,9.14,1,6,0.43,1.86,2.29,49.000,76.500,18.29
Jordan,Crawford,Bos,G,11530,@LAC,6,13.5,6.67,3.67,0.5,0,2.67,37.800,81.800,22.25
Victor,Oladipo,Orl,G,11503,@Por,6,13.83,5,5,0.83,0.67,3,44.400,76.900,24.17
Trevor,Ariza,Was,F,11473,@NO,7,8.86,2.43,4.43,1.71,0.14,1.29,34.400,88.900,17.54
Nene,Hilario,Was,F,11453,@NO,7,10.14,2,4.71,0.57,0.29,2.57,45.600,67.900,15.32
Glen,Davis,Orl,F,11329,@Por,6,13.17,1.33,8.17,0.83,0.67,1.17,41.900,60.700,22.71
Paul,Pierce,Bkn,F,11321,GS,7,13.43,3.29,3.71,1.43,1.57,2.71,38.800,84.00,22.29
Kawhi,Leonard,SA,F,11277,Dal,7,9.43,1.57,5.29,1.14,0.43,1.57,50.0,57.100,17.61
Robin,Lopez,Por,C,11264,Orl,7,13.29,0.43,8.29,0.57,1.57,1.43,58.300,69.700,24.64
Jeremy,Lin,Hou,G,11169,LAL,6,12.5,4.33,3,0.67,0.5,2.5,41.500,78.900,19.08
Jameer,Nelson,Orl,G,11167,@Por,6,10.83,6.33,4.17,0.5,0,1.83,42.600,100,22.12
Andre,Iguodala,GS,F,11103,@Bkn,8,8.5,4.38,4.5,1.12,0.38,1.25,58.500,53.800,21.00
Kris,Humphries,Bos,C,11039,@LAC,5,11.6,2,7.8,0.4,1.6,0.6,50.0,87.500,25.35
