FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Durant,OKC,F,22978,@Bkn,46,31.33,5.17,7.78,1.54,0.87,3.37,51.000,88.200,44.82
Kevin,Love,Min,F,20728,Mem,44,25.02,4.14,12.93,0.86,0.41,2.30,45.500,81.200,41.99
Stephen,Curry,GS,G,19975,@Uta,44,24.02,9.14,4.52,1.89,0.25,4.18,45.100,85.800,38.07
DeMarcus,Cousins,Sac,C,19515,@Dal,40,22.55,2.95,11.55,1.78,1.2,3.42,48.800,72.100,38.45
Al,Jefferson,Cha,C,19308,@LAL,38,19.34,2.05,10.47,0.87,1.26,1.34,48.600,67.900,33.39
Pau,Gasol,LAL,C,18278,Cha,43,16.86,3.40,10.19,0.42,1.44,2.44,46.700,74.300,31.51
Dirk,Nowitzki,Dal,F,17840,Sac,45,21.58,2.91,6.2,0.96,0.67,1.42,48.300,90.800,31.11
Paul,Millsap,Atl,F,17607,@Phi,43,17.79,2.95,8.23,1.70,1.19,2.37,46.700,74.900,31.56
Kyle,Lowry,Tor,G,16573,@Den,45,16.76,7.6,4.31,1.6,0.22,2.24,43.700,79.200,31.01
Ty,Lawson,Den,G,16227,Tor,41,17.93,8.90,3.41,1.49,0.22,3.05,43.000,79.900,31.44
Zach,Randolph,Mem,F,15764,@Min,42,17.12,2.67,10.60,0.52,0.24,2.43,44.500,75.800,28.66
Michael,Carter-Williams,Phi,G,15546,Atl,35,17.23,6.69,5.57,2.37,0.63,3.34,40.100,69.900,31.41
DeMar,DeRozan,Tor,G,15529,@Den,43,21.77,3.63,4.65,1.19,0.47,2.21,42.800,78.300,28.22
Nikola,Pekovic,Min,C,15389,Mem,44,18.05,1.05,9.14,0.55,0.5,1.55,53.200,75.100,27.81
Isaiah,Thomas,Sac,G,15101,@Dal,45,19.89,6.31,2.8,1.33,0.04,2.76,44.600,86.000,28.36
Nikola,Vucevic,Orl,C,14800,Mil,29,13.14,1.83,10.97,1.17,1.07,2.28,50.900,79.700,28.84
Gordon,Hayward,Uta,F,14758,GS,40,17.18,4.9,5.42,1.38,0.68,2.62,41.700,83.200,28.16
Mike,Conley,Mem,G,14696,@Min,42,18.19,6.31,2.64,1.52,0.24,1.95,46.200,83.700,28.28
Serge,Ibaka,OKC,F,14637,@Bkn,46,14.74,0.89,8.78,0.48,2.52,1.61,52.900,77.300,28.35
Evan,Turner,Phi,F,14575,Atl,45,18.47,3.82,6.11,0.96,0.09,2.91,43.900,82.100,26.13
David,Lee,GS,F,14353,@Uta,47,19.11,2.28,9.81,0.53,0.36,2.28,52.000,80.400,30.29
