FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Durant,OKC,F,22789,Mem,48,31.10,5.25,7.62,1.5,0.83,3.40,51.200,88.600,44.40
Anthony,Davis,NO,F,21956,SA,38,20.45,1.42,10.32,1.58,3.34,1.74,52.400,76.500,39.30
LeBron,James,Mia,F,20569,Det,45,26.29,6.4,6.8,1.36,0.29,3.47,58.000,75.500,39.80
DeMarcus,Cousins,Sac,C,19515,Chi,40,22.55,2.95,11.55,1.78,1.2,3.42,48.800,72.100,38.45
LaMarcus,Aldridge,Por,F,19150,@Was,47,24.40,2.77,11.64,0.89,1,1.83,46.900,81.900,38.93
Dirk,Nowitzki,Dal,F,18720,Cle,46,21.85,2.89,6.17,0.98,0.65,1.41,48.500,91.200,31.35
Carmelo,Anthony,NY,F,18514,@Mil,44,27.14,3.07,8.84,1.18,0.66,2.39,44.900,84.200,37.66
Joakim,Noah,Chi,C,17267,@Sac,44,11.73,4.18,11.48,1.14,1.36,2.20,46.200,71.400,31.99
Blake,Griffin,LAC,F,17249,@Den,50,23.04,3.48,9.7,1.16,0.6,2.76,52.900,70.400,36.12
John,Wall,Was,G,17154,Por,46,19.78,8.61,4.41,2.02,0.43,3.54,42.200,83.900,34.33
Tim,Duncan,SA,F,16372,@NO,44,14.95,2.91,10.07,0.5,2,1.98,48.500,70.900,31.14
Andre,Drummond,Det,C,15942,@Mia,46,12.83,0.39,12.76,1.35,1.87,1.39,60.800,40.700,31.43
Ty,Lawson,Den,G,15789,LAC,41,17.93,8.90,3.41,1.49,0.22,3.05,43.000,79.900,31.44
Kyle,Lowry,Tor,G,15724,@Uta,47,16.81,7.57,4.30,1.62,0.21,2.26,43.500,79.400,30.98
Zach,Randolph,Mem,F,15676,@OKC,44,17.45,2.70,10.61,0.52,0.23,2.36,44.800,75.600,29.06
DeAndre,Jordan,LAC,C,15629,@Den,50,9.56,0.9,14.04,0.98,2.36,1.52,64.900,41.300,31.34
Paul,George,Ind,F,15522,Orl,46,22.93,3.46,6.43,1.83,0.26,2.76,44.800,84.500,32.30
Kyrie,Irving,Cle,G,15440,@Dal,44,21.55,6.16,3.09,1.27,0.34,2.64,42.700,84.200,29.53
Lance,Stephenson,Ind,G,15303,Orl,45,14.2,5.36,7.18,0.73,0.07,2.64,50.100,68.600,26.91
