FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Anthony,Davis,NO,F,23869,Tor,6,32.33,2.83,14.33,0.83,3,1.5,57.900,87.100,55.75
Kevin,Love,Min,F,22225,@Dal,6,24,5.33,9.83,0.67,0.67,1.33,45.900,70.600,39.79
LeBron,James,Mia,F,21188,@Bos,8,23.5,6.38,5.88,2.38,0.5,3.38,49.300,73.100,37.47
Joakim,Noah,Chi,C,20267,@Phi,7,14.71,8.14,10.29,1.14,2.43,2,54.300,77.100,42.07
Al,Jefferson,Cha,C,18435,@Bkn,8,24,2.12,10,1,1.12,2.38,54.700,71.400,36.62
Carmelo,Anthony,NY,F,18214,Ind,6,27.83,4.17,6.83,1.67,0.83,2.67,46.300,87.500,38.62
Kyle,Lowry,Tor,G,17748,@NO,7,20.29,9.29,6.57,1.29,0.29,3,43.100,86.700,38.00
Ty,Lawson,Den,G,16729,Det,8,17.5,9.88,4.12,2,0.12,3.88,39.300,80.800,33.16
Paul,George,Ind,F,16553,@NY,8,19.88,3.75,7.25,1.38,0.5,3.12,41.400,94.300,30.75
Tyreke,Evans,NO,F,16063,Tor,5,22.2,6.6,5,1.6,0.6,3,53.200,86.700,35.75
Greg,Monroe,Det,F,15904,@Den,6,17.5,2.33,11.83,1.33,1,1.5,51.200,85.200,35.38
Nikola,Vucevic,Orl,C,15803,@Pho,6,14.83,2.17,11.33,0.33,0.17,2,51.300,69.200,27.75
Kenneth,Faried,Den,F,15634,Det,8,22.25,1.62,10.75,0.88,0.62,1.88,62.500,67.900,35.50
Dwyane,Wade,Mia,G,15418,@Bos,7,21.71,5.43,3.86,1.14,0.43,2.43,52.300,76.900,30.89
Pau,Gasol,LAL,C,15339,SA,6,21.5,2.17,8.67,0.33,1.33,1.67,53.100,69.200,32.50
Andre,Drummond,Det,C,15317,@Den,6,12.33,0.17,9.33,0.5,1.33,1,62.700,62.500,24.83
Tim,Duncan,SA,F,15082,@LAL,7,11.43,3.29,9,0.43,1.71,1,47.800,82.400,28.11
Michael,Carter-Williams,Phi,G,14905,Chi,7,14.86,6,8.71,1.57,0.57,4.71,39.800,58.600,29.04
DeMar,DeRozan,Tor,G,14824,@NO,7,20.14,3.57,4,1.14,0.29,2.57,39.000,87.300,25.64
Josh,Smith,Det,F,14508,@Den,6,19.33,2.33,7.5,0.83,2.17,2.67,40.500,48.100,28.62
Kemba,Walker,Cha,G,14434,@Bkn,8,17.25,7.75,3.5,1,0.62,2.12,38.700,91.100,29.88
Rajon,Rondo,Bos,G,14352,Mia,6,11.17,10.17,5.5,2,0.17,3.33,32.200,42.900,28.71
Thaddeus,Young,Phi,F,14337,Chi,7,18,4,5.29,1.86,0.57,2.29,37.000,66.700,26.46
Marc,Gasol,Mem,C,14319,Uta,7,14.71,3.86,7.29,1,2,3,47.600,83.300,29.18
Dirk,Nowitzki,Dal,F,14252,Min,7,20.29,1.57,6.29,0.86,0,1.43,48.600,96.300,26.79
Monta,Ellis,Dal,G,14006,Min,7,15.71,5.29,5,1.29,0.29,3,42.000,76.200,25.68
Deron,Williams,Bkn,G,14003,Cha,7,16,6,3.14,2,0.14,2,48.800,75.00,27.79
Zach,Randolph,Mem,F,13921,Uta,6,14.5,2.5,8.17,0.83,0.33,1.5,46.100,70.800,25.29
Goran,Dragic,Pho,G,13697,Orl,8,19.38,4.88,1.75,1.25,0.12,2.88,48.700,73.200,24.38
Lance,Stephenson,Ind,G,13690,@NY,8,13.62,3.38,6.88,0.88,0.25,2.88,46.700,92.300,23.53
Chris,Bosh,Mia,C,13585,@Bos,8,17.5,0.75,6.62,1.5,0.38,1.5,55.600,81.800,26.16
Eric,Bledsoe,Pho,G,13503,Orl,4,14,5.25,5.5,1,0,1.75,39.500,83.300,25.25
Brandon,Jennings,Det,G,13434,@Den,6,13.17,6.83,3,1,0,1.33,40.800,50.0,23.42
Ricky,Rubio,Min,G,13413,@Dal,6,9.83,8.67,4.17,2.5,0,2.33,42.100,85.700,28.54
Mike,Conley,Mem,G,13356,Uta,7,13.71,4.14,4,1.29,0,2.29,36.400,84.600,20.93
Tony,Parker,SA,G,13172,@LAL,7,15.43,5.57,1.14,0.29,0.14,2.14,48.300,78.600,20.29
David,West,Ind,F,13128,@NY,8,15.5,2.5,7.88,0.62,1,1.75,47.100,72.200,26.53
Kawhi,Leonard,SA,F,12989,@LAL,7,13.43,2,6.43,2.14,1.43,1.71,53.800,88.900,27.61
Gordon,Hayward,Uta,F,12987,@Mem,8,13.5,6.38,5.25,1.62,0.12,3.5,48.100,67.600,26.31
J.R.,Smith,NY,G,12766,Ind,6,16.33,3.67,4.17,0.83,0.67,0.33,50.700,75.00,26.54
Tobias,Harris,Orl,F,12586,@Pho,6,15,1.33,5.83,1.33,0.83,1.33,50.0,93.300,24.12
Derrick,Favors,Uta,F,12489,@Mem,8,14.75,0.88,7.88,1,1.25,1.5,59.700,86.700,26.72
Amir,Johnson,Tor,F,12271,@NO,7,14.71,2,6.57,0.86,1.29,2.29,66.200,47.100,25.57
Jameer,Nelson,Orl,G,12227,@Pho,5,11.6,7.2,3.4,0.6,0,2,40.700,83.300,22.55
Joe,Johnson,Bkn,G,12219,Cha,7,16.71,3.14,4.71,1.14,0.14,1.43,50.0,90.0,25.11
Jimmy,Butler,Chi,G,11902,@Phi,7,13.43,2.43,5.86,2,0.14,1.43,35.900,86.100,23.32
Nikola,Pekovic,Min,C,11838,@Dal,5,14.6,0.2,7.6,0.8,0,1.4,52.500,68.800,21.30
Manu,Ginobili,SA,G,11788,@LAL,7,14.86,3.71,1.57,1.14,0,1.14,59.700,78.600,21.39
J.J.,Hickson,Den,C,11745,Det,8,13.75,1.62,7.62,0.25,1.12,1.75,58.200,58.100,23.84
Tyson,Chandler,NY,C,11659,Ind,4,12,0.5,10.25,0,0.25,0.5,69.000,66.700,23.94
Kris,Humphries,Bos,C,11574,Mia,8,11.38,1.25,9.25,0.75,1.25,1.12,51.400,68.00,25.00
Kevin,Martin,Min,G,11395,@Dal,6,22,1,2.67,0.5,0,1,44.800,97.300,22.33
George,Hill,Ind,G,11371,@NY,8,11,3.62,4.5,1.12,0.38,1,38.800,76.500,20.75
Markieff,Morris,Pho,F,11110,Orl,8,15.75,1.38,6.88,0.62,0.12,2.5,50.0,76.700,21.84
Jeff,Green,Bos,F,10955,Mia,8,17.25,1.62,4.5,0.5,0.75,2,39.000,87.900,20.88
Victor,Oladipo,Orl,G,10820,@Pho,4,13,4.5,3.75,0.25,0,1.75,48.800,88.900,20.44
Arron,Afflalo,Orl,G,10819,@Pho,6,15.5,3,2.67,0.33,0,2.17,40.400,76.900,16.92
Jonas,Valanciunas,Tor,C,10784,@NO,7,12.29,0.57,7.43,0.43,1,1.14,64.900,70.600,22.36
Tony,Wroten,Phi,G,10720,Chi,7,15.57,2,3,1.86,0.29,2.86,47.200,78.100,19.89
Amar'e,Stoudemire,NY,F,10703,Ind,5,16.6,1.2,6.6,0.2,1.6,1.6,54.100,73.900,25.25
Eric,Gordon,NO,G,10689,Tor,5,17,5.2,2.8,0.6,0.2,2.4,45.500,83.300,23.60
Paul,Pierce,Bkn,F,10560,Cha,7,13.57,1.14,4.29,1.29,0,2.57,51.900,83.300,18.43
Ryan,Kelly,LAL,F,10541,SA,6,11.17,2.83,5.67,0.83,1.33,0.33,47.800,93.300,24.42
Roy,Hibbert,Ind,C,10411,@NY,8,8.62,0.75,4.62,0.38,2.12,1.88,46.700,92.900,16.59
Carlos,Boozer,Chi,F,10337,@Phi,7,10.57,1.57,6.43,0.43,0,1.14,40.200,66.700,16.82
P.J.,Tucker,Pho,F,10323,Orl,7,11.43,1.57,8.57,2.57,0.14,1.86,60.0,72.400,26.21
Jared,Sullinger,Bos,F,10322,Mia,8,11.62,1.25,8.5,0.62,0.38,1.88,36.300,85.200,20.38
Taj,Gibson,Chi,F,10190,@Phi,7,12.57,0.71,6.29,0.71,1.29,1.86,47.400,63.600,20.14
Jodie,Meeks,LAL,G,10165,SA,6,19.33,1.67,1.67,1.67,0,1.5,43.200,90.0,21.33
Jose,Calderon,Dal,G,10144,Min,7,11.29,5.43,1.86,0.71,0.29,1.86,46.200,100,19.39
Trey,Burke,Uta,G,10126,@Mem,8,13.62,4.88,2.5,0.5,0,1.5,41.700,100,19.81
Enes,Kanter,Uta,C,10084,@Mem,8,11.25,0.62,10.25,0.25,0.38,1.75,42.200,63.600,20.75
