FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Anthony,Davis,NO,F,23815,Mia,6,33.33,2.67,13.67,1,3,2,57.300,87.900,55.33
LeBron,James,Mia,F,22571,@NO,7,23.14,6.43,6.29,2.29,0.71,3.43,51.700,71.800,38.36
Joakim,Noah,Chi,C,20483,Phi,8,14.88,7.25,10.5,1.62,2.38,2.5,48.900,77.500,40.94
Blake,Griffin,LAC,F,19929,Det,6,26.83,4.67,9.5,1.5,0.5,3.5,49.600,79.600,40.21
Chris,Paul,LAC,G,19225,Det,6,19.17,10.33,3.67,2.5,0,2.5,48.400,80.0,37.33
Stephen,Curry,GS,G,18661,SA,8,21.5,7.5,3.25,1.25,0,3,49.600,97.100,32.56
James,Harden,Hou,G,18169,@Cle,7,25.43,5,4.71,1.57,0.43,3.71,47.000,89.400,34.39
LaMarcus,Aldridge,Por,F,18090,@Cha,4,22.75,1.25,10.75,0.75,1,1.5,41.600,72.700,32.81
Al,Jefferson,Cha,C,17968,Por,8,22,2.12,10.5,0.88,1,2.88,51.600,72.700,34.12
Dwight,Howard,Hou,C,17677,@Cle,5,14.8,2.2,10.6,0.2,2.2,3.6,55.800,50.0,28.65
Nicolas,Batum,Por,F,17258,@Cha,8,15.38,4.75,11.75,0.75,0.62,2.62,45.300,81.800,33.81
Andre,Drummond,Det,C,16670,@LAC,6,12,0,10.83,0.67,1.5,1.33,60.0,54.500,26.04
Paul,George,Ind,F,16157,@Mem,8,19.75,4.75,7.38,1.5,0.25,3.25,41.200,92.700,31.91
Tyreke,Evans,NO,F,15996,Mia,6,21,4.83,4.17,1.83,0.67,3,57.300,87.900,32.21
Greg,Monroe,Det,F,15904,@LAC,7,16.57,2.43,11,1.57,1.29,1.71,50.0,71.800,34.04
DeAndre,Jordan,LAC,C,15628,Det,6,10.5,0.83,12,1.33,2,0.67,68.300,46.700,31.00
Nikola,Vucevic,Orl,C,15541,@Uta,6,13.67,1.5,10.17,0.17,0.17,1.83,48.700,66.700,23.88
Damian,Lillard,Por,G,15489,@Cha,8,22.75,5.5,3.5,0.5,0.12,3.12,40.300,88.900,27.75
Kyrie,Irving,Cle,G,15310,Hou,5,16.8,5,5.8,2,0.4,3,39.700,72.200,28.15
Tim,Duncan,SA,F,15162,@GS,7,10.29,4.14,9.86,0.86,1.43,1.14,41.100,75.00,28.89
Marc,Gasol,Mem,C,15101,Ind,8,14.88,3.75,7.5,0.62,2.12,2.75,47.300,86.100,29.25
Michael,Carter-Williams,Phi,G,15039,@Chi,8,16,6.62,9.88,1.5,0.62,4.38,42.200,56.00,32.84
Dwyane,Wade,Mia,G,14916,@NO,7,20.43,4.86,3.86,1.14,0.57,2.57,50.500,84.100,29.18
Josh,Smith,Det,F,14907,@LAC,7,17.71,1.71,7.57,0.57,1.29,2.57,41.600,33.300,24.11
Thaddeus,Young,Phi,F,14904,@Chi,8,20.62,3.62,5.5,2.62,0.5,1.88,38.800,74.100,30.56
David,Lee,GS,F,14502,SA,8,18,2.12,7.88,0.5,0.25,1.88,60.700,70.0,27.66
Kemba,Walker,Cha,G,13993,Por,8,15.75,7.5,3.75,1,0.5,2.38,36.200,90.700,27.88
Zach,Randolph,Mem,F,13848,Ind,8,16.62,2.75,9.25,0.75,0.25,2.12,49.100,69.700,28.00
Tony,Parker,SA,G,13800,@GS,7,17.57,5.57,2,0.14,0.29,2.29,53.800,80.0,23.57
Mike,Conley,Mem,G,13687,Ind,8,15.5,4.88,4.12,1.88,0,1.88,40.200,81.800,25.47
Spencer,Hawes,Cle,C,13648,Hou,7,17.14,2.29,7.57,0.29,0.71,2,46.300,82.600,26.11
Chris,Bosh,Mia,C,13584,@NO,8,16,0.75,7.12,1.38,0.75,1.5,49.000,82.400,25.28
Kawhi,Leonard,SA,F,13162,@GS,7,14.57,2.29,7.43,1.29,1.14,1.14,55.400,84.600,28.64
Luol,Deng,Cle,F,13057,Hou,5,17.2,1.8,6.8,0.8,0.2,1.2,49.200,80.0,25.60
David,West,Ind,F,12960,@Mem,8,13.12,2,7.62,0.5,1.25,1.75,47.300,67.900,23.84
Lance,Stephenson,Ind,G,12900,@Mem,8,15.12,2.88,6.25,1,0.12,3.25,50.0,77.800,23.00
Chandler,Parsons,Hou,F,12870,@Cle,7,11.71,4.43,4.57,1.57,0.43,1.71,39.300,90.900,22.64
