FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Durant,OKC,F,23213,@Uta,7,32.29,5.57,9.14,1.29,0.57,2.14,53.100,86.900,48.21
DeMarcus,Cousins,Sac,C,21312,Por,6,26,2.5,14.33,2.5,0.83,3.33,47.700,68.500,44.25
LeBron,James,Mia,F,20749,NO,7,26.71,6.57,6.71,0.57,0.29,2.86,55.100,63.500,38.39
Stephen,Curry,GS,G,20028,@Mil,8,19.12,10.5,6.12,2,0.38,4.62,40.0,77.400,37.16
John,Wall,Was,G,19855,@Cha,6,20.33,7.67,3.5,1.33,0.17,3.17,45.200,94.300,31.62
Anthony,Davis,NO,F,19416,@Mia,7,18.43,0.71,9.86,0.86,2.86,1.29,55.900,62.500,33.96
LaMarcus,Aldridge,Por,F,19279,@Sac,6,24.33,3.17,11.33,0,1.67,0.83,45.800,88.900,39.17
Carmelo,Anthony,NY,F,18864,Det,4,22.5,3.25,7.5,1,0.5,1.5,45.200,88.900,33.00
Pau,Gasol,LAL,C,18665,@Dal,5,19.2,4,10,0.4,2.2,2.2,45.300,75.00,35.40
Thaddeus,Young,Phi,F,18304,@Cle,6,25,2.17,7.33,3.5,0.67,1.5,54.600,82.100,39.75
Kyle,Lowry,Tor,G,17404,@Ind,7,18.43,10.14,4.71,1.86,0.14,1.43,45.500,75.600,37.96
Kyrie,Irving,Cle,G,16977,Phi,5,26,6.6,2.6,1.8,0.4,3,50.500,95.00,35.65
David,Lee,GS,F,16714,@Mil,8,23.12,3.25,9.5,0.38,0.5,2.62,61.700,84.400,35.62
Ty,Lawson,Den,G,16382,Bos,7,18.43,9.43,3.43,2,0.57,4.86,41.800,92.500,32.86
Al,Jefferson,Cha,C,16282,Was,7,20.57,1.57,11.29,1,0.86,1.57,48.100,68.200,33.75
Evan,Turner,Phi,F,16116,@Cle,5,21,4.2,6,1,0.6,1.8,48.300,75.00,31.10
Joakim,Noah,Chi,C,16081,Pho,6,12,3.83,11.17,1.33,2,2.5,41.400,80.0,32.54
Paul,George,Ind,F,16076,Tor,6,20.5,3.83,6.67,1.5,0.17,2.5,43.400,88.900,30.50
Marc,Gasol,Mem,C,15788,SA,0,0,0,0,0,0,0,0,0,0.00
Tim,Duncan,SA,F,15755,@Mem,7,14.43,3,10.71,0.43,2.43,1,43.300,70.800,32.61
Isaiah,Thomas,Sac,G,15752,Por,6,21.83,8.33,3.5,1,0.17,2.5,47.00,79.200,33.71
Zach,Randolph,Mem,F,15726,SA,7,19.43,3.86,12.43,0.29,0.14,2.14,46.700,75.00,34.32
Michael,Carter-Williams,Phi,G,15685,@Cle,6,15.33,5.5,6.17,2.17,0.83,3.5,38.900,76.900,28.71
Dirk,Nowitzki,Dal,F,15626,LAL,7,20.14,3.14,5.29,1.14,0.71,1.29,48.600,80.0,29.46
Dwyane,Wade,Mia,G,15222,NO,6,17.83,4.67,5,1.83,0.5,1.83,51.600,71.400,29.92
Andre,Drummond,Det,C,14955,@NY,5,11.8,0.8,11.8,0.8,1.4,1.6,57.400,27.800,27.25
Goran,Dragic,Pho,G,14913,@Chi,6,19.17,6,2,2.33,0,3,51.200,78.100,28.42
John,Henson,Mil,F,14830,GS,2,11,0.5,8,0,3.5,0.5,52.600,66.700,25.75
Damian,Lillard,Por,G,14807,@Sac,6,20.17,5.83,2.83,0.83,0.33,3,46.000,90.500,27.71
Rudy,Gay,Sac,F,14583,Por,6,20.17,2.17,6.67,1,0.67,3.33,49.500,83.300,27.33
Tyreke,Evans,NO,F,14574,@Mia,7,17.71,6.43,5.57,1.43,0.29,2.29,45.600,89.700,31.25
Brandon,Jennings,Det,G,14555,@NY,5,14.8,10.4,2.8,1.6,0,4,34.300,82.600,28.10
Gordon,Hayward,Uta,F,14546,OKC,6,17,6.33,4.83,1.67,1.5,1.5,43.400,89.500,33.29
Monta,Ellis,Dal,G,14526,LAL,7,17.29,5.57,3.29,1.71,0.43,3,39.600,82.400,25.82
Brandon,Knight,Mil,G,14496,GS,6,20.83,6.17,4.33,1.67,0.17,2.5,47.00,73.300,31.58
Luol,Deng,Cle,F,14416,Phi,3,15.67,1.33,6,1.67,0,2.67,40.500,92.300,21.50
Jrue,Holiday,NO,G,14375,@Mia,7,14.14,8.14,3.86,1.86,0.29,3,45.400,50.0,28.32
Spencer,Hawes,Phi,C,14353,@Cle,6,11.67,4,7.5,1.17,1.33,2.67,45.500,78.600,26.62
DeMar,DeRozan,Tor,G,14125,@Ind,7,20.14,3.57,5.57,1.43,0.29,2.43,42.200,78.00,27.89
Mike,Conley,Mem,G,14121,SA,7,15.14,6.29,3.57,2.57,0.29,2.43,38.800,79.200,27.68
Derrick,Favors,Uta,F,13926,OKC,6,13.83,1.17,8.33,1.5,1,1.83,57.600,77.800,26.67
Greg,Monroe,Det,F,13912,@NY,5,14.4,1.4,8.4,0.6,0,1.2,46.800,60.900,22.80
Kemba,Walker,Cha,G,13888,Was,7,18.14,5.43,4.86,1.14,0.14,2.14,38.300,81.200,27.29
Serge,Ibaka,OKC,F,13670,@Uta,7,14.29,1.14,6.57,0.71,1.86,1.71,57.300,55.600,24.86
Anderson,Varejao,Cle,C,13669,Phi,8,8.38,1.75,12.75,0.75,1.25,1.25,42.900,76.500,27.19
JaVale,McGee,Den,C,13550,Bos,0,0,0,0,0,0,0,0,0,0.00
Tony,Parker,SA,G,13537,@Mem,7,17.71,6.29,2.29,0.71,0,2.29,49.500,85.300,25.50
Nicolas,Batum,Por,F,13460,@Sac,6,10.83,6.33,6.67,0.83,1,2.67,37.500,88.900,26.58
