FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
James,Harden,Hou,G,19189,@Bos,6,28.5,4.33,6.5,1.33,0.17,3.83,48.600,85.200,37.04
Carmelo,Anthony,NY,F,19087,Pho,6,25.33,4.17,8,1.83,0.5,2.17,46.100,76.900,37.83
Dwight,Howard,Hou,C,18998,@Bos,6,16.17,1.5,9.17,1.33,1.33,1.83,49.300,38.300,27.12
Anthony,Davis,NO,F,18822,SA,8,20.62,1,10.12,1.12,3.12,2,57.100,59.600,36.91
Gordon,Hayward,Uta,F,18352,Den,4,22.5,5,5.25,1.5,1.5,2.5,55.200,80.0,36.31
John,Wall,Was,G,17646,@Chi,8,18.62,6.88,3.88,1.62,0.25,3.12,36.500,85.200,28.91
Joakim,Noah,Chi,C,17303,Was,7,11.86,4.86,12.71,1.14,2.43,2.57,38.000,76.300,35.82
Ty,Lawson,Den,G,17114,@Uta,7,18.57,11,3.86,1.43,0.43,3.14,44.700,83.300,36.32
Tim,Duncan,SA,F,16499,@NO,7,16.43,2.71,10.57,0.43,1.86,2.29,52.900,82.100,32.71
DeMar,DeRozan,Tor,G,16071,Mil,7,22.29,4.43,5.57,1.43,0.57,1.86,41.100,83.900,32.11
Dirk,Nowitzki,Dal,F,15954,Orl,8,20.75,3.38,5.38,1.25,0.38,1,46.200,81.100,29.91
Kyle,Lowry,Tor,G,15465,Mil,7,15.43,7.86,4.43,1.57,0.29,1.71,44.300,67.900,30.96
Goran,Dragic,Pho,G,15192,@NY,7,22.43,6.86,2.86,1.43,0,2.71,51.900,80.500,32.21
Monta,Ellis,Dal,G,14869,Orl,8,18,6,2.88,2,0.62,2.62,44.300,81.000,28.47
Nikola,Vucevic,Orl,C,14800,@Dal,3,7.33,0.67,7.67,1.33,0.67,1.33,47.800,0,18.25
John,Henson,Mil,F,13830,@Tor,0,0,0,0,0,0,0,0,0,0.00
Chandler,Parsons,Hou,F,13555,@Bos,3,15,1.33,6,1.33,0.33,1.67,44.400,64.300,22.00
JaVale,McGee,Den,C,13550,@Uta,0,0,0,0,0,0,0,0,0,0.00
Kris,Humphries,Bos,C,13381,Hou,7,11.43,2.14,9.43,0.86,2,0.71,50.0,90.900,29.14
Tony,Parker,SA,G,13375,@NO,7,16.86,7.43,2.14,0.29,0.43,2.86,56.800,88.00,26.54
Kenneth,Faried,Den,F,13299,@Uta,7,14.29,1.14,9.29,0.86,1,1.57,60.900,57.100,26.96
Derrick,Favors,Uta,F,13237,Den,5,14.4,0.4,6.4,1.2,1.6,1.8,56.400,66.700,23.90
Terrence,Jones,Hou,F,12750,@Bos,6,10,1.17,11.17,0.67,1.33,1.17,45.00,85.700,25.71
Brandon,Knight,Mil,G,12736,@Tor,6,18.83,3.67,3.33,2,0.17,2.33,45.00,81.000,25.58
Glen,Davis,Orl,F,12732,@Dal,8,14.12,1.38,8.12,1,0.62,1.38,41.700,69.200,23.72
Carlos,Boozer,Chi,F,12568,Was,5,14.4,0.6,9,1.2,0,2.6,43.500,66.700,21.85
Marcin,Gortat,Was,C,12473,@Chi,8,9.75,1.25,7.25,0.75,1.38,1.25,45.800,80.0,21.06
Tobias,Harris,Orl,F,12467,@Dal,8,12.5,1.12,7.38,0.62,0.62,1.12,39.600,68.400,20.59
Arron,Afflalo,Orl,G,12422,@Dal,7,16.14,4.14,4,0.43,0,2.57,40.200,85.300,21.14
Tyson,Chandler,NY,C,12363,Pho,3,5.67,0,6,0.33,0.67,0.67,54.500,71.400,13.33
Eric,Gordon,NO,G,12327,SA,7,18.57,3,3.57,1,0.14,2.86,51.600,92.00,23.61
Taj,Gibson,Chi,F,12263,Was,7,12.29,1.29,7,0.43,2.14,1.57,44.00,66.700,22.82
Raymond,Felton,NY,G,12258,Pho,3,11.33,8.67,2.67,1.33,0,2,38.200,75.00,24.50
Victor,Oladipo,Orl,G,11976,@Dal,8,13.62,3.62,4.12,1,0.62,2.88,44.000,77.100,21.16
Manu,Ginobili,SA,G,11935,@NO,5,15.6,6.2,2.6,1.6,0.2,1.4,43.100,82.600,26.65
Tyreke,Evans,NO,F,11881,SA,7,11.43,2.86,3.71,1,0.29,2.14,43.500,85.700,17.79
Miles,Plumlee,Pho,C,11809,@NY,7,9.29,0.71,8.43,1,1.43,1.29,51.900,57.900,22.11
Jordan,Crawford,Bos,G,11681,Hou,8,13.62,7,3,0.88,0.12,2.5,34.600,84.800,22.69
Trevor,Ariza,Was,F,11543,@Chi,8,11,2.25,6.75,1.88,0.12,1.38,38.100,70.600,21.88
Jameer,Nelson,Orl,G,11525,@Dal,8,11.5,7.25,4,0.5,0,2.12,37.600,100,22.94
Iman,Shumpert,NY,F,11387,Pho,6,14.33,2.5,6.33,2.17,0,1.17,52.600,87.500,26.83
Channing,Frye,Pho,F,11270,@NY,7,16,1.43,5,0.86,1,0.86,43.000,71.400,23.32
Jonas,Valanciunas,Tor,C,11245,Mil,7,11.43,0.71,8.29,0.57,1.14,1.86,52.600,76.900,22.07
Larry,Sanders,Mil,C,11216,@Tor,6,6,1.5,6.67,0.67,1.67,1.17,45.500,50.0,18.08
Trey,Burke,Uta,G,11209,Den,5,13,6,3.8,1.2,0.2,2,36.800,88.900,23.15
Kawhi,Leonard,SA,F,11193,@NO,7,10.71,1.57,5.14,1.29,0.57,1.29,57.400,58.300,19.93
Randy,Foye,Den,G,11106,@Uta,7,16.71,4.14,4.29,0.57,0.29,1.29,51.900,93.800,25.93
Timofey,Mozgov,Den,C,10975,@Uta,7,10.86,0.86,5.29,0.29,1.29,0.86,72.500,85.700,20.04
Amir,Johnson,Tor,F,10963,Mil,7,8.86,1.14,6.29,0.29,2,2.29,41.400,76.500,18.00
Shawn,Marion,Dal,F,10917,Orl,5,14.2,2,6.4,1.2,0.4,1.4,56.400,75.00,24.50
Enes,Kanter,Uta,C,10917,Den,5,11.2,1,7.6,0.2,0.8,1.6,51.200,70.600,20.00
Jose,Calderon,Dal,G,10906,Orl,8,10.88,5.38,3.38,1.88,0,1.25,39.200,83.300,22.59
Leandro,Barbosa,Pho,G,10895,@NY,3,5.33,2.33,2.33,1,0.67,0.67,27.300,75.00,11.58
Brandon,Bass,Bos,F,10888,Hou,8,10,0.75,5,0.25,0.75,1.88,50.0,80.0,15.31
Nene,Hilario,Was,F,10850,@Chi,8,10.25,3,5.25,0.62,0.62,2.25,44.600,53.300,18.12
Jeff,Green,Bos,F,10835,Hou,8,15.75,1.38,5.88,0.75,0.75,2.12,43.200,63.600,21.34
Jared,Sullinger,Bos,F,10825,Hou,8,10,1.25,8.88,0.25,0.38,1.88,35.200,75.00,18.41
J.J.,Hickson,Den,C,10820,@Uta,7,11.14,1.57,8.71,1,0.71,1.86,44.100,66.700,22.61
Jeremy,Lin,Hou,G,10752,@Bos,6,12.67,4,2.83,0.67,0.33,3.17,42.600,75.00,17.54
Andrea,Bargnani,NY,C,10695,Pho,6,12,0.83,6.17,0.33,0.67,1.33,47.700,88.900,18.71
Wilson,Chandler,Den,F,10600,@Uta,5,13,1.6,5,1.4,1,1,37.500,85.700,21.35
Bradley,Beal,Was,G,10423,@Chi,8,14,2.75,2.5,0.88,0.38,1.5,37.700,64.300,17.19
Jimmy,Butler,Chi,G,10416,Was,6,14.17,1.83,4.5,2.17,0.67,1.67,35.800,76.200,22.12
D.J.,Augustin,Chi,G,10378,Was,7,10.57,6.43,2,1,0.29,2.14,36.100,95.700,20.29
Marco,Belinelli,SA,G,10049,@NO,7,14.29,3.29,3.14,0.29,0,1.71,55.700,57.100,19.36
Mike,Dunleavy,Chi,F,10038,Was,7,13.43,1.43,4.14,1,0.57,1.14,54.300,75.00,20.25
Avery,Bradley,Bos,G,10030,Hou,8,15.75,1.75,4.25,0.62,0.38,1.38,42.500,77.800,19.88
Beno,Udrih,NY,G,9914,Pho,4,6,6,2.5,1.25,0,1.5,35.500,100,16.62
Al-Farouq,Aminu,NO,F,9636,SA,8,6.75,1.75,6.75,1,1.12,1.62,42.100,75.00,18.25
Patrick,Patterson,Tor,F,9520,Mil,7,12,1.71,5.57,0.71,0.86,1.43,52.300,75.00,20.82
Trevor,Booker,Was,F,9487,@Chi,8,7.12,0.62,8,0.62,0.38,0.75,55.300,55.600,17.75
Gerald,Green,Pho,F,9436,@NY,7,15.71,1,2.71,1.71,0.71,0.57,45.200,88.900,21.18
Markieff,Morris,Pho,F,9289,@NY,7,9.43,1.43,4.86,0.86,0.86,1.43,40.300,68.800,16.43
Brian,Roberts,NO,G,9245,SA,8,7.62,3,2.62,0.5,0,1.12,37.300,90.0,13.16
P.J.,Tucker,Pho,F,8982,@NY,7,9.71,1.71,6.57,0.71,0.14,1.14,42.900,93.300,18.71
