FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Love,Min,F,24560,Was,6,33,4.17,14,0.67,0.67,2.17,51.900,84.400,51.33
LeBron,James,Mia,F,20472,@Sac,6,25.67,7.17,8.17,1.83,0.17,1.83,63.500,66.700,44.79
Kevin,Durant,OKC,F,19805,@Cha,7,27.29,4.43,7.43,2,0.71,2.57,55.00,93.000,42.00
DeMarcus,Cousins,Sac,C,18793,Mia,7,22.71,4.29,11.86,2.14,0.71,4,50.500,71.800,40.46
Stephen,Curry,GS,G,18758,Pho,7,22.14,10.14,4.14,2.29,0.14,3.57,41.800,86.500,38.39
Carmelo,Anthony,NY,F,18602,Tor,6,28.5,2.83,5.67,0.67,1.33,1.5,46.600,89.200,36.17
Anthony,Davis,NO,F,18249,Den,3,22,0.67,10.67,1.33,0.67,2,52.200,72.00,33.50
Russell,Westbrook,OKC,G,18026,@Cha,7,21.71,8.43,8.71,1.14,0.29,4.43,45.500,87.200,38.54
John,Wall,Was,G,17772,@Min,5,19.6,9.2,4,2,0.4,4.8,43.800,82.400,33.10
Dwyane,Wade,Mia,G,16920,@Sac,5,25.2,3.6,5,2,0.2,2.2,60.900,68.00,34.85
David,Lee,GS,F,16672,Pho,7,23.43,1.29,12.29,0.71,0.43,2.29,52.800,85.700,36.07
Josh,Smith,Det,F,16610,@Orl,7,21.86,3.29,6.29,1.71,1.57,1.71,46.700,71.000,33.71
Brandon,Jennings,Det,G,16310,@Orl,7,17.71,9.14,3.43,0.86,0.14,1.71,37.700,79.500,30.71
Kyle,Lowry,Tor,G,16227,@NY,6,17.33,7.83,4.33,1.83,0.17,2.17,40.500,100,32.17
Brandon,Knight,Mil,G,16159,@Bkn,6,21.17,6,6.5,0.83,0.33,2.33,44.300,91.300,33.21
Al,Jefferson,Cha,C,16136,OKC,7,19.71,1.86,10.29,0.86,1.29,0.43,46.600,58.300,33.43
Kemba,Walker,Cha,G,16009,OKC,7,24.14,5,5.29,1.29,0.43,3.43,55.800,82.400,34.25
Pau,Gasol,LAL,C,15815,@Uta,7,15.71,3.43,9,0.43,1.43,2.86,54.500,68.400,29.68
John,Henson,Mil,F,15726,@Bkn,5,17,2,10.8,0.8,3,2.2,51.500,68.00,34.90
Tyreke,Evans,NO,F,15593,Den,4,15.75,7.25,6.25,1.5,0.25,2,39.100,87.100,31.94
Eric,Bledsoe,Pho,G,15584,@GS,6,19.67,6.5,5.83,1.33,0.5,3.17,53.800,83.300,33.79
Larry,Sanders,Mil,C,15525,@Bkn,0,0,0,0,0,0,0,0,0,0.00
Andre,Drummond,Det,C,15116,@Orl,7,13.57,0.29,12,0.86,2.43,1.71,61.400,36.00,30.79
Nikola,Pekovic,Min,C,14998,Was,6,22.67,1,9.83,0.5,0.33,1.5,53.300,70.600,31.71
Jrue,Holiday,NO,G,14970,Den,6,14.33,8.67,3.67,1.33,0.17,2,47.300,90.0,29.58
Nikola,Vucevic,Orl,C,14760,Det,6,10.17,1.33,12.5,1.17,1.5,2,41.500,87.500,27.88
Arron,Afflalo,Orl,G,14753,Det,5,23.4,3.6,4.6,0.2,0,1.4,49.400,81.500,28.85
Isaiah,Thomas,Sac,G,14309,Mia,7,20.57,6.43,3.43,1.71,0,3,47.700,81.500,30.43
Andrew,Bogut,GS,C,14287,Pho,7,8.71,1.14,14,1.14,1.86,1.71,64.400,30.0,30.57
Gordon,Hayward,Uta,F,14080,LAL,7,15.57,4.86,7.14,1,1.29,2,40.0,86.700,30.00
J.R.,Smith,NY,G,13989,Tor,7,13.57,4.71,5,1.29,0.29,1.14,35.400,63.600,24.04
Chris,Bosh,Mia,C,13831,@Sac,6,19.33,1.17,8.17,1,1.17,1.17,57.100,79.200,31.04
Ty,Lawson,Den,G,13698,@NO,6,11.83,7,3,1.67,0.33,3,37.300,88.500,23.75
Nene,Hilario,Was,F,13530,@Min,2,15,3.5,5.5,2,0.5,0.5,62.500,76.900,29.38
Rudy,Gay,Sac,F,13399,Mia,7,17.71,2.71,3.86,1.86,0.86,3.71,45.800,80.0,24.04
Khris,Middleton,Mil,F,13358,@Bkn,6,16.67,2.33,5.33,1,0.33,0.83,47.600,83.300,24.92
Amir,Johnson,Tor,F,13328,@NY,6,13.33,1.5,9.67,1.17,1.17,1.17,59.600,69.200,28.92
Derrick,Favors,Uta,F,13315,LAL,7,13.14,1.57,7.71,0.86,1.86,1.57,52.600,71.400,26.07
Tyson,Chandler,NY,C,13200,Tor,4,8,2,9.25,1.5,1.25,0.25,48.00,50.0,25.19
Deron,Williams,Bkn,G,13172,Mil,7,15.57,9.29,2.71,0.86,0.14,3.57,47.300,81.800,28.11
Miles,Plumlee,Pho,C,13085,@GS,6,10.17,0.83,12,1.17,1.67,1.5,53.800,38.500,27.92
Trevor,Ariza,Was,F,12990,@Min,5,14.6,2.6,5,1,0.6,1.8,48.100,83.300,23.15
Goran,Dragic,Pho,G,12837,@GS,6,18.33,4.83,3.17,1.5,0,2.33,47.500,76.500,26.04
Jameer,Nelson,Orl,G,12812,Det,6,15.17,6.17,4.17,1,0,2.67,44.600,80.0,25.38
DeMar,DeRozan,Tor,G,12809,@NY,6,19.5,4.5,5.67,1,0.5,2.83,39.800,74.200,27.17
Serge,Ibaka,OKC,F,12474,@Cha,7,13.14,0.86,6.86,0.57,1.86,1,54.900,75.00,24.36
Marcin,Gortat,Was,C,12361,@Min,5,10,2.8,9,0,1.2,2,42.600,66.700,22.55
Greg,Monroe,Det,F,12272,@Orl,7,14,1.43,9.86,0.57,0.57,2.71,51.200,58.300,24.46
Klay,Thompson,GS,G,12088,Pho,7,16.57,3.43,3.29,1.29,0.71,2.57,38.700,68.800,21.68
Andre,Miller,Den,G,11640,@NO,6,6.67,3.67,2.33,0.5,0.33,1,48.300,84.600,14.33
Gerald,Henderson,Cha,G,11612,OKC,7,13.71,3.43,5,0.71,0.57,0.86,43.800,78.800,23.11
Joe,Johnson,Bkn,G,11573,Mil,6,19.83,3,3.67,0.83,0.33,1.5,52.900,72.700,26.08
JaVale,McGee,Den,C,11550,@NO,0,0,0,0,0,0,0,0,0,0.00
J.J.,Hickson,Den,C,11548,@NO,6,12.83,1.17,10,0.67,0.67,1.17,50.800,57.700,25.17
Glen,Davis,Orl,F,11400,Det,6,12.17,2,7.17,1,0.67,2,46.400,56.200,21.79
Ricky,Rubio,Min,G,11366,Was,6,8,6.83,4,1.83,0.17,2.67,26.300,78.900,20.75
Jonas,Valanciunas,Tor,C,11210,@NY,6,13,0.67,9.67,0.5,1.83,1.67,53.200,80.0,26.42
Martell,Webster,Was,G,11162,@Min,5,15,1,4.2,0.4,0.2,0.8,50.0,78.600,19.35
Ryan,Anderson,NO,F,11144,Den,6,18,1,7,0.67,0.17,1.17,38.800,100,23.50
