FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Love,Min,F,22937,@Hou,63,26.49,4.21,12.83,0.84,0.46,2.32,46.400,81.500,43.37
Kevin,Durant,OKC,F,22913,@Cle,66,31.83,5.53,7.62,1.35,0.77,3.56,50.700,87.100,44.64
Russell,Westbrook,OKC,G,18999,@Cle,36,21.39,7.17,5.75,1.94,0.11,3.97,43.300,80.800,34.05
Stephen,Curry,GS,G,18417,Mil,66,23.42,8.52,4.35,1.58,0.18,3.80,46.200,87.400,36.33
James,Harden,Hou,G,17937,Min,59,24.56,5.58,4.66,1.46,0.44,3.66,45.600,85.500,33.80
Nicolas,Batum,Por,F,17642,Was,68,13.29,5.16,7.37,0.96,0.68,2.63,45.600,82.300,27.89
John,Wall,Was,G,17276,@Por,67,19.73,8.72,4.19,1.93,0.51,3.57,43.200,81.000,34.19
Dwight,Howard,Hou,C,17251,Min,66,18.64,1.83,12.38,0.83,1.80,3.30,58.900,54.800,34.38
LaMarcus,Aldridge,Por,F,16996,Was,60,23.42,2.65,11.07,0.85,1,1.85,45.900,81.900,36.98
Serge,Ibaka,OKC,F,16358,@Cle,66,15.24,0.97,8.82,0.45,2.62,1.55,54.300,77.600,29.29
Damian,Lillard,Por,G,14811,Was,68,21.18,5.56,3.57,0.71,0.31,2.46,42.900,88.100,28.61
David,Lee,GS,F,14607,Mil,64,18.48,2.16,9.41,0.66,0.39,2.19,52.100,79.200,29.47
Brandon,Knight,Mil,G,14282,@GS,59,17.54,4.92,3.49,0.98,0.15,2.56,42.100,81.600,24.31
Marcin,Gortat,Was,C,14035,@Por,67,12.78,1.67,9.30,0.45,1.45,1.48,53.400,68.900,26.42
Spencer,Hawes,Cle,C,13953,OKC,66,13.5,3.09,8.65,0.53,1.23,2.18,45.500,78.900,26.99
Ricky,Rubio,Min,G,13581,@Hou,66,9.08,8.59,4.55,2.45,0.15,2.68,37.600,82.100,27.46
