FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Durant,OKC,F,22789,Mem,8,33.75,6.5,6.38,1.5,0.88,4.62,60.0,90.0,47.22
Anthony,Davis,NO,F,21956,SA,6,22.17,2.5,9.67,2.33,5.5,2,48.500,84.100,46.83
LeBron,James,Mia,F,20569,Det,6,28,5.33,7.17,1.83,0,3.33,56.200,70.800,40.04
DeMarcus,Cousins,Sac,C,19515,Chi,3,12,3.33,9.67,2,3,3.33,44.800,58.800,31.92
LaMarcus,Aldridge,Por,F,19150,@Was,7,26.43,2.14,13.86,0.86,1,2.43,42.200,80.300,40.75
Dirk,Nowitzki,Dal,F,18720,Cle,5,27,2.6,9.6,0.6,0,1.4,51.600,94.700,38.10
Carmelo,Anthony,NY,F,18514,@Mil,7,32.86,3.29,7.86,1.43,0.43,2.71,50.300,76.600,41.96
Joakim,Noah,Chi,C,17267,@Sac,6,12.17,6.67,14.67,0.83,1.5,3,43.300,57.700,38.08
Blake,Griffin,LAC,F,17249,@Den,8,26.12,4,7.25,1.12,0.25,2.38,55.900,64.400,35.94
John,Wall,Was,G,17154,Por,7,17.71,8.86,5.86,2.57,0.57,3.57,38.100,82.400,35.39
Tim,Duncan,SA,F,16372,@NO,7,16.71,2.14,12.57,0.86,2.29,2,58.000,54.800,36.14
Andre,Drummond,Det,C,15942,@Mia,6,14.33,0.5,13.33,1.33,2.33,1.33,66.000,55.200,35.17
Ty,Lawson,Den,G,15789,LAC,4,17.25,10.25,3,1.5,0,2.25,47.100,80.0,33.12
Kyle,Lowry,Tor,G,15724,@Uta,8,19.12,8.25,5.25,1.5,0.12,2.62,42.100,71.800,33.62
Zach,Randolph,Mem,F,15676,@OKC,7,20.43,3,12,0.86,0,1.86,47.300,70.0,34.29
DeAndre,Jordan,LAC,C,15629,@Den,8,9.62,1.12,16.62,0.88,1.75,1.5,73.800,39.500,33.72
Paul,George,Ind,F,15522,Orl,7,21.29,3.14,7.43,1.57,0.29,3.71,39.000,72.700,28.50
Kyrie,Irving,Cle,G,15440,@Dal,7,22,6.86,3.71,1.57,0,2.14,41.400,92.900,31.93
Lance,Stephenson,Ind,G,15303,Orl,7,15.71,6.29,9.43,0.71,0,2.86,50.0,59.300,31.50
Brandon,Jennings,Det,G,14930,@Mia,6,20.67,6,2.33,1.17,0.33,2.17,39.400,73.800,27.25
Chris,Bosh,Mia,C,14879,Det,6,19,1,7.17,0.33,0.5,1.5,55.300,86.700,26.29
Nikola,Vucevic,Orl,C,14695,@Ind,3,14,1.67,9,1,0,1.33,51.400,100,25.58
Michael,Carter-Williams,Phi,G,14583,@Bkn,7,18.14,6.29,5,1.71,0.71,2.86,39.100,70.200,30.04
Mike,Conley,Mem,G,14568,@OKC,6,17,5.67,3.17,1.5,0,1.5,45.00,90.900,27.12
Rudy,Gay,Sac,F,14565,Chi,6,22,4.33,5.17,1.17,0,2.33,57.500,78.100,31.29
Dwyane,Wade,Mia,G,14560,Det,3,15,3.67,2.67,1,0.67,3.67,57.100,71.400,20.67
Serge,Ibaka,OKC,F,14557,Mem,9,17.78,0.67,7.33,0.78,3.22,1.67,59.300,80.0,31.33
Josh,Smith,Det,F,14331,@Mia,6,15.83,3.5,6,2.5,0.67,2.67,46.700,40.0,27.00
DeMar,DeRozan,Tor,G,14144,@Uta,6,27.33,3.67,4.67,1,0.33,2.33,47.900,76.800,32.75
Isaiah,Thomas,Sac,G,14023,Chi,9,24.11,6.56,2.44,1,0.11,2.67,41.300,86.300,30.17
Thaddeus,Young,Phi,F,14015,@Bkn,8,18.25,2.5,5.62,3.75,0.12,2.5,47.700,50.0,29.16
Carlos,Boozer,Chi,F,13712,@Sac,6,13.83,2.5,8.17,1,0.17,2.33,41.200,92.900,23.54
