FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Durant,OKC,F,23462,Bkn,7,29.43,4.57,9.71,1.29,0.43,2.43,51.800,88.00,44.29
LeBron,James,Mia,F,20651,GS,6,26.33,7.17,7.5,1,0.33,2,56.200,65.800,42.21
DeMarcus,Cousins,Sac,C,20592,Phi,7,23.71,3.43,12.43,1.86,0.86,3.43,50.400,66.700,40.54
LaMarcus,Aldridge,Por,F,19061,Cha,6,23.33,3.33,10.17,0.33,0.83,0.33,42.800,88.900,35.96
Stephen,Curry,GS,G,18653,@Mia,7,18.43,11.14,6.29,1.86,0.29,4,37.100,76.200,37.36
Carmelo,Anthony,NY,F,18220,@SA,3,26,2.33,6.33,0.67,1.33,1.33,41.500,88.200,33.42
Thaddeus,Young,Phi,F,17685,@Sac,5,25.4,2.4,9,2.4,0.8,2.2,52.700,85.00,39.75
Michael,Carter-Williams,Phi,G,17685,@Sac,5,18,7.8,5.2,2.8,0.4,3.4,41.800,81.500,34.10
Al,Jefferson,Cha,C,16894,@Por,8,20.62,1.62,12.62,0.88,1,1.25,46.800,62.100,35.47
Isaiah,Thomas,Sac,G,16596,Phi,7,20.14,8.71,3.71,1.57,0,2.57,47.200,75.900,33.93
Kyrie,Irving,Cle,G,16076,Orl,7,26.14,6.29,2.57,1.29,0.86,3,48.600,94.300,34.86
Tim,Duncan,SA,F,15968,NY,7,15.29,2.57,11.43,0.71,2.71,1.86,43.900,75.00,34.00
Brandon,Knight,Mil,G,15654,@Uta,7,23.71,6.14,6.71,1.43,0.29,2.57,46.300,76.500,36.46
Zach,Randolph,Mem,F,15650,@Pho,6,19,4,11.17,0.33,0,2.83,42.00,75.00,31.12
Damian,Lillard,Por,G,15647,Cha,6,24.17,6.33,3.83,1,0.17,2.5,49.500,75.00,33.54
Nikola,Vucevic,Orl,C,15252,@Cle,6,12,1,10.17,1.5,1.67,1.83,47.100,100,27.71
Spencer,Hawes,Phi,C,15196,@Sac,5,15.8,4.4,8.6,0.8,1,2,47.500,72.200,31.15
David,Lee,GS,F,15136,@Mia,7,22.86,2.29,9.43,0.29,0.57,2.71,57.100,88.900,33.21
Joakim,Noah,Chi,C,15080,Bos,7,12.14,3,12,1.57,1.14,2.57,40.500,80.600,30.93
Gordon,Hayward,Uta,F,14826,Mil,7,13.71,6.14,5.71,1.14,1.43,1.86,36.300,87.000,29.00
Chris,Bosh,Mia,C,14511,GS,7,20.86,1,7.57,1.14,1.14,2.14,57.000,76.900,30.54
Mike,Conley,Mem,G,14028,@Pho,5,13.2,6.4,4,2.8,0.2,1.8,31.600,76.500,26.40
Dwyane,Wade,Mia,G,13960,GS,5,20.6,4.4,3.8,2.2,0.4,2,57.000,28.600,30.95
James,Johnson,Mem,F,13928,@Pho,6,10.67,2.67,6.17,1.67,1.5,1,51.100,84.600,25.71
Goran,Dragic,Pho,G,13856,Mem,7,16.43,5.43,2.71,1.86,0,2.86,45.200,84.800,24.82
Kemba,Walker,Cha,G,13801,@Por,8,21.75,4.62,5.5,1.38,0.38,3.38,44.500,82.200,30.44
J.R.,Smith,NY,G,13642,@SA,6,17.17,5.33,6.5,1.33,0.33,1.33,38.100,44.400,29.46
Eric,Bledsoe,Pho,G,13636,Mem,7,14.29,4.43,4.14,1,0.43,2.57,47.400,80.0,23.11
Khris,Middleton,Mil,F,13617,@Uta,7,17.57,2.57,6.43,1.29,0.57,1.43,44.200,88.200,27.46
Rudy,Gay,Sac,F,13615,Phi,7,20.71,2.57,5.14,1.57,0.86,3.57,47.400,81.100,27.43
Evan,Turner,Phi,F,13610,@Sac,4,21,5,7,1.25,0.5,2.5,43.800,78.300,32.50
Arron,Afflalo,Orl,G,13592,@Cle,5,22.2,4,2.8,0.6,0,2.2,56.200,69.200,26.70
Larry,Sanders,Mil,C,13490,@Uta,3,8.67,2,9.33,1.67,2,1.33,55.00,28.600,26.17
Wesley,Matthews,Por,G,13470,Cha,6,18.33,3,5.5,1.17,0.33,1.17,42.900,90.900,27.38
Nicolas,Batum,Por,F,13449,Cha,6,14,5.17,6.17,0.67,1,2.83,42.400,90.500,26.62
John,Henson,Mil,F,13230,@Uta,4,15,1.5,10,0,2.5,1,53.300,70.600,30.50
Serge,Ibaka,OKC,F,13187,Bkn,7,12.71,1.14,6.29,0.43,2.43,1.43,54.100,66.700,24.00
Tony,Parker,SA,G,13118,NY,6,19.67,6,2,1.17,0,2.17,45.800,86.400,27.08
Derrick,Favors,Uta,F,13052,Mil,7,12.14,1.57,8.71,1,1.43,2,49.300,84.600,25.39
Reggie,Jackson,OKC,G,13016,Bkn,7,14.43,4.29,4.29,0.71,0,2,40.200,76.500,21.21
Tyson,Chandler,NY,C,12743,@SA,6,9.17,2,7.5,1.17,1.33,1,53.800,54.200,23.12
Luol,Deng,Chi,F,12310,Bos,2,17,2,4.5,1,0,3,43.300,70.0,19.62
Andrew,Bogut,GS,C,12308,@Mia,7,8.86,0.86,12.14,0.71,1.57,1.43,63.800,33.300,26.96
Miles,Plumlee,Pho,C,12285,Mem,7,11.43,0.43,11.43,0.57,1.43,1.86,59.700,33.300,25.86
