FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Love,Min,F,21293,Uta,38,25.32,3.95,13,0.84,0.42,2.29,45.800,81.200,42.07
LaMarcus,Aldridge,Por,F,21144,@Dal,39,23.90,2.90,11.23,0.85,1,1.67,47.500,82.000,38.37
LeBron,James,Mia,F,21131,@Cha,38,25.82,6.58,6.71,1.29,0.34,3.53,58.600,76.200,39.60
Blake,Griffin,LAC,F,20365,@Ind,41,22.54,3.37,10.22,1.17,0.66,2.88,52.800,71.400,36.27
Anthony,Davis,NO,F,19384,GS,31,19.77,1.23,10.23,1.48,3,1.61,52.800,74.900,37.59
Joakim,Noah,Chi,C,18489,Phi,37,11.41,3.81,10.84,1.16,1.27,2.08,46.000,73.100,30.44
Stephen,Curry,GS,G,18171,@NO,38,23.39,9.24,4.58,1.87,0.26,4.37,44.100,86.200,37.46
Josh,Smith,Det,F,17690,@Was,39,15.28,3.38,6.90,1.49,1.51,2.49,40.400,59.200,27.26
James,Harden,Hou,G,17286,Mil,35,24.4,5.31,5.03,1.26,0.54,3.8,44.900,84.700,33.24
DeAndre,Jordan,LAC,C,16918,@Ind,41,9.49,0.85,13.46,1,2.49,1.54,63.700,41.600,30.74
Paul,George,Ind,F,16764,LAC,38,22.89,3.55,6.26,1.84,0.26,2.63,45.400,86.400,32.57
David,Lee,GS,F,16526,@NO,41,19.10,2.29,9.90,0.56,0.37,2.37,52.600,81.200,30.51
John,Wall,Was,G,16518,Det,38,19.79,8.63,4.16,1.95,0.39,3.53,42.200,84.800,33.91
Dwight,Howard,Hou,C,16441,Mil,41,17.93,1.83,12.54,0.90,1.78,3.12,57.500,53.200,34.01
Andre,Drummond,Det,C,16286,@Was,39,12.67,0.38,12.67,1.38,1.85,1.41,59.700,38.400,31.05
Michael,Carter-Williams,Phi,G,16244,@Chi,28,17.25,6.79,5.68,2.54,0.61,3.39,41.400,70.500,32.21
Dirk,Nowitzki,Dal,F,15936,Por,40,21.3,3,5.82,1.05,0.72,1.45,48.400,90.300,30.83
Al,Jefferson,Cha,C,15906,Mia,32,17.97,1.94,10.06,0.97,1.22,1.12,47.500,69.200,31.88
Kemba,Walker,Cha,G,15776,Mia,41,18.98,4.98,4.29,1.41,0.46,2.49,42.400,79.900,27.95
Damian,Lillard,Por,G,15589,@Dal,39,21.54,5.72,3.77,0.79,0.36,2.33,42.200,89.700,29.87
Nicolas,Batum,Por,F,15405,@Dal,39,13.21,5.74,6.79,0.95,0.69,2.54,45.300,82.700,28.06
Monta,Ellis,Dal,G,15359,Por,41,20.07,6,3.39,1.85,0.27,3.24,45.900,80.800,29.40
Nikola,Pekovic,Min,C,15230,Uta,39,18.03,1.05,9.05,0.59,0.54,1.62,52.700,73.800,27.69
Terrence,Jones,Hou,F,15094,Mil,38,10.97,1.21,7.61,0.61,1.5,0.95,50.400,59.800,22.84
Gordon,Hayward,Uta,F,14985,@Min,37,17.08,4.89,5.41,1.32,0.70,2.62,41.500,82.900,27.97
Dwyane,Wade,Mia,G,14969,@Cha,30,18.87,4.73,4.83,1.8,0.6,2.9,54.000,70.600,29.96
Spencer,Hawes,Phi,C,14946,@Chi,37,14.27,3.49,8.76,0.59,1.43,2.32,48.300,76.500,29.00
Brandon,Jennings,Det,G,14709,@Was,37,16.49,8.41,3.32,1.54,0.08,3.22,37.500,78.200,28.07
Darren,Collison,LAC,G,14644,@Ind,41,9.56,2.80,2.39,1.05,0.20,1.32,47.900,85.300,15.91
Lance,Stephenson,Ind,G,14441,LAC,37,13.70,5.14,6.62,0.73,0.08,2.57,50.200,70.200,25.67
John,Henson,Mil,F,13890,@Hou,30,12.1,1.67,8.03,0.7,2.27,1.5,52.400,61.600,26.18
Carlos,Boozer,Chi,F,13788,Phi,36,15,1.5,8.47,0.72,0.39,2.42,46.200,77.800,23.63
Greg,Monroe,Det,F,13685,@Was,39,14.49,1.92,8.77,0.97,0.49,2.15,50.0,63.800,25.38
Eric,Gordon,NO,G,13581,GS,35,16.51,3.14,2.74,1.34,0.2,2.11,45.100,80.800,21.66
Derrick,Favors,Uta,F,13503,@Min,39,13.62,1.15,9.08,1.05,1.36,1.87,52.300,66.400,26.47
Thaddeus,Young,Phi,F,13158,@Chi,36,17.42,1.81,6.5,1.89,0.56,1.89,49.000,70.800,27.07
Ricky,Rubio,Min,G,13082,Uta,39,8.56,8.03,4.59,2.64,0.18,2.72,34.600,85.200,26.42
Evan,Turner,Phi,F,12947,@Chi,38,18.79,3.82,6.32,0.97,0.11,3.13,44.100,81.700,26.46
Taj,Gibson,Chi,F,12938,Phi,38,11.82,1.03,6.63,0.29,1.42,1.84,48.400,70.300,20.20
Trey,Burke,Uta,G,12866,@Min,29,13.86,5.79,3.24,0.76,0.10,2.07,39.400,90.0,22.16
Trevor,Ariza,Was,F,12836,Det,33,13.91,2.67,6.06,1.82,0.27,1.82,44.500,72.500,24.44
Chris,Bosh,Mia,C,12784,@Cha,38,15.97,1.13,6.71,0.92,1.11,1.42,52.600,80.600,25.55
David,West,Ind,F,12690,LAC,38,12.5,3.13,6.82,0.92,0.97,1.87,47.500,77.900,24.45
Marcin,Gortat,Was,C,12673,Det,38,11.95,1.61,8.53,0.42,1.58,1.55,51.600,73.300,24.75
Chandler,Parsons,Hou,F,12649,Mil,36,16.97,3.58,5.47,1.22,0.47,2.06,50.300,71.500,26.87
D.J.,Augustin,Chi,G,12643,Phi,28,7.89,4.29,1.39,0.82,0.07,1.64,37.500,93.800,14.01
Ryan,Anderson,NO,F,12545,GS,22,19.82,0.77,6.45,0.45,0.32,0.91,43.800,95.200,25.09
Jimmy,Butler,Chi,G,12502,Phi,25,12.32,1.96,4.2,1.88,0.64,1.64,37.800,78.300,20.39
Andrew,Bogut,GS,C,12472,@NO,40,8,1.55,10.12,0.75,1.65,1.68,62.900,34.600,24.57
Nene,Hilario,Was,F,12385,Det,31,13.42,3.16,5.74,1.06,0.97,1.94,48.600,62.200,23.79
Andre,Iguodala,GS,F,12247,@NO,29,9.97,4.90,4.21,1.62,0.31,1.90,50.700,57.100,22.29
Brandon,Knight,Mil,G,12120,@Hou,30,15.43,4.33,3.83,1.07,0.13,2.63,40.800,84.100,22.19
Al-Farouq,Aminu,NO,F,12112,GS,37,7.22,1.59,6.89,1.19,0.70,1.22,46.900,61.000,18.75
Shawn,Marion,Dal,F,11950,Por,37,11.51,1.73,7.14,1.24,0.68,1.27,47.500,78.300,22.78
J.J.,Redick,LAC,G,11835,@Ind,20,16.6,2.1,2.35,0.95,0.15,0.9,47.100,92.800,20.69
Tyreke,Evans,NO,F,11765,GS,33,12.61,4.21,4.61,1.24,0.30,2.06,41.000,81.700,22.06
Bradley,Beal,Was,G,11541,Det,29,17.24,2.86,3.59,0.86,0.21,1.90,41.300,80.600,21.33
Larry,Sanders,Mil,C,11536,@Hou,13,6.08,1.08,6.77,0.54,1.62,1.38,40.700,46.400,16.65
Roy,Hibbert,Ind,C,11380,LAC,38,12.39,1.37,7.71,0.47,2.55,1.95,46.900,75.900,25.10
Wesley,Matthews,Por,G,11240,@Dal,39,16.72,2.33,4.28,0.97,0.18,1.26,48.200,83.200,23.28
Mike,Dunleavy,Chi,F,11202,Phi,38,10.92,2.05,3.92,0.66,0.39,1.29,44.800,80.600,17.06
Robin,Lopez,Por,C,11149,@Dal,39,10.18,0.72,8.18,0.38,1.44,1.21,54.900,77.600,21.96
Alec,Burks,Uta,G,11119,@Min,41,12.78,2.76,3.17,0.78,0.24,1.76,44.200,76.100,17.78
Gerald,Henderson,Cha,G,11117,Mia,41,15.54,2.59,4.17,0.78,0.37,1.54,42.300,79.500,21.05
Jose,Calderon,Dal,G,11062,Por,40,11.88,4.75,2.32,1.15,0.05,1.2,46.300,88.00,20.54
Jamal,Crawford,LAC,G,11029,@Ind,41,17.02,2.93,2.29,0.80,0.22,1.88,40.400,82.500,19.78
Jordan,Crawford,GS,G,11021,@NO,40,13.6,5.65,3.02,0.85,0.08,2.15,41.700,87.300,22.02
Klay,Thompson,GS,G,10984,@NO,41,19.41,2.59,3.15,0.98,0.51,2.10,45.100,78.200,23.45
Norris,Cole,Mia,G,10967,@Cha,39,7.92,3.23,2.51,0.90,0.10,1.64,47.900,81.800,14.46
Enes,Kanter,Uta,C,10693,@Min,40,11.6,0.82,6.25,0.45,0.68,1.82,48.500,75.300,18.18
Kevin,Martin,Min,G,10431,Uta,37,19.14,2.11,3.32,1.08,0.08,1.76,42.700,91.300,22.51
James,Anderson,Phi,G,10283,@Chi,39,9.77,1.67,3.77,0.87,0.38,1.38,44.200,72.400,15.54
Ersan,Ilyasova,Mil,F,10271,@Hou,28,9.57,1.36,5.25,1.11,0.14,1.54,39.700,77.800,16.03
Jeremy,Lin,Hou,G,10208,Mil,31,13.87,4.26,2.45,1.03,0.48,2.77,47.000,79.200,20.55
Mario,Chalmers,Mia,G,10140,@Cha,33,9.30,5.09,2.82,1.88,0.24,2.12,44.000,75.300,20.31
Brian,Roberts,NO,G,9999,GS,32,6.38,2.5,1.62,0.47,0.06,0.88,39.800,92.500,10.59
Richard,Jefferson,Uta,F,9550,@Min,41,10.56,1.88,2.93,0.61,0.24,1.32,44.400,76.500,14.90
Josh,McRoberts,Cha,F,9054,Mia,40,7.92,4.02,5.32,0.9,0.65,1.08,41.200,65.00,20.29
Patrick,Beverley,Hou,G,9000,Mil,25,9.64,2.24,3.88,1.28,0.4,1.16,42.000,78.000,17.47
Khris,Middleton,Mil,F,8986,@Hou,38,10.84,1.76,4.47,0.89,0.32,1.24,42.800,85.00,17.38
Tony,Wroten,Phi,G,8912,@Chi,35,13.31,3.29,3.46,1,0.29,2.74,41.600,56.400,17.94
DeJuan,Blair,Dal,F,8909,Por,40,7.68,1.2,6.32,1.08,0.28,1.2,56.600,54.400,17.23
Luke,Ridnour,Mil,G,8894,@Hou,27,6.44,3.74,2.04,0.78,0.07,1.22,40.0,64.700,12.97
Corey,Brewer,Min,F,8844,Uta,39,11.46,1.54,2.54,1.62,0.38,1.51,44.400,72.400,16.37
