FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Love,Min,F,22937,@Hou,18,18.33,2.33,14,0.72,0.5,2.17,35.200,70.400,33.08
Kevin,Durant,OKC,F,22913,@Cle,81,28.15,4.62,7.90,1.43,1.30,3.46,51.000,90.500,42.18
Russell,Westbrook,OKC,G,18999,@Cle,82,23.21,7.40,5.22,1.77,0.29,3.33,43.800,80.0,35.67
Stephen,Curry,GS,G,18417,Mil,78,22.90,6.91,4.03,1.62,0.15,3.08,45.100,90.000,33.69
James,Harden,Hou,G,17937,Min,78,25.94,5.83,4.86,1.82,0.49,3.78,43.800,85.100,36.02
Nicolas,Batum,Por,F,17642,Was,73,14.34,4.93,5.64,1.25,1.14,2.60,42.300,84.800,27.45
John,Wall,Was,G,17276,@Por,49,18.49,7.61,4,1.31,0.76,3.20,44.100,80.400,31.02
Dwight,Howard,Hou,C,17251,Min,76,17.05,1.42,12.43,1.11,2.45,2.96,57.800,49.200,34.21
LaMarcus,Aldridge,Por,F,16996,Was,74,21.08,2.59,9.05,0.84,1.23,1.93,48.400,81.000,33.45
Serge,Ibaka,OKC,F,16358,@Cle,80,13.19,0.54,7.71,0.35,3.02,1.56,57.300,74.900,26.45
Damian,Lillard,Por,G,14811,Was,82,19.05,6.48,3.13,0.90,0.23,2.96,42.900,84.400,27.20
David,Lee,GS,F,14607,Mil,79,18.47,3.53,11.22,0.85,0.28,2.62,51.900,79.700,33.47
Brandon,Knight,Mil,G,14282,@GS,75,13.32,4.04,3.29,0.77,0.11,2.73,40.700,73.300,18.65
Marcin,Gortat,Was,C,14035,@Por,61,11.15,1.23,8.46,0.66,1.61,1.62,52.100,65.200,23.85
Spencer,Hawes,Cle,C,13953,OKC,82,11.04,2.23,7.20,0.29,1.38,1.60,46.400,77.700,22.26
Ricky,Rubio,Min,G,13581,@Hou,57,10.67,7.33,4.02,2.40,0.09,3.02,36.000,79.900,25.30
Robin,Lopez,Por,C,13494,Was,82,11.33,0.78,5.63,0.39,1.56,1.34,53.400,77.800,19.78
Nikola,Pekovic,Min,C,13112,@Hou,62,16.31,0.85,8.79,0.69,0.81,1.63,52.000,74.400,26.41
