FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Durant,OKC,F,24001,@Bos,81,28.15,4.62,7.90,1.43,1.30,3.46,51.000,90.500,42.18
Kevin,Love,Min,F,22313,@GS,18,18.33,2.33,14,0.72,0.5,2.17,35.200,70.400,33.08
DeMarcus,Cousins,Sac,C,20843,Ind,75,17.07,2.65,9.95,1.44,0.73,3,46.500,73.800,30.39
Anthony,Davis,NO,F,20785,@Det,64,13.55,0.98,8.16,1.17,1.75,1.39,51.600,75.100,26.68
Stephen,Curry,GS,G,20039,Min,78,22.90,6.91,4.03,1.62,0.15,3.08,45.100,90.000,33.69
Al,Jefferson,Cha,C,20000,@NY,78,17.83,2.10,9.23,1.03,1.14,1.35,49.400,77.000,31.19
Joakim,Noah,Chi,C,19376,LAC,66,11.88,3.97,11.11,1.18,2.14,2.67,48.100,75.100,32.76
John,Wall,Was,G,18812,@Pho,49,18.49,7.61,4,1.31,0.76,3.20,44.100,80.400,31.02
James,Harden,Hou,G,18781,Mem,78,25.94,5.83,4.86,1.82,0.49,3.78,43.800,85.100,36.02
Carmelo,Anthony,NY,F,18781,Cha,67,28.66,2.55,6.87,0.78,0.48,2.61,44.900,83.000,34.19
Dwight,Howard,Hou,C,18327,Mem,76,17.05,1.42,12.43,1.11,2.45,2.96,57.800,49.200,34.21
Blake,Griffin,LAC,F,18020,@Chi,80,18,3.74,8.28,1.21,0.62,2.31,53.800,66.000,31.31
Pau,Gasol,LAL,C,17984,@Orl,49,13.73,4.08,8.59,0.49,1.24,2.12,46.600,70.200,28.25
DeAndre,Jordan,LAC,C,17791,@Chi,82,8.83,0.34,7.24,0.59,1.37,1.22,64.300,38.600,19.09
Paul,George,Ind,F,17623,@Sac,79,17.43,4.14,7.63,1.81,0.65,2.95,41.900,80.700,30.48
Terrence,Jones,Hou,F,17616,Mem,19,5.47,0.79,3.42,0.63,1,0.68,45.700,76.500,12.07
Paul,Millsap,Atl,F,17380,SA,78,14.55,2.58,7.10,1.31,1.03,1.77,49.000,74.200,26.74
Anderson,Varejao,Cle,C,16774,Mil,25,14.12,3.36,14.44,1.48,0.56,1.76,47.800,75.500,36.01
David,Lee,GS,F,16309,Min,79,18.47,3.53,11.22,0.85,0.28,2.62,51.900,79.700,33.47
Goran,Dragic,Pho,G,16272,Was,77,14.73,7.39,3.09,1.61,0.34,2.75,44.300,74.800,27.01
Serge,Ibaka,OKC,F,15926,@Bos,80,13.19,0.54,7.71,0.35,3.02,1.56,57.300,74.900,26.45
Kyrie,Irving,Cle,G,15870,Mil,59,22.46,5.93,3.66,1.51,0.36,3.24,45.200,85.500,31.10
Andre,Drummond,Det,C,15693,NO,60,7.93,0.5,7.62,0.98,1.58,0.95,60.800,37.100,20.44
Kyle,Lowry,Tor,G,15642,@Phi,68,11.63,6.40,4.72,1.38,0.35,2.31,40.100,79.500,25.19
DeMar,DeRozan,Tor,G,15617,@Phi,82,18.11,2.49,3.90,0.93,0.29,1.84,44.500,83.100,22.71
Kemba,Walker,Cha,G,15549,@NY,82,17.74,5.74,3.45,1.95,0.38,2.44,42.300,79.800,28.06
Michael,Carter-Williams,Phi,G,15510,Tor,31,17.52,6.68,5.87,2.48,0.55,3.39,40.900,69.500,32.10
Mike,Conley,Mem,G,15387,@Hou,80,14.6,6.09,2.81,2.18,0.3,2.36,44.000,83.000,26.25
Isaiah,Thomas,Sac,G,15374,Ind,79,13.92,4,2.04,0.85,0.04,1.77,44.000,88.200,19.31
Tim,Duncan,SA,F,15202,@Atl,69,17.78,2.67,9.94,0.72,2.65,2.13,50.200,81.700,34.91
Monta,Ellis,Dal,G,15178,@Bkn,82,19.23,6.05,3.85,2.06,0.44,3.10,41.600,77.300,29.39
Tony,Parker,SA,G,15132,@Atl,66,20.32,7.56,3,0.82,0.09,2.58,52.200,84.500,30.66
D.J.,Augustin,Chi,G,14873,LAC,76,4.68,2.24,1.20,0.45,0.04,0.89,35.000,83.800,8.25
Nikola,Vucevic,Orl,C,14800,LAL,77,13.09,1.86,11.91,0.79,1.03,1.83,51.900,68.300,29.53
Dirk,Nowitzki,Dal,F,14781,@Bkn,53,17.30,2.49,6.85,0.72,0.70,1.32,47.100,86.000,27.22
Andray,Blatche,Bkn,C,14729,Dal,82,10.28,1.04,5.09,1.05,0.66,1.5,51.200,68.500,17.68
Zach,Randolph,Mem,F,14728,@Hou,76,15.38,1.42,11.24,0.80,0.41,1.97,46.000,75.00,27.88
Nikola,Pekovic,Min,C,14693,@GS,62,16.31,0.85,8.79,0.69,0.81,1.63,52.000,74.400,26.41
Brandon,Jennings,Det,G,14660,NO,80,17.46,6.51,3.08,1.56,0.12,2.54,39.900,81.900,26.91
Marc,Gasol,Mem,C,14569,@Hou,80,14.09,3.98,7.78,1,1.74,1.96,49.400,84.800,30.23
Rudy,Gay,Sac,F,14556,Ind,75,18.21,2.69,6.15,1.51,0.71,2.64,41.600,81.400,26.48
Spencer,Hawes,Phi,C,14543,Tor,82,11.04,2.23,7.20,0.29,1.38,1.60,46.400,77.700,22.26
Lance,Stephenson,Ind,G,14456,@Sac,78,8.81,2.86,3.90,1.04,0.21,1.40,46.000,65.200,16.73
Chandler,Parsons,Hou,F,14275,Mem,76,15.49,3.54,5.32,0.99,0.42,1.93,48.600,72.900,24.87
Ricky,Rubio,Min,G,14191,@GS,57,10.67,7.33,4.02,2.40,0.09,3.02,36.000,79.900,25.30
Arron,Afflalo,Orl,G,13984,LAL,64,16.52,3.22,3.73,0.62,0.17,2.16,43.900,85.700,21.23
Deron,Williams,Bkn,G,13980,Dal,78,18.92,7.74,2.97,0.96,0.38,2.79,44.000,85.900,29.79
Taj,Gibson,Chi,F,13971,LAC,65,7.95,0.94,5.31,0.42,1.38,1.17,48.500,67.900,16.36
Kendall,Marshall,LAL,G,13949,@Orl,48,2.98,2.98,0.88,0.46,0.08,1.19,37.100,57.100,7.39
John,Henson,Mil,F,13929,@Cle,63,6.03,0.49,4.71,0.30,0.67,0.75,48.200,53.300,12.08
Joe,Johnson,Bkn,G,13911,Dal,72,16.25,3.51,3.03,0.68,0.19,1.71,42.300,82.000,20.93
Josh,Smith,Det,F,13867,NO,76,17.46,4.22,8.41,1.24,1.79,2.97,46.500,51.700,32.21
Jameer,Nelson,Orl,G,13854,LAL,56,14.68,7.38,3.73,1.27,0.11,2.75,39.200,87.300,26.06
Greg,Monroe,Det,F,13766,NO,81,16.02,3.47,9.59,1.30,0.68,2.89,48.600,68.900,30.17
Marcin,Gortat,Was,C,13735,@Pho,61,11.15,1.23,8.46,0.66,1.61,1.62,52.100,65.200,23.85
Evan,Turner,Phi,F,13529,Tor,82,13.34,4.32,6.30,0.87,0.21,2.28,41.900,74.000,23.50
