FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Durant,OKC,F,22689,Dal,81,28.15,4.62,7.90,1.43,1.30,3.46,51.000,90.500,42.18
Kevin,Love,Min,F,22617,Sac,18,18.33,2.33,14,0.72,0.5,2.17,35.200,70.400,33.08
Anthony,Davis,NO,F,22087,Bos,64,13.55,0.98,8.16,1.17,1.75,1.39,51.600,75.100,26.68
LeBron,James,Mia,F,21845,Hou,76,26.79,7.25,8.03,1.70,0.88,2.97,56.500,75.300,45.14
Russell,Westbrook,OKC,G,19858,Dal,82,23.21,7.40,5.22,1.77,0.29,3.33,43.800,80.0,35.67
DeMarcus,Cousins,Sac,C,19737,@Min,75,17.07,2.65,9.95,1.44,0.73,3,46.500,73.800,30.39
Blake,Griffin,LAC,F,19153,Cle,80,18,3.74,8.28,1.21,0.62,2.31,53.800,66.000,31.31
James,Harden,Hou,G,18998,@Mia,78,25.94,5.83,4.86,1.82,0.49,3.78,43.800,85.100,36.02
Al,Jefferson,Cha,C,18881,@Mil,78,17.83,2.10,9.23,1.03,1.14,1.35,49.400,77.000,31.19
Chris,Paul,LAC,G,18286,Cle,70,16.94,9.69,3.74,2.41,0.14,2.27,48.100,88.500,35.56
LaMarcus,Aldridge,Por,F,18171,GS,74,21.08,2.59,9.05,0.84,1.23,1.93,48.400,81.000,33.45
Stephen,Curry,GS,G,18080,@Por,78,22.90,6.91,4.03,1.62,0.15,3.08,45.100,90.000,33.69
Dwight,Howard,Hou,C,17420,@Mia,76,17.05,1.42,12.43,1.11,2.45,2.96,57.800,49.200,34.21
Serge,Ibaka,OKC,F,16639,Dal,80,13.19,0.54,7.71,0.35,3.02,1.56,57.300,74.900,26.45
Kyle,Lowry,Tor,G,16390,Pho,68,11.63,6.40,4.72,1.38,0.35,2.31,40.100,79.500,25.19
Kyrie,Irving,Cle,G,16069,@LAC,59,22.46,5.93,3.66,1.51,0.36,3.24,45.200,85.500,31.10
DeAndre,Jordan,LAC,C,15996,Cle,82,8.83,0.34,7.24,0.59,1.37,1.22,64.300,38.600,19.09
Tyreke,Evans,NO,F,15616,Bos,65,15.18,3.52,4.42,1.38,0.42,1.97,47.800,77.500,24.08
Rudy,Gay,Sac,F,14903,@Min,75,18.21,2.69,6.15,1.51,0.71,2.64,41.600,81.400,26.48
Rajon,Rondo,Bos,G,14821,@NO,38,13.74,11.05,5.58,1.84,0.24,3.89,48.400,64.500,33.96
Dwyane,Wade,Mia,G,14810,Hou,69,21.20,5.10,4.99,1.86,0.81,2.81,52.100,72.500,32.96
Dirk,Nowitzki,Dal,F,14734,@OKC,53,17.30,2.49,6.85,0.72,0.70,1.32,47.100,86.000,27.22
Nicolas,Batum,Por,F,14713,GS,73,14.34,4.93,5.64,1.25,1.14,2.60,42.300,84.800,27.45
David,Lee,GS,F,14494,@Por,79,18.47,3.53,11.22,0.85,0.28,2.62,51.900,79.700,33.47
Eric,Bledsoe,Pho,G,14420,@Tor,76,8.46,3.07,2.96,1.43,0.72,1.80,44.500,79.100,17.02
Monta,Ellis,Dal,G,14281,@OKC,82,19.23,6.05,3.85,2.06,0.44,3.10,41.600,77.300,29.39
Tim,Duncan,SA,F,14276,Uta,69,17.78,2.67,9.94,0.72,2.65,2.13,50.200,81.700,34.91
Spencer,Hawes,Cle,C,14157,@LAC,82,11.04,2.23,7.20,0.29,1.38,1.60,46.400,77.700,22.26
Isaiah,Thomas,Sac,G,14093,@Min,79,13.92,4,2.04,0.85,0.04,1.77,44.000,88.200,19.31
Kemba,Walker,Cha,G,14010,@Mil,82,17.74,5.74,3.45,1.95,0.38,2.44,42.300,79.800,28.06
Damian,Lillard,Por,G,13986,GS,82,19.05,6.48,3.13,0.90,0.23,2.96,42.900,84.400,27.20
Goran,Dragic,Pho,G,13814,@Tor,77,14.73,7.39,3.09,1.61,0.34,2.75,44.300,74.800,27.01
Gordon,Hayward,Uta,F,13738,@SA,72,14.12,2.96,3.12,0.81,0.53,1.67,43.500,82.700,20.08
Kawhi,Leonard,SA,F,13256,Uta,58,11.88,1.60,5.97,1.67,0.55,1.07,49.400,82.500,22.64
Ricky,Rubio,Min,G,13148,Sac,57,10.67,7.33,4.02,2.40,0.09,3.02,36.000,79.900,25.30
Tony,Parker,SA,G,13041,Uta,66,20.32,7.56,3,0.82,0.09,2.58,52.200,84.500,30.66
Brandon,Knight,Mil,G,13012,Cha,75,13.32,4.04,3.29,0.77,0.11,2.73,40.700,73.300,18.65
Chris,Bosh,Mia,C,12848,Hou,74,16.65,1.66,6.77,0.89,1.36,1.73,53.500,79.800,27.12
