FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Love,Min,F,21293,Uta,18,18.33,2.33,14,0.72,0.5,2.17,35.200,70.400,33.08
LaMarcus,Aldridge,Por,F,21144,@Dal,74,21.08,2.59,9.05,0.84,1.23,1.93,48.400,81.000,33.45
LeBron,James,Mia,F,21131,@Cha,76,26.79,7.25,8.03,1.70,0.88,2.97,56.500,75.300,45.14
Blake,Griffin,LAC,F,20365,@Ind,80,18,3.74,8.28,1.21,0.62,2.31,53.800,66.000,31.31
Anthony,Davis,NO,F,19384,GS,64,13.55,0.98,8.16,1.17,1.75,1.39,51.600,75.100,26.68
Joakim,Noah,Chi,C,18489,Phi,66,11.88,3.97,11.11,1.18,2.14,2.67,48.100,75.100,32.76
Stephen,Curry,GS,G,18171,@NO,78,22.90,6.91,4.03,1.62,0.15,3.08,45.100,90.000,33.69
Josh,Smith,Det,F,17690,@Was,76,17.46,4.22,8.41,1.24,1.79,2.97,46.500,51.700,32.21
James,Harden,Hou,G,17286,Mil,78,25.94,5.83,4.86,1.82,0.49,3.78,43.800,85.100,36.02
DeAndre,Jordan,LAC,C,16918,@Ind,82,8.83,0.34,7.24,0.59,1.37,1.22,64.300,38.600,19.09
Paul,George,Ind,F,16764,LAC,79,17.43,4.14,7.63,1.81,0.65,2.95,41.900,80.700,30.48
David,Lee,GS,F,16526,@NO,79,18.47,3.53,11.22,0.85,0.28,2.62,51.900,79.700,33.47
John,Wall,Was,G,16518,Det,49,18.49,7.61,4,1.31,0.76,3.20,44.100,80.400,31.02
Dwight,Howard,Hou,C,16441,Mil,76,17.05,1.42,12.43,1.11,2.45,2.96,57.800,49.200,34.21
Andre,Drummond,Det,C,16286,@Was,60,7.93,0.5,7.62,0.98,1.58,0.95,60.800,37.100,20.44
Michael,Carter-Williams,Phi,G,16244,@Chi,28,17.25,6.79,5.68,2.54,0.61,3.39,41.400,70.500,32.21
Dirk,Nowitzki,Dal,F,15936,Por,53,17.30,2.49,6.85,0.72,0.70,1.32,47.100,86.000,27.22
Al,Jefferson,Cha,C,15906,Mia,78,17.83,2.10,9.23,1.03,1.14,1.35,49.400,77.000,31.19
Kemba,Walker,Cha,G,15776,Mia,82,17.74,5.74,3.45,1.95,0.38,2.44,42.300,79.800,28.06
Damian,Lillard,Por,G,15589,@Dal,82,19.05,6.48,3.13,0.90,0.23,2.96,42.900,84.400,27.20
Nicolas,Batum,Por,F,15405,@Dal,73,14.34,4.93,5.64,1.25,1.14,2.60,42.300,84.800,27.45
Monta,Ellis,Dal,G,15359,Por,82,19.23,6.05,3.85,2.06,0.44,3.10,41.600,77.300,29.39
Nikola,Pekovic,Min,C,15230,Uta,62,16.31,0.85,8.79,0.69,0.81,1.63,52.000,74.400,26.41
Terrence,Jones,Hou,F,15094,Mil,19,5.47,0.79,3.42,0.63,1,0.68,45.700,76.500,12.07
Gordon,Hayward,Uta,F,14985,@Min,72,14.12,2.96,3.12,0.81,0.53,1.67,43.500,82.700,20.08
Dwyane,Wade,Mia,G,14969,@Cha,69,21.20,5.10,4.99,1.86,0.81,2.81,52.100,72.500,32.96
Spencer,Hawes,Phi,C,14946,@Chi,82,11.04,2.23,7.20,0.29,1.38,1.60,46.400,77.700,22.26
Brandon,Jennings,Det,G,14709,@Was,80,17.46,6.51,3.08,1.56,0.12,2.54,39.900,81.900,26.91
Darren,Collison,LAC,G,14644,@Ind,81,12,5.12,2.70,1.23,0.10,2.14,47.100,88.00,21.03
Lance,Stephenson,Ind,G,14441,LAC,78,8.81,2.86,3.90,1.04,0.21,1.40,46.000,65.200,16.73
John,Henson,Mil,F,13890,@Hou,63,6.03,0.49,4.71,0.30,0.67,0.75,48.200,53.300,12.08
Carlos,Boozer,Chi,F,13788,Phi,79,16.22,2.27,9.76,0.84,0.35,2.23,47.700,73.100,27.74
Greg,Monroe,Det,F,13685,@Was,81,16.02,3.47,9.59,1.30,0.68,2.89,48.600,68.900,30.17
Eric,Gordon,NO,G,13581,GS,42,16.98,3.26,1.83,1.07,0.19,2.79,40.200,84.200,19.33
Derrick,Favors,Uta,F,13503,@Min,77,9.44,0.97,7.09,0.87,1.69,1.68,48.200,68.800,20.77
Thaddeus,Young,Phi,F,13158,@Chi,76,14.83,1.64,7.51,1.75,0.72,1.18,53.100,57.400,26.97
Ricky,Rubio,Min,G,13082,Uta,57,10.67,7.33,4.02,2.40,0.09,3.02,36.000,79.900,25.30
Evan,Turner,Phi,F,12947,@Chi,82,13.34,4.32,6.30,0.87,0.21,2.28,41.900,74.000,23.50
Taj,Gibson,Chi,F,12938,Phi,65,7.95,0.94,5.31,0.42,1.38,1.17,48.500,67.900,16.36
Trey,Burke,Uta,G,12866,@Min,29,13.86,5.79,3.24,0.76,0.10,2.07,39.400,90.0,22.16
Trevor,Ariza,Was,F,12836,Det,56,9.46,2.02,4.75,1.29,0.36,1.5,41.700,82.100,17.71
Chris,Bosh,Mia,C,12784,@Cha,74,16.65,1.66,6.77,0.89,1.36,1.73,53.500,79.800,27.12
David,West,Ind,F,12690,LAC,73,17.12,2.92,7.71,1.01,0.95,2.15,49.800,76.800,28.93
Marcin,Gortat,Was,C,12673,Det,61,11.15,1.23,8.46,0.66,1.61,1.62,52.100,65.200,23.85
Chandler,Parsons,Hou,F,12649,Mil,76,15.49,3.54,5.32,0.99,0.42,1.93,48.600,72.900,24.87
D.J.,Augustin,Chi,G,12643,Phi,76,4.68,2.24,1.20,0.45,0.04,0.89,35.000,83.800,8.25
Ryan,Anderson,NO,F,12545,GS,81,16.16,1.20,6.41,0.52,0.38,1.20,42.300,84.400,22.43
Jimmy,Butler,Chi,G,12502,Phi,82,8.60,1.40,4,0.95,0.38,0.76,46.700,80.300,15.66
Andrew,Bogut,GS,C,12472,@NO,32,5.81,2.09,7.66,0.62,1.72,1.09,45.100,50.0,20.24
Nene,Hilario,Was,F,12385,Det,61,12.56,2.90,6.67,0.90,0.61,2.28,48.000,72.900,22.86
Andre,Iguodala,GS,F,12247,@NO,80,12.98,5.41,5.29,1.74,0.65,2.58,45.100,57.400,26.17
Brandon,Knight,Mil,G,12120,@Hou,75,13.32,4.04,3.29,0.77,0.11,2.73,40.700,73.300,18.65
Al-Farouq,Aminu,NO,F,12112,GS,76,7.30,1.36,7.70,1.21,0.67,1.53,47.500,73.700,19.32
Shawn,Marion,Dal,F,11950,Por,67,12.12,2.43,7.84,1.12,0.70,1.54,51.400,78.200,25.00
J.J.,Redick,LAC,G,11835,@Ind,78,14.10,3.79,2.19,0.49,0.12,1.77,43.400,90.0,18.66
Tyreke,Evans,NO,F,11765,GS,65,15.18,3.52,4.42,1.38,0.42,1.97,47.800,77.500,24.08
Bradley,Beal,Was,G,11541,Det,56,13.93,2.45,3.77,0.89,0.52,1.61,41.000,78.600,19.60
Larry,Sanders,Mil,C,11536,@Hou,71,9.80,1.17,9.46,0.75,2.83,1.23,50.600,61.800,26.85
Roy,Hibbert,Ind,C,11380,LAC,79,11.86,1.43,8.30,0.49,2.61,2.05,44.800,74.100,25.17
Wesley,Matthews,Por,G,11240,@Dal,69,14.81,2.52,2.77,1.30,0.26,1.58,43.600,79.700,20.03
Mike,Dunleavy,Chi,F,11202,Phi,75,10.47,1.93,3.88,0.52,0.47,1.2,44.200,82.000,16.52
Robin,Lopez,Por,C,11149,@Dal,82,11.33,0.78,5.63,0.39,1.56,1.34,53.400,77.800,19.78
Alec,Burks,Uta,G,11119,@Min,64,7.05,1.44,2.27,0.55,0.20,1.16,42.000,71.300,10.33
Gerald,Henderson,Cha,G,11117,Mia,68,15.51,2.60,3.68,1,0.5,1.59,44.700,82.400,21.54
Jose,Calderon,Dal,G,11062,Por,73,11.32,7.10,2.41,0.79,0.11,1.73,49.100,90.0,22.79
Jamal,Crawford,LAC,G,11029,@Ind,76,16.51,2.54,1.68,1.04,0.17,1.92,43.800,87.100,18.96
