FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Durant,OKC,F,23928,Sac,40,30.58,5,7.88,1.5,0.82,3.15,49.400,88.300,43.83
DeMarcus,Cousins,Sac,C,20835,@OKC,37,23.41,2.92,11.70,1.76,1.05,3.43,49.000,72.800,38.98
Ty,Lawson,Den,G,17139,@Pho,37,18,8.76,3.46,1.49,0.24,3.14,42.600,79.900,31.26
Tim,Duncan,SA,F,16090,Mil,37,14.62,3.05,9.59,0.43,1.95,1.97,46.800,75.500,30.20
Goran,Dragic,Pho,G,15837,Den,36,19.5,6.03,3.33,1.31,0.22,2.75,48.700,79.400,28.83
Serge,Ibaka,OKC,F,15619,Sac,39,14.28,0.95,9.10,0.44,2.36,1.54,52.300,76.700,28.07
Rudy,Gay,Sac,F,15604,@OKC,36,20.06,2.58,6.22,1.44,1.06,3.14,44.600,81.900,28.46
Isaiah,Thomas,Sac,G,15309,@OKC,38,19.03,6.21,2.84,1.39,0.03,2.76,45.400,86.000,27.79
Nikola,Vucevic,Orl,C,14800,Bos,28,13.04,1.89,11,1.14,1.11,2.36,51.000,78.500,28.82
Rajon,Rondo,Bos,G,14045,@Orl,1,8,4,2,2,0,1,44.400,0,17.00
Tony,Parker,SA,G,13963,Mil,37,17.92,6.32,2.51,0.54,0.11,2.46,51.100,79.600,25.56
J.J.,Hickson,Den,C,13617,@Pho,39,11.38,1.15,9.08,0.69,0.77,1.62,50.300,57.400,22.71
John,Henson,Mil,F,13590,@SA,31,12.35,1.65,8.26,0.68,2.23,1.48,52.900,62.000,26.56
JaVale,McGee,Den,C,13550,@Pho,5,7,0.4,3.4,0.2,1.4,1.6,44.700,100,11.35
Kawhi,Leonard,SA,F,13332,Mil,39,11.85,1.79,6.26,1.72,0.46,1.15,51.600,73.300,23.04
Jameer,Nelson,Orl,G,13280,Bos,37,13.46,6.51,3.73,0.84,0.08,2.43,40.200,86.200,23.59
Arron,Afflalo,Orl,G,13185,Bos,36,20.89,3.86,4.42,0.61,0.03,2.17,46.800,84.800,26.80
