FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Durant,OKC,F,23011,GS,8,34.62,5.75,5.88,1.5,0.75,2.88,46.300,89.900,45.59
Kevin,Love,Min,F,22693,@Tor,6,21.83,3.17,10.83,0.83,0.83,1.83,43.000,74.500,36.21
LeBron,James,Mia,F,21505,@Phi,7,28,5.86,5.71,1,0.29,4.14,57.600,76.300,37.57
DeMarcus,Cousins,Sac,C,21082,@Mem,7,26.43,2.29,12.43,1.71,1.14,3.43,50.0,75.700,41.75
LaMarcus,Aldridge,Por,F,20818,@SA,6,25.33,3.33,12.83,0.33,1.67,1.5,48.100,90.0,43.04
Blake,Griffin,LAC,F,20365,@NY,6,24.17,5.5,9.17,1.67,0.5,2.33,52.900,76.400,41.12
Stephen,Curry,GS,G,19218,@OKC,7,23.43,7.86,4.29,1.86,0.14,5,41.000,86.800,33.57
Carmelo,Anthony,NY,F,18978,LAC,9,25.44,3.67,8.56,1.33,0.67,2.44,44.500,84.800,36.92
Joakim,Noah,Chi,C,18489,@Was,7,14.57,5.29,14,1.14,2.14,2.86,46.600,75.600,40.14
Ty,Lawson,Den,G,17134,Cle,7,19.14,11.57,3.29,1.86,0.43,3.43,42.900,78.00,36.96
Michael,Carter-Williams,Phi,G,16944,Mia,7,17.29,5.57,6.43,1.29,0.57,2.57,44.300,67.600,29.82
David,Lee,GS,F,16928,@OKC,7,23.14,3.29,10.86,0.71,0.29,2.43,60.900,77.800,37.57
DeAndre,Jordan,LAC,C,16918,@NY,6,12.33,0.67,13.5,0.83,3.83,1.17,64.00,50.0,36.04
Josh,Smith,Det,F,16871,Uta,5,18.8,4.4,10.2,1.6,2.4,2.8,43.900,62.100,37.65
Tim,Duncan,SA,F,16513,Por,7,16.57,3.14,10.43,0.29,2,2.43,54.200,78.800,33.25
John,Wall,Was,G,16504,Chi,8,17.75,7.38,3.75,1.75,0.5,2.75,36.400,84.00,29.94
Rudy,Gay,Sac,F,16501,@Mem,7,22,3.71,6,1.14,0.86,2.43,59.600,93.100,33.64
Andre,Drummond,Det,C,16436,Uta,5,11.4,0.8,14.4,1,3.2,1,48.900,43.300,34.00
Kyle,Lowry,Tor,G,16379,Min,7,17.57,7.43,4.57,1.57,0.43,1.86,45.900,74.200,32.71
Pau,Gasol,LAL,C,16320,@Bos,7,19.71,4.86,11.57,0.29,1.86,3.29,50.0,70.600,37.68
Al,Jefferson,Cha,C,16106,@Orl,7,19.86,2.29,8.29,0.71,0.86,1.29,51.700,77.300,31.07
DeMar,DeRozan,Tor,G,16020,Min,7,23,5.29,5.29,1.29,0.71,1.14,44.400,76.700,34.39
Kyrie,Irving,Cle,G,16008,@Den,5,16.4,5.8,2.8,2,0.6,1.6,41.100,73.700,27.40
Mike,Conley,Mem,G,15953,Sac,8,20.62,7.12,3.25,1.75,0.25,2.38,47.700,87.100,32.56
Goran,Dragic,Pho,G,15889,Dal,8,22.12,6.38,4.62,1,0.25,3.25,47.700,79.200,31.91
Damian,Lillard,Por,G,15889,@SA,6,22.67,4.17,4,0.83,0.67,2.83,45.200,90.500,29.17
Isaiah,Thomas,Sac,G,15837,@Mem,7,19.14,6.29,3.29,1.43,0.14,3.14,42.200,89.500,28.18
Kemba,Walker,Cha,G,15776,@Orl,7,21.43,6,4.14,1.57,0.29,2.14,47.100,78.100,32.18
Dirk,Nowitzki,Dal,F,15711,@Pho,8,22.88,3.12,5.75,1.12,0.5,1.12,47.400,86.700,32.12
Nicolas,Batum,Por,F,15405,@SA,6,10,8.17,9,0.67,0.83,2.67,40.0,90.900,31.00
