FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
DeMarcus,Cousins,Sac,C,22686,Cle,75,17.07,2.65,9.95,1.44,0.73,3,46.500,73.800,30.39
Kevin,Love,Min,F,20273,@SA,18,18.33,2.33,14,0.72,0.5,2.17,35.200,70.400,33.08
Kyrie,Irving,Cle,G,17872,@Sac,59,22.46,5.93,3.66,1.51,0.36,3.24,45.200,85.500,31.10
Zach,Randolph,Mem,F,16821,Atl,76,15.38,1.42,11.24,0.80,0.41,1.97,46.000,75.00,27.88
Tim,Duncan,SA,F,16689,Min,69,17.78,2.67,9.94,0.72,2.65,2.13,50.200,81.700,34.91
Marc,Gasol,Mem,C,15788,Atl,80,14.09,3.98,7.78,1,1.74,1.96,49.400,84.800,30.23
Rudy,Gay,Sac,F,15718,Cle,75,18.21,2.69,6.15,1.51,0.71,2.64,41.600,81.400,26.48
Mike,Conley,Mem,G,15196,Atl,80,14.6,6.09,2.81,2.18,0.3,2.36,44.000,83.000,26.25
Nikola,Pekovic,Min,C,15026,@SA,62,16.31,0.85,8.79,0.69,0.81,1.63,52.000,74.400,26.41
Anderson,Varejao,Cle,C,14922,@Sac,25,14.12,3.36,14.44,1.48,0.56,1.76,47.800,75.500,36.01
Paul,Millsap,Atl,F,14691,@Mem,78,14.55,2.58,7.10,1.31,1.03,1.77,49.000,74.200,26.74
Isaiah,Thomas,Sac,G,14518,Cle,79,13.92,4,2.04,0.85,0.04,1.77,44.000,88.200,19.31
Ricky,Rubio,Min,G,14028,@SA,57,10.67,7.33,4.02,2.40,0.09,3.02,36.000,79.900,25.30
Tony,Parker,SA,G,13441,Min,66,20.32,7.56,3,0.82,0.09,2.58,52.200,84.500,30.66
Tristan,Thompson,Cle,F,12843,@Sac,82,11.67,1.32,9.43,0.73,0.87,1.5,48.800,60.800,23.94
Kevin,Martin,Min,G,11951,@SA,77,13.99,1.38,2.31,0.94,0.10,1.31,45.000,89.000,16.75
Ed,Davis,Mem,F,11719,Atl,81,7.69,0.78,5.68,0.47,1.05,0.78,53.900,61.700,16.45
Jeff,Teague,Atl,G,11698,@Mem,80,14.58,7.24,2.25,1.46,0.35,2.88,45.100,88.100,25.48
Manu,Ginobili,SA,G,11650,Min,60,11.75,4.57,3.35,1.33,0.22,2.2,42.500,79.600,20.75
Kyle,Korver,Atl,G,11094,@Mem,74,10.95,1.97,3.96,0.95,0.5,0.95,46.100,85.900,18.54
DeMarre,Carroll,Atl,F,10584,@Mem,66,5.95,0.92,2.85,0.88,0.36,0.52,46.000,76.500,11.37
Kawhi,Leonard,SA,F,10148,Min,58,11.88,1.60,5.97,1.67,0.55,1.07,49.400,82.500,22.64
C.J.,Miles,Cle,G,9986,@Sac,65,11.22,0.97,2.68,0.75,0.26,1.06,41.500,86.900,14.12
Tony,Allen,Mem,G,9465,Atl,79,8.92,1.24,4.59,1.51,0.56,1.19,44.500,71.700,16.89
Jon,Leuer,Mem,F,9418,Atl,28,2,0.29,1.32,0.21,0,0.29,48.100,46.200,3.62
James,Johnson,Mem,F,9335,Atl,54,5.11,1.07,2.69,0.76,0.93,1.26,41.300,59.700,10.40
Dion,Waiters,Cle,G,9224,@Sac,61,14.66,3,2.44,0.97,0.26,1.98,41.200,74.600,18.32
Corey,Brewer,Min,F,9150,@SA,82,12.07,1.51,2.87,1.44,0.28,1.24,42.500,69.000,16.61
Marco,Belinelli,SA,G,9044,Min,73,9.62,2.03,1.92,0.60,0.08,1.12,39.500,83.900,12.59
Kosta,Koufos,Mem,C,8986,Atl,81,8,0.40,6.94,0.54,1.27,0.65,58.100,55.800,18.64
Luol,Deng,Cle,F,8872,@Sac,75,16.49,2.96,6.35,1.08,0.43,1.92,42.600,81.600,25.43
Jason,Thompson,Sac,F,8739,Cle,82,10.87,1.02,6.70,0.59,0.74,1.23,50.200,69.400,19.55
Mike,Scott,Atl,F,8161,@Mem,40,4.58,0.3,2.75,0.1,0.05,0.52,47.600,76.800,7.11
