FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
Kevin,Love,Min,F,21293,Uta,6,21.83,3.17,10.83,0.83,0.83,1.83,43.000,74.500,36.21
LaMarcus,Aldridge,Por,F,21144,@Dal,5,28.4,3.4,12.4,0.4,2,1.8,49.100,90.0,45.80
LeBron,James,Mia,F,21131,@Cha,6,28.33,6,5.83,1.17,0.17,3.5,56.900,78.400,38.96
Blake,Griffin,LAC,F,20365,@Ind,6,24.17,5.5,9.17,1.67,0.5,2.33,52.900,76.400,41.12
Anthony,Davis,NO,F,19384,GS,8,21.38,1.12,10.12,1.62,2.38,2.25,54.900,67.900,36.97
Joakim,Noah,Chi,C,18489,Phi,6,14.17,4.67,14.5,1.17,2.33,3,46.700,74.400,39.79
Stephen,Curry,GS,G,18171,@NO,6,21.33,7.17,4.67,1.83,0.17,5.17,37.500,88.600,30.58
Josh,Smith,Det,F,17690,@Was,5,18.8,4.4,10.2,1.6,2.4,2.8,43.900,62.100,37.65
James,Harden,Hou,G,17286,Mil,7,26.14,5.71,6,1.14,0.57,3.71,47.500,85.500,36.86
DeAndre,Jordan,LAC,C,16918,@Ind,6,12.33,0.67,13.5,0.83,3.83,1.17,64.00,50.0,36.04
Paul,George,Ind,F,16764,LAC,7,20.43,3.86,7.57,1.29,0.14,2.43,39.200,89.500,30.61
David,Lee,GS,F,16526,@NO,6,21.67,3.33,10.33,0.83,0.33,2.33,58.100,75.900,35.75
John,Wall,Was,G,16518,Det,8,17.75,7.38,3.75,1.75,0.5,2.75,36.400,84.00,29.94
Dwight,Howard,Hou,C,16441,Mil,7,18.29,1.71,9.71,1.29,1.86,2.14,54.500,43.800,31.36
Andre,Drummond,Det,C,16286,@Was,5,11.4,0.8,14.4,1,3.2,1,48.900,43.300,34.00
Michael,Carter-Williams,Phi,G,16244,@Chi,6,19,5.67,6.83,1.17,0.17,2.5,46.300,68.800,31.12
Dirk,Nowitzki,Dal,F,15936,Por,8,22.88,3.12,5.75,1.12,0.5,1.12,47.400,86.700,32.12
Al,Jefferson,Cha,C,15906,Mia,6,20,2.5,8.83,0.83,0.83,1.33,51.500,80.0,32.38
Kemba,Walker,Cha,G,15776,Mia,6,24,6.5,4.33,1.33,0.33,2.33,49.500,76.700,35.00
Damian,Lillard,Por,G,15589,@Dal,5,22.4,3.6,4.8,0.6,0.8,3,41.800,90.500,28.10
Nicolas,Batum,Por,F,15405,@Dal,5,10.4,8.4,9.4,0.8,0.8,3.2,38.800,90.900,31.65
Monta,Ellis,Dal,G,15359,Por,8,18.25,6.62,3,2.25,0.25,2.62,47.900,68.400,29.62
Nikola,Pekovic,Min,C,15230,Uta,6,21,1.33,9.5,1,1,1.67,54.300,85.700,33.29
Terrence,Jones,Hou,F,15094,Mil,7,14.14,1.43,11.43,1,1.86,1.29,49.400,60.0,31.21
Gordon,Hayward,Uta,F,14985,@Min,2,29.5,6.5,6.5,2,0.5,2.5,65.600,73.300,46.12
Dwyane,Wade,Mia,G,14969,@Cha,5,17.4,4.4,6.6,0.8,0.4,2.6,53.600,60.0,28.05
Spencer,Hawes,Phi,C,14946,@Chi,6,12.5,5.17,8.17,1,1.17,2.83,47.500,100,29.38
Brandon,Jennings,Det,G,14709,@Was,5,11.6,9.8,3.8,1.4,0,2.4,26.100,82.400,26.05
Darren,Collison,LAC,G,14644,@Ind,6,17.17,6.67,3.67,1.83,0.17,2.33,61.300,90.900,31.25
Lance,Stephenson,Ind,G,14441,LAC,6,15.67,4.67,6.5,0.83,0,2.67,58.500,70.600,27.12
John,Henson,Mil,F,13890,@Hou,2,8,1,9,0.5,2.5,2,46.700,50.0,22.25
Carlos,Boozer,Chi,F,13788,Phi,4,18.25,1.5,7.75,1.25,0,2.25,52.500,60.0,26.06
Greg,Monroe,Det,F,13685,@Was,5,16.8,1.6,9.6,0.6,0,1.8,50.0,66.700,26.40
Eric,Gordon,NO,G,13581,GS,8,20.62,3.38,2.88,1,0.12,2.38,51.800,86.100,25.47
Derrick,Favors,Uta,F,13503,@Min,5,15.2,0.2,8.8,0.2,1,1.2,54.400,58.300,24.10
Thaddeus,Young,Phi,F,13158,@Chi,6,16.33,2,4.33,2.5,0.33,1.83,48.400,40.0,24.17
Ricky,Rubio,Min,G,13082,Uta,6,7.33,7.5,4,1.83,0.17,2.5,31.400,80.0,22.00
Evan,Turner,Phi,F,12947,@Chi,6,15.67,2.33,4.33,0.5,0.33,2.67,41.900,80.0,19.08
Taj,Gibson,Chi,F,12938,Phi,6,11.17,1.67,9,0.33,1.5,1.17,44.100,68.200,24.08
Trey,Burke,Uta,G,12866,@Min,5,13.6,8,3.2,0.8,0,2,37.000,75.00,24.40
Trevor,Ariza,Was,F,12836,Det,8,11.38,2.62,6.5,1.25,0,1.62,43.400,66.700,21.25
