FirstName,LastName,Team,Position,Salary,Matchup,G,PPG,APG,RPG,SPG,BPG,TPG,FG%,FT%,FPPG
James,Harden,Hou,G,19189,@Bos,78,25.94,5.83,4.86,1.82,0.49,3.78,43.800,85.100,36.02
Carmelo,Anthony,NY,F,19087,Pho,67,28.66,2.55,6.87,0.78,0.48,2.61,44.900,83.000,34.19
Dwight,Howard,Hou,C,18998,@Bos,76,17.05,1.42,12.43,1.11,2.45,2.96,57.800,49.200,34.21
Anthony,Davis,NO,F,18822,SA,64,13.55,0.98,8.16,1.17,1.75,1.39,51.600,75.100,26.68
Gordon,Hayward,Uta,F,18352,Den,72,14.12,2.96,3.12,0.81,0.53,1.67,43.500,82.700,20.08
John,Wall,Was,G,17646,@Chi,49,18.49,7.61,4,1.31,0.76,3.20,44.100,80.400,31.02
Joakim,Noah,Chi,C,17303,Was,66,11.88,3.97,11.11,1.18,2.14,2.67,48.100,75.100,32.76
Ty,Lawson,Den,G,17114,@Uta,73,16.66,6.86,2.71,1.47,0.11,2.49,46.100,75.600,26.90
Tim,Duncan,SA,F,16499,@NO,69,17.78,2.67,9.94,0.72,2.65,2.13,50.200,81.700,34.91
DeMar,DeRozan,Tor,G,16071,Mil,82,18.11,2.49,3.90,0.93,0.29,1.84,44.500,83.100,22.71
Dirk,Nowitzki,Dal,F,15954,Orl,53,17.30,2.49,6.85,0.72,0.70,1.32,47.100,86.000,27.22
Kyle,Lowry,Tor,G,15465,Mil,68,11.63,6.40,4.72,1.38,0.35,2.31,40.100,79.500,25.19
Goran,Dragic,Pho,G,15192,@NY,77,14.73,7.39,3.09,1.61,0.34,2.75,44.300,74.800,27.01
Monta,Ellis,Dal,G,14869,Orl,82,19.23,6.05,3.85,2.06,0.44,3.10,41.600,77.300,29.39
Nikola,Vucevic,Orl,C,14800,@Dal,77,13.09,1.86,11.91,0.79,1.03,1.83,51.900,68.300,29.53
John,Henson,Mil,F,13830,@Tor,63,6.03,0.49,4.71,0.30,0.67,0.75,48.200,53.300,12.08
Chandler,Parsons,Hou,F,13555,@Bos,76,15.49,3.54,5.32,0.99,0.42,1.93,48.600,72.900,24.87
JaVale,McGee,Den,C,13550,@Uta,79,9.08,0.30,4.82,0.38,1.99,1.14,57.500,59.100,17.26
Kris,Humphries,Bos,C,13381,Hou,65,5.77,0.49,5.62,0.25,0.51,0.88,44.800,78.900,12.64
Tony,Parker,SA,G,13375,@NO,66,20.32,7.56,3,0.82,0.09,2.58,52.200,84.500,30.66
Kenneth,Faried,Den,F,13299,@Uta,80,11.54,0.96,9.18,1.01,1.04,1.41,55.200,61.300,24.56
Derrick,Favors,Uta,F,13237,Den,77,9.44,0.97,7.09,0.87,1.69,1.68,48.200,68.800,20.77
Terrence,Jones,Hou,F,12750,@Bos,19,5.47,0.79,3.42,0.63,1,0.68,45.700,76.500,12.07
Brandon,Knight,Mil,G,12736,@Tor,75,13.32,4.04,3.29,0.77,0.11,2.73,40.700,73.300,18.65
Glen,Davis,Orl,F,12732,@Dal,34,15.06,2.06,7.24,0.94,0.62,1.88,44.800,71.800,24.06
Carlos,Boozer,Chi,F,12568,Was,79,16.22,2.27,9.76,0.84,0.35,2.23,47.700,73.100,27.74
Marcin,Gortat,Was,C,12473,@Chi,61,11.15,1.23,8.46,0.66,1.61,1.62,52.100,65.200,23.85
Tobias,Harris,Orl,F,12467,@Dal,55,10.96,1.25,5.22,0.58,0.8,1.2,45.500,75.200,18.09
Arron,Afflalo,Orl,G,12422,@Dal,64,16.52,3.22,3.73,0.62,0.17,2.16,43.900,85.700,21.23
Tyson,Chandler,NY,C,12363,Pho,66,10.44,0.94,10.65,0.64,1.14,1.32,63.800,69.400,25.69
Eric,Gordon,NO,G,12327,SA,42,16.98,3.26,1.83,1.07,0.19,2.79,40.200,84.200,19.33
Taj,Gibson,Chi,F,12263,Was,65,7.95,0.94,5.31,0.42,1.38,1.17,48.500,67.900,16.36
Raymond,Felton,NY,G,12258,Pho,68,13.94,5.47,2.85,1.38,0.21,2.28,42.700,78.900,22.70
Victor,Oladipo,Orl,G,11976,@Dal,37,13.16,3.57,4.24,1.46,0.70,3.14,40.700,74.700,21.13
Manu,Ginobili,SA,G,11935,@NO,60,11.75,4.57,3.35,1.33,0.22,2.2,42.500,79.600,20.75
Tyreke,Evans,NO,F,11881,SA,65,15.18,3.52,4.42,1.38,0.42,1.97,47.800,77.500,24.08
Miles,Plumlee,Pho,C,11809,@NY,14,0.93,0.14,1.57,0,0.21,0.21,23.800,75.00,2.71
Jordan,Crawford,Bos,G,11681,Hou,70,11.63,3.21,2.99,0.56,0.1,2.01,41.500,81.100,16.24
Trevor,Ariza,Was,F,11543,@Chi,56,9.46,2.02,4.75,1.29,0.36,1.5,41.700,82.100,17.71
Jameer,Nelson,Orl,G,11525,@Dal,56,14.68,7.38,3.73,1.27,0.11,2.75,39.200,87.300,26.06
Iman,Shumpert,NY,F,11387,Pho,45,6.78,1.67,3.02,0.96,0.16,0.82,39.600,76.600,12.49
